{-2.500000, -0.500000, 1.250000, 0.000000, 0}	{-1.250000, -0.500000, 1.250000, 0.000000, 0}	{0.000000, -0.500000, 1.250000, 0.000000, 0}	{1.250000, -0.500000, 1.250000, 0.000000, 0}	{-2.500000, 0.500000, 1.250000, 0.000000, 1}	{-1.250000, 0.500000, 1.250000, 0.000000, 1}	{0.000000, 0.500000, 1.250000, 0.000000, 1}	{1.250000, 0.500000, 1.250000, 0.000000, 1}
{-2.114579, -0.939910, 0.784842, 0.558026, 0}	{-1.329737, -0.381884, 1.066857, -0.123870, 0}	{-0.262880, -0.505754, 1.056829, -0.064251, 0}	{0.793949, -0.570005, 1.128988, 0.036566, 0}	{-1.561043, 1.225305, 0.585939, -0.836126, 1}	{-0.975104, 0.389179, 1.016630, -0.337999, 1}	{0.041526, 0.051180, 0.985856, -0.021060, 1}	{1.027382, 0.030120, 0.983266, 0.202098, 1}
{-2.247735, -0.381073, 0.998556, 0.175482, 0}	{-1.249180, -0.205591, 1.096827, -0.030528, 0}	{-0.152353, -0.236119, 0.999835, -0.305394, 0}	{0.847482, -0.541514, 0.932195, -0.060025, 0}	{-1.367726, 1.188774, 0.883464, -0.562619, 1}	{-0.484261, 0.626155, 0.881354, -0.361304, 1}	{0.397093, 0.264850, 0.974038, -0.244949, 1}	{1.371131, 0.019901, 0.890891, -0.053804, 1}
{-2.216849, -0.760710, 0.913384, 0.253658, 0}	{-1.303465, -0.507052, 1.005399, 0.116807, 0}	{-0.298065, -0.390246, 0.917082, 0.037443, 0}	{0.619017, -0.352802, 1.052746, 0.241925, 0}	{-1.832665, 1.157237, 0.922592, -0.323909, 1}	{-0.910073, 0.833328, 1.021162, -0.233711, 1}	{0.111089, 0.599618, 1.021813, -0.368682, 1}	{1.132902, 0.230936, 0.999503, -0.320138, 1}
{-2.263597, -0.652468, 0.899611, 0.161562, 0}	{-1.363986, -0.490906, 0.918243, 0.224386, 0}	{-0.445743, -0.266520, 0.901140, -0.027666, 0}	{0.455396, -0.294186, 0.883662, -0.348313, 0}	{-1.985575, 1.516172, 0.843110, -0.404724, 1}	{-1.142464, 1.111449, 0.928353, -0.232912, 1}	{-0.214112, 0.878536, 0.893536, -0.481514, 1}	{0.679424, 0.397023, 0.757090, -0.437680, 1}
{-2.616088, -0.398093, 0.938997, 0.085486, 0}	{-1.677092, -0.312607, 1.050430, 0.035936, 0}	{-0.626662, -0.276671, 0.962469, -0.182538, 0}	{0.335807, -0.459209, 0.850494, -0.178991, 0}	{-1.914816, 1.842321, 0.734675, -0.624958, 1}	{-1.180142, 1.217362, 0.779332, -0.514261, 1}	{-0.400809, 0.703101, 0.704662, -0.617014, 1}	{0.303853, 0.086088, 0.838719, -0.525375, 1}
{-2.837470, -0.371381, 1.085559, 0.273747, 0}	{-1.751912, -0.097633, 0.973013, -0.286902, 0}	{-0.778899, -0.384535, 0.860669, -0.273028, 0}	{0.081770, -0.657563, 0.868648, -0.408017, 0}	{-2.132244, 2.016938, 0.767261, -0.479533, 1}	{-1.364984, 1.537405, 0.798724, -0.754181, 1}	{-0.566260, 0.783224, 0.827719, -0.655783, 1}	{0.261459, 0.127440, 0.763573, -0.407712, 1}
{-2.786504, 0.217735, 0.893534, -0.548656, 0}	{-1.892969, -0.330922, 0.855135, -0.422462, 0}	{-1.037834, -0.753384, 1.006801, -0.297852, 0}	{-0.031034, -1.051236, 0.871513, -0.610515, 0}	{-1.603943, 2.216059, 0.349046, -0.812622, 1}	{-1.254897, 1.403438, 0.613482, -0.643201, 1}	{-0.641415, 0.760236, 0.821579, -0.621233, 1}	{0.180163, 0.139004, 0.860446, -0.486538, 1}
{2.947773, -0.250143, 1.104355, 0.174357, 0}	{-1.947872, -0.075786, 0.937080, -0.341786, 0}	{-1.010792, -0.417571, 0.885118, -0.580509, 0}	{-0.125674, -0.998080, 0.648159, -0.663690, 0}	{-1.592275, 2.629628, 0.568446, -0.853369, 1}	{-1.023829, 1.776259, 0.782806, -0.756924, 1}	{-0.241023, 1.019335, 0.623648, -0.693007, 1}	{0.382624, 0.326328, 0.616668, -0.844276, 1}
{-2.645598, -0.188855, 0.946789, 0.157625, 0}	{-1.698809, -0.031230, 1.045350, -0.300953, 0}	{-0.653459, -0.332184, 0.684222, -0.805323, 0}	{0.030763, -1.137507, 0.627919, -0.717956, 0}	{-1.502717, 2.627565, 0.233006, -0.935028, 1}	{-1.269711, 1.692538, 0.551475, -0.821891, 1}	{-0.718236, 0.870646, 0.678030, -0.694155, 1}	{-0.040206, 0.176491, 0.831431, -0.686829, 1}
