{-2.500000, 0.000000, -2.500000, 1.000000, -1, -1, -1, -1}	{-2.200000, 0.000000, -2.200000, 1.000000, -1, -1, -1, -1}	{-1.900000, 0.000000, -1.900000, 1.000000, -1, -1, -1, -1}	{-1.600000, 0.000000, -1.600000, 1.000000, -1, -1, -1, -1}	{-1.300000, 0.000000, -1.300000, 1.000000, -1, -1, -1, -1}	{-1.000000, 0.000000, -1.000000, 1.000000, -1, -1, -1, -1}	{-0.700000, 0.000000, -0.700000, 1.000000, -1, -1, -1, -1}	{-0.400000, 0.000000, -0.400000, 1.000000, -1, -1, -1, -1}	{-0.100000, 0.000000, -0.100000, 1.000000, -1, -1, -1, -1}	{0.100000, 0.000000, 0.100000, 1.000000, -1, -1, -1, -1}	{0.400000, 0.000000, 0.400000, 1.000000, -1, -1, -1, -1}	{0.700000, 0.000000, 0.700000, 1.000000, -1, -1, -1, -1}	{1.000000, 0.000000, 1.000000, 1.000000, -1, -1, -1, -1}	{1.300000, 0.000000, 1.300000, 1.000000, -1, -1, -1, -1}	{1.600000, 0.000000, 1.600000, 1.000000, -1, -1, -1, -1}	{1.900000, 0.000000, 1.900000, 1.000000, -1, -1, -1, -1}	{2.200000, 0.000000, 2.200000, 1.000000, -1, -1, -1, -1}	{2.500000, 0.000000, 2.500000, 1.000000, -1, -1, -1, -1}	{-2.500000, -1.000000, -2.500000, 0.000000, -1, -1, -1, -1}	{-2.200000, -1.000000, -2.200000, 0.000000, -1, -1, -1, -1}	{-1.900000, -1.000000, -1.900000, 0.000000, -1, -1, -1, -1}	{-1.600000, -1.000000, -1.600000, 0.000000, -1, -1, -1, -1}	{-1.300000, -1.000000, -1.300000, 0.000000, -1, -1, -1, -1}	{-1.000000, -1.000000, -1.000000, 0.000000, -1, -1, -1, -1}	{-0.700000, -1.000000, -0.700000, 0.000000, -1, -1, -1, -1}	{-0.400000, -1.000000, -0.400000, 0.000000, -1, -1, -1, -1}	{-0.100000, -1.000000, -0.100000, 0.000000, -1, -1, -1, -1}	{0.100000, -1.000000, 0.100000, 0.000000, -1, -1, -1, -1}	{0.400000, -1.000000, 0.400000, 0.000000, -1, -1, -1, -1}	{0.700000, -1.000000, 0.700000, 0.000000, -1, -1, -1, -1}	{1.000000, -1.000000, 1.000000, 0.000000, -1, -1, -1, -1}	{1.300000, -1.000000, 1.300000, 0.000000, -1, -1, -1, -1}	{1.600000, -1.000000, 1.600000, 0.000000, -1, -1, -1, -1}	{1.900000, -1.000000, 1.900000, 0.000000, -1, -1, -1, -1}	{2.200000, -1.000000, 2.200000, 0.000000, -1, -1, -1, -1}	{2.500000, -1.000000, 2.500000, 0.000000, -1, -1, -1, -1}
{2.653155, 0.603644, -1.016853, -0.018875, -1, -1, -1, -1}	{2.992704, 0.661499, -0.923702, 0.056155, -1, -1, -1, -1}	{-2.307498, 0.210146, -0.856205, 0.435504, -1, -1, -1, -1}	{-2.054249, 0.450497, -0.803222, 0.346948, -1, -1, -1, -1}	{-1.405355, 0.091838, -0.838819, 0.386439, -1, -1, -1, -1}	{-1.323365, 0.187640, -0.587895, 0.666341, -1, -1, -1, -1}	{-0.462151, 0.094078, -0.935633, 0.450579, -1, -1, -1, -1}	{-0.322148, -0.037551, -0.388735, 0.942068, -1, -1, -1, -1}	{0.102505, 0.103523, -0.284738, 0.921481, -1, -1, -1, -1}	{0.129698, -0.402692, 0.062678, 1.128488, -1, -1, -1, -1}	{0.391086, 0.355742, -0.135831, 0.984785, -1, -1, -1, -1}	{0.680393, 0.276855, 0.678766, 0.829405, -1, -1, -1, -1}	{0.819162, 0.255569, 0.819145, 0.664952, -1, -1, -1, -1}	{1.637266, 0.029618, 0.626028, 0.780195, -1, -1, -1, -1}	{2.092803, 0.210867, 0.965168, 0.450811, -1, -1, -1, -1}	{2.206475, 0.277124, 1.042232, 0.267458, -1, -1, -1, -1}	{-2.888230, 0.323580, 0.958381, 0.319958, -1, -1, -1, -1}	{-2.744664, 0.475334, 0.985791, 0.325284, -1, -1, -1, -1}	{2.480377, -1.306929, -0.936556, 0.266062, -1, -1, -1, -1}	{-2.927973, -1.257745, -1.052744, -0.094112, -1, -1, -1, -1}	{-2.321544, -1.128104, -1.023376, -0.013940, -1, -1, -1, -1}	{-1.820298, -0.935156, -1.061933, -0.061880, -1, -1, -1, -1}	{-1.365775, -0.820406, -0.969709, -0.283397, -1, -1, -1, -1}	{-0.954422, -0.877302, -0.964028, 0.014907, -1, -1, -1, -1}	{-0.591755, -1.202626, -0.980572, 0.427255, -1, -1, -1, -1}	{0.076720, -0.767429, -1.102676, 0.050048, -1, -1, -1, -1}	{0.487764, -1.072248, -1.037870, 0.139075, -1, -1, -1, -1}	{-0.394852, -1.204939, 0.930066, 0.057447, -1, -1, -1, -1}	{0.173231, -0.772860, 0.731047, -0.546664, -1, -1, -1, -1}	{0.387868, -1.263631, 0.958427, 0.118647, -1, -1, -1, -1}	{1.025329, -1.084443, 0.943254, -0.231939, -1, -1, -1, -1}	{1.187482, -0.913239, 1.068995, -0.230860, -1, -1, -1, -1}	{1.978567, -1.297560, 0.917431, 0.247406, -1, -1, -1, -1}	{2.208972, -1.100617, 1.073617, 0.135476, -1, -1, -1, -1}	{-2.958356, -1.189856, 0.947682, 0.310935, -1, -1, -1, -1}	{-2.813350, -1.022141, 1.056212, 0.025432, -1, -1, -1, -1}
{2.408688, 0.733545, -0.922855, 0.019295, -1, -1, -1, -1}	{-2.955432, 1.128523, -0.761551, -0.585447, -1, -1, -1, -1}	{-2.246915, 0.200292, -0.914845, 0.453681, -1, -1, -1, -1}	{-1.991525, 0.503027, -0.892858, 0.281732, -1, -1, -1, -1}	{-1.358879, -0.306386, -0.732122, 0.644530, -1, -1, -1, -1}	{-1.202002, 0.240131, -0.976501, 0.485285, -1, -1, -1, -1}	{-0.552773, 0.014966, -0.816996, 0.550455, -1, -1, -1, -1}	{-0.127110, 0.031157, -0.717517, 0.733892, -1, -1, -1, -1}	{0.212347, 0.143791, -0.278225, 0.946248, -1, -1, -1, -1}	{0.240225, -0.190599, 0.223485, 0.986016, -1, -1, -1, -1}	{0.613907, 0.248720, -0.417558, 0.898348, -1, -1, -1, -1}	{0.820923, 0.291809, 0.790587, 0.592799, -1, -1, -1, -1}	{0.654591, 0.477623, 1.059185, 0.053635, -1, -1, -1, -1}	{1.535976, 0.008443, 0.441763, 0.956008, -1, -1, -1, -1}	{2.389382, 0.140981, 0.695362, 0.584584, -1, -1, -1, -1}	{2.550940, 0.223176, 0.857326, 0.491544, -1, -1, -1, -1}	{-2.972397, 0.535448, 0.978643, 0.187643, -1, -1, -1, -1}	{-2.473564, 0.400430, 0.864282, 0.493531, -1, -1, -1, -1}	{2.552466, -1.516798, -0.898481, 0.143707, -1, -1, -1, -1}	{2.997651, -1.274730, -1.067829, -0.129083, -1, -1, -1, -1}	{-2.284153, -1.208855, -1.111380, 0.212021, -1, -1, -1, -1}	{-2.160312, -0.754486, -0.878574, -0.216650, -1, -1, -1, -1}	{-1.229565, -0.795747, -0.930809, -0.128620, -1, -1, -1, -1}	{-0.717375, -0.615136, -0.862538, -0.478861, -1, -1, -1, -1}	{-0.737417, -1.274459, -1.032052, 0.134066, -1, -1, -1, -1}	{-0.060436, -0.778263, -1.023667, -0.244856, -1, -1, -1, -1}	{0.123473, -0.885217, -0.997799, 0.011491, -1, -1, -1, -1}	{-0.613145, -1.042728, 1.044398, -0.067091, -1, -1, -1, -1}	{0.293944, -0.541662, 0.755628, -0.619492, -1, -1, -1, -1}	{0.212194, -1.261562, 1.074931, 0.006799, -1, -1, -1, -1}	{0.948811, -1.239626, 0.969275, 0.100512, -1, -1, -1, -1}	{1.241692, -0.904453, 0.709032, -0.655371, -1, -1, -1, -1}	{1.819499, -1.444291, 0.916934, 0.348494, -1, -1, -1, -1}	{2.419089, -1.019728, 0.821473, 0.484111, -1, -1, -1, -1}	{-2.734103, -1.160202, 0.855915, 0.519025, -1, -1, -1, -1}	{-2.689367, -1.152321, 0.992840, -0.095865, -1, -1, -1, -1}
{2.384320, 0.976887, -0.982437, -0.150390, -1, -1, -1, -1}	{-2.686113, 1.040134, -0.904897, -0.359190, -1, -1, -1, -1}	{-2.076592, 0.255328, -0.906986, 0.333827, -1, -1, -1, -1}	{-1.874675, 0.605568, -0.953129, 0.078858, -1, -1, -1, -1}	{-1.260255, -0.328278, -0.773998, 0.580748, -1, -1, -1, -1}	{-1.253607, 0.323539, -0.948648, -0.048679, 1, -1, 0, -1}	{-0.457278, -0.021305, -0.740362, 0.608324, -1, -1, -1, -1}	{-0.442554, 0.061651, -0.369478, 0.853789, -1, -1, -1, -1}	{0.356371, -0.007263, -0.211540, 1.202832, -1, -1, -1, -1}	{0.717049, -0.258711, -0.563603, 0.892619, -1, -1, -1, -1}	{0.304745, 0.101255, -0.328095, 0.864097, -1, -1, -1, -1}	{1.031149, -0.055964, 0.482571, 0.991055, -1, -1, -1, -1}	{0.511005, 0.428468, 1.011370, 0.146295, -1, -1, -1, -1}	{1.241941, -0.182404, 0.301607, 1.043069, -1, -1, -1, -1}	{2.192996, -0.061502, 0.613924, 0.791912, -1, -1, -1, -1}	{2.617959, 0.147913, 0.883858, 0.705344, -1, -1, -1, -1}	{2.982701, 0.596725, 1.006462, 0.037022, -1, -1, -1, -1}	{-2.534512, 0.395951, 0.859181, 0.528042, -1, -1, -1, -1}	{2.641421, -1.579664, -0.930418, 0.266231, -1, -1, -1, -1}	{2.970412, -1.385116, -0.904370, -0.350899, -1, -1, -1, -1}	{-2.379297, -1.865428, -0.854301, 0.402329, -1, -1, -1, -1}	{-2.117939, -0.735965, -1.030848, -0.019574, -1, -1, -1, -1}	{-1.288302, -0.884888, -0.977337, 0.183306, -1, -1, -1, -1}	{-0.538532, -0.628895, -0.723162, -0.717734, -1, -1, -1, -1}	{-0.717687, -1.378971, -1.018005, 0.233770, -1, -1, -1, -1}	{-0.182041, -0.698388, -0.828404, -0.500296, -1, -1, -1, -1}	{-0.005961, -0.547260, -0.986765, 0.131831, -1, -1, -1, -1}	{-0.604921, -1.272203, 1.016154, 0.017110, -1, -1, -1, -1}	{0.342299, -0.637703, 0.855815, -0.540078, -1, -1, -1, -1}	{0.235201, -1.364326, 0.900907, 0.142168, -1, -1, -1, -1}	{0.991929, -0.816056, 0.868265, -0.479994, -1, -1, -1, -1}	{1.513652, -1.124498, 0.702939, -0.690546, -1, -1, -1, -1}	{1.835695, -1.502423, 0.540401, 0.833560, -1, -1, -1, -1}	{2.448216, -0.987289, 0.773949, 0.639067, -1, -1, -1, -1}	{-2.699831, -1.061633, 0.944886, 0.399537, -1, 2, -1, 0}	{-2.463427, -1.229169, 0.843018, -0.221906, -1, -1, -1, -1}
{2.354673, 1.072148, -0.885325, -0.432034, -1, -1, -1, -1}	{-2.770798, 0.801415, -0.996377, -0.301298, -1, -1, -1, -1}	{-2.096734, 0.249142, -0.694947, 0.471828, -1, -1, -1, -1}	{-2.146008, 0.318084, -0.908292, 0.396192, -1, -1, -1, -1}	{-0.923952, -0.149814, -0.831186, 0.546162, -1, -1, -1, -1}	{-1.426682, 0.043899, -1.007255, 0.409137, -1, -1, -1, -1}	{-0.237083, 0.207198, -0.928581, 0.165678, -1, -1, -1, -1}	{-0.613082, 0.026298, -0.777765, 0.510834, -1, -1, -1, -1}	{0.104307, 0.057916, 0.092944, 0.983233, -1, -1, -1, -1}	{0.979404, -0.459621, -0.686538, 0.660461, -1, -1, -1, -1}	{0.247689, 0.182217, -0.460249, 0.670851, -1, -1, -1, -1}	{0.868160, 0.171081, 0.669993, 0.703446, -1, -1, -1, -1}	{0.521227, 0.460199, 0.955725, -0.008246, -1, -1, -1, -1}	{1.079544, -0.069636, 0.660150, 0.678974, -1, -1, -1, -1}	{2.389111, 0.294040, 0.759792, 0.523656, -1, -1, -1, -1}	{2.918862, -0.146405, 0.376069, 1.018251, -1, -1, -1, -1}	{-2.978846, 0.539606, 1.030767, 0.236234, -1, -1, -1, -1}	{-2.480033, 0.235906, 0.829475, 0.590969, -1, -1, -1, -1}	{2.749386, -1.625359, -0.999623, 0.364118, -1, -1, -1, -1}	{2.878813, -1.268024, -0.803755, -0.577693, -1, -1, -1, -1}	{-2.347504, -2.008677, -0.873071, 0.531969, -1, -1, -1, -1}	{-2.045042, -0.990230, -0.986548, 0.176360, -1, -1, -1, -1}	{-1.071056, -0.668261, -1.119280, -0.066783, -1, -1, -1, -1}	{-0.582789, -0.685502, -0.885420, -0.391411, -1, -1, -1, -1}	{-0.962995, -1.197102, -0.972762, 0.109614, -1, -1, -1, -1}	{-0.090845, -0.674408, -0.952737, -0.347680, -1, -1, -1, -1}	{-0.404679, -0.569419, -0.950979, 0.282277, -1, -1, -1, -1}	{-0.701923, -1.083809, 1.191199, 0.018667, -1, -1, -1, -1}	{0.484043, -0.490914, 0.622871, -0.778478, -1, -1, -1, -1}	{0.221877, -0.780333, 0.949447, -0.399352, -1, -1, -1, -1}	{1.199558, -0.967274, 0.852383, -0.272650, -1, -1, -1, -1}	{1.357587, -1.510580, 0.910449, -0.475607, -1, -1, -1, -1}	{2.031661, -1.665722, 0.085797, 1.062275, -1, -1, -1, -1}	{2.361207, -0.918044, 0.810414, 0.481720, -1, -1, -1, -1}	{-2.416317, -0.937269, 0.923650, 0.416156, -1, -1, -1, -1}	{-2.661192, -1.567508, 0.962932, 0.253359, -1, -1, -1, -1}
{2.235886, 1.096679, -0.924021, -0.374400, -1, -1, -1, -1}	{-2.803851, 0.760349, -0.992407, -0.017664, -1, -1, -1, -1}	{-1.992260, 0.291641, -0.864307, 0.643658, -1, -1, -1, -1}	{-2.046333, 0.434929, -0.859500, 0.356619, -1, -1, -1, -1}	{-1.042960, -0.006843, -0.963637, 0.442061, -1, -1, -1, -1}	{-1.397251, -0.115559, -1.000392, 0.138780, -1, -1, -1, -1}	{-0.450635, 0.160395, -0.904519, -0.095824, -1, -1, -1, -1}	{-0.618418, -0.229884, -0.597541, 0.819241, -1, -1, -1, -1}	{-0.044019, 0.121871, 0.730624, 0.627867, -1, -1, -1, -1}	{1.109014, -0.234848, -0.989731, 0.347121, -1, -1, -1, -1}	{0.426828, -0.092384, -0.640468, 0.707673, -1, -1, -1, -1}	{0.893169, 0.122175, 0.355391, 0.950585, -1, -1, -1, -1}	{0.388876, 0.210492, 0.948965, -0.202479, -1, -1, -1, -1}	{0.875677, -0.007487, 0.911023, 0.464405, -1, -1, -1, -1}	{2.255590, 0.381084, 0.893517, 0.351856, -1, -1, -1, -1}	{2.962360, 0.041725, 0.356112, 0.969779, -1, -1, -1, -1}	{2.902065, 0.356322, 0.885758, 0.359707, -1, -1, -1, -1}	{-2.380657, 0.173911, 0.925418, 0.560851, -1, -1, -1, -1}	{2.676570, -1.504596, -0.872282, 0.059861, -1, -1, -1, -1}	{2.832191, -1.237880, -0.801960, -0.629910, -1, -1, -1, -1}	{-2.454284, -1.949065, -0.806472, 0.720326, -1, -1, -1, -1}	{-1.853599, -0.886544, -0.947123, 0.097391, -1, -1, -1, -1}	{-1.296693, -0.691296, -1.001419, -0.007307, -1, -1, -1, -1}	{-0.603331, -0.683211, -0.992869, -0.322704, -1, -1, -1, -1}	{-1.153999, -0.940457, -0.921769, -0.279309, -1, -1, -1, -1}	{-0.116648, -0.660693, -1.034192, -0.095176, -1, -1, -1, -1}	{-0.133907, -0.761597, -0.943261, 0.276314, -1, -1, -1, -1}	{-0.382392, -1.083613, 1.018625, 0.353108, -1, -1, -1, -1}	{0.452233, -0.567770, 0.702818, -0.831288, -1, -1, -1, -1}	{0.323620, -0.517181, 0.742024, -0.761786, -1, -1, -1, -1}	{1.355652, -0.939800, 0.929960, -0.567024, -1, -1, -1, -1}	{1.439307, -1.707074, 0.717508, -0.736571, -1, -1, -1, -1}	{1.829915, -1.519796, 0.465112, 0.830926, -1, -1, -1, -1}	{2.596915, -1.229138, 0.452290, 0.884150, -1, -1, -1, -1}	{-2.210333, -0.488576, 0.832998, 0.117733, -1, -1, -1, -1}	{-2.654717, -1.852421, 0.977124, 0.307643, -1, -1, -1, -1}
{2.219786, 1.223878, -0.932244, -0.428087, -1, -1, -1, -1}	{-2.572674, 1.101651, -0.875327, -0.403273, -1, -1, -1, -1}	{-1.943889, 0.625756, -0.910400, 0.296726, -1, -1, -1, -1}	{-2.239019, 0.793694, -0.952905, 0.109072, -1, -1, -1, -1}	{-1.442609, -0.307291, -0.704023, 0.828946, -1, -1, -1, -1}	{-1.277729, -0.434008, -0.672421, 0.578876, -1, -1, -1, -1}	{-0.421167, 0.330042, -0.870203, -0.001858, -1, -1, -1, -1}	{-1.091376, -0.541945, -0.485774, 0.877115, -1, -1, -1, -1}	{-0.101942, 0.023202, 0.632844, 0.685229, -1, -1, -1, -1}	{0.773182, -0.222427, -0.731377, 0.656972, -1, -1, -1, -1}	{0.425905, -0.085776, -0.712324, 0.629995, -1, -1, -1, -1}	{0.836988, 0.163030, 0.286664, 0.887553, -1, -1, -1, -1}	{0.563405, 0.463806, 0.676293, -0.683050, -1, -1, -1, -1}	{0.674978, -0.261816, 0.874105, 0.491454, -1, -1, -1, -1}	{2.101407, 0.436277, 0.874365, 0.441836, -1, -1, -1, -1}	{-2.718127, 0.060127, 0.303343, 0.806600, -1, -1, -1, -1}	{2.787769, 0.094837, 0.985715, 0.522287, -1, -1, -1, -1}	{-2.438813, 0.063562, 0.748957, 0.639944, -1, -1, -1, -1}	{2.509795, -1.244153, -1.098721, 0.153165, -1, -1, -1, -1}	{2.586461, -1.301845, -0.664608, -0.773108, -1, -1, -1, -1}	{-2.616531, -1.994963, -0.802191, 0.672650, -1, -1, -1, -1}	{-1.494627, -0.675254, -0.977626, 0.100435, -1, -1, -1, -1}	{-1.432391, -0.530392, -1.039754, 0.058295, -1, -1, -1, -1}	{-0.757964, -0.714874, -0.961456, -0.211102, -1, -1, -1, -1}	{-1.495558, -0.725090, -0.386610, -0.899509, -1, -1, -1, -1}	{0.187881, -0.780415, -1.108909, 0.299987, -1, -1, -1, -1}	{-0.238946, -0.838347, -0.811646, 0.322117, -1, -1, -1, -1}	{-0.120530, -1.022435, 0.952202, 0.194513, -1, -1, -1, -1}	{0.353462, -0.730110, 0.708504, -0.505053, -1, -1, -1, -1}	{0.503054, -0.661713, 0.479968, -0.746096, -1, -1, -1, -1}	{1.193920, -1.290396, 1.035130, -0.412178, -1, -1, -1, -1}	{1.254077, -1.800603, 0.830904, -0.528353, -1, -1, -1, -1}	{1.937172, -1.869122, 0.342598, 0.939091, -1, -1, -1, -1}	{2.432337, -1.082765, 0.536362, 0.738818, -1, -1, -1, -1}	{-2.454476, -0.388889, 1.022409, 0.117118, -1, -1, -1, -1}	{-2.614453, -1.906538, 0.926574, 0.408206, -1, -1, -1, -1}
{1.944348, 1.444017, -0.543090, -0.932356, -1, -1, -1, -1}	{-2.622471, 0.704487, -0.930277, 0.208022, -1, -1, -1, -1}	{-2.099432, 0.628661, -0.812678, 0.464061, -1, -1, -1, -1}	{-2.270281, 1.030167, -1.013979, -0.248870, -1, -1, -1, -1}	{-1.237903, -0.268829, -0.733475, 0.772670, -1, -1, -1, -1}	{-1.110014, -0.634568, -0.423241, 0.826424, -1, -1, -1, -1}	{-0.163134, 0.425082, -0.914220, -0.126156, -1, -1, -1, -1}	{-0.896656, -0.503384, -0.527032, 0.823646, -1, -1, -1, -1}	{-0.070872, -0.208778, 0.374669, 0.862584, -1, -1, -1, -1}	{0.506621, -0.191459, -0.274928, 0.942456, -1, -1, -1, -1}	{0.462670, 0.193217, -1.017810, 0.269559, -1, -1, -1, -1}	{0.661426, -0.103724, 0.159580, 0.888832, -1, -1, -1, -1}	{0.567080, 0.264190, 0.869753, -0.336217, -1, -1, -1, -1}	{0.768049, -0.497846, 0.836860, 0.473662, -1, -1, -1, -1}	{2.372126, 0.482271, 0.800884, 0.614408, -1, -1, -1, -1}	{-2.552927, -0.216316, 0.026791, 0.953867, -1, -1, -1, -1}	{2.912489, 0.347673, 0.925936, -0.159430, -1, -1, -1, -1}	{-2.289091, 0.366734, 0.963430, 0.107662, -1, -1, -1, -1}	{2.387796, -1.251882, -1.049361, 0.109255, -1, -1, -1, -1}	{-2.937605, -1.088619, -1.016029, -0.306384, -1, -1, -1, -1}	{-2.708390, -2.020783, -0.815139, 0.501258, -1, -1, -1, -1}	{-1.522452, -1.063310, -0.932829, 0.356954, -1, -1, -1, -1}	{-1.414237, -0.528579, -0.904623, 0.357093, -1, -1, -1, -1}	{-0.787718, -0.765172, -0.871007, -0.329962, -1, -1, -1, -1}	{-1.586583, -0.596029, -0.065655, -0.972446, -1, -1, -1, -1}	{-0.006281, -0.640778, -0.800613, 0.586911, -1, -1, -1, -1}	{-0.192561, -0.736261, -1.008007, -0.043590, -1, -1, -1, -1}	{-0.010450, -1.096961, 0.990092, 0.265746, -1, -1, -1, -1}	{0.388125, -1.082579, 1.083006, -0.137067, -1, -1, -1, -1}	{0.477295, -0.764454, 0.371112, -0.900001, -1, -1, -1, -1}	{1.094103, -1.165218, 0.819094, -0.556474, -1, -1, -1, -1}	{1.311648, -1.950308, 0.856036, -0.369025, -1, -1, -1, -1}	{2.079042, -1.826487, 0.193961, 0.923962, -1, -1, -1, -1}	{2.114148, -1.006770, 0.965790, 0.506709, -1, -1, -1, -1}	{-2.635102, -0.169663, 1.041138, -0.241292, -1, -1, -1, -1}	{-2.558418, -1.543469, 1.051103, 0.053683, -1, -1, -1, -1}
{2.008546, 1.528848, -0.426556, -0.989511, -1, -1, -1, -1}	{-2.559155, 0.526175, -0.810493, 0.470969, -1, -1, -1, -1}	{-2.096604, 0.789735, -0.951869, 0.297917, -1, -1, -1, -1}	{-2.427133, 1.459887, -0.915752, -0.589375, -1, -1, -1, -1}	{-1.107531, 0.185767, -0.914889, 0.319316, -1, -1, -1, -1}	{-1.180533, -0.536522, -0.386436, 0.807080, -1, -1, -1, -1}	{-0.077072, 0.297977, -0.991346, 0.053120, -1, -1, -1, -1}	{-0.717611, -0.376725, -0.687847, 0.689065, 2, -1, 1, -1}	{-0.253795, 0.022030, 0.145716, 0.928145, -1, -1, -1, -1}	{0.486573, -0.166586, -0.320713, 0.890985, -1, -1, -1, -1}	{0.277858, 0.039803, -0.871476, 0.210861, -1, -1, -1, -1}	{0.781388, -0.174536, 0.142651, 0.982512, -1, -1, -1, -1}	{0.506650, 0.096037, 1.036030, -0.282154, -1, -1, -1, -1}	{0.631268, -0.946937, 0.839330, 0.551094, -1, -1, -1, -1}	{2.331527, 0.489802, 0.772178, 0.592316, -1, -1, -1, -1}	{-2.565742, -0.377198, -0.131548, 1.023344, -1, -1, -1, -1}	{-2.982329, 0.547994, 0.746970, -0.569126, -1, -1, -1, -1}	{-2.062181, 0.700219, 0.938125, 0.050328, -1, -1, -1, -1}	{2.297798, -1.509418, -0.921137, 0.399138, -1, -1, -1, -1}	{2.989562, -1.093819, -0.929313, -0.159462, -1, -1, -1, -1}	{-2.510191, -2.030246, -0.906101, 0.492449, -1, -1, -1, -1}	{-1.663575, -1.041541, -1.011501, 0.331588, -1, -1, -1, -1}	{-1.359126, -0.614854, -0.985908, 0.159459, -1, -1, -1, -1}	{-0.600017, -0.874677, -0.900910, -0.365906, -1, -1, -1, -1}	{-1.248568, -0.636986, -0.425666, -0.820052, -1, -1, -1, -1}	{-0.178200, -0.595825, -0.618062, 0.723218, -1, -1, -1, -1}	{-0.397534, -0.603188, -0.892387, -0.418602, -1, -1, -1, -1}	{0.215316, -1.451637, 0.621322, 0.729319, -1, -1, -1, -1}	{0.312779, -1.221777, 1.110557, 0.032014, -1, -1, -1, -1}	{0.085477, -0.874588, 0.856543, -0.473905, -1, -1, -1, -1}	{1.130356, -1.085359, 0.679750, -0.888182, -1, -1, -1, -1}	{1.450900, -1.808873, 0.915889, -0.581115, -1, -1, -1, -1}	{1.751633, -2.029317, 0.362500, 0.913773, -1, -1, -1, -1}	{2.281257, -0.725826, 1.050017, 0.032011, -1, -1, -1, -1}	{-2.850316, -0.361629, 0.982497, 0.218082, -1, -1, -1, -1}	{-2.526257, -1.910745, 0.870034, 0.515717, -1, -1, -1, -1}
{1.949509, 1.346502, -0.663191, -0.700467, -1, -1, -1, -1}	{-2.462698, 0.587436, -0.923619, 0.367704, -1, -1, -1, -1}	{-2.157157, 0.646677, -0.909713, 0.405487, -1, -1, -1, -1}	{-2.231334, 1.012152, -0.941149, 0.011898, -1, -1, -1, -1}	{-0.998597, 0.135063, -0.942550, 0.538500, -1, -1, -1, -1}	{-1.048275, -0.569352, -0.382700, 0.927948, -1, -1, -1, -1}	{0.028006, 0.315026, -1.031548, 0.213818, -1, -1, -1, -1}	{-0.805332, -0.330645, -0.678020, 0.827174, 2, -1, 1, -1}	{0.065853, -0.395904, -0.338464, 1.001259, -1, -1, -1, -1}	{0.475353, -0.082080, -0.219237, 0.923349, -1, -1, -1, -1}	{0.128773, 0.178101, -0.925055, 0.291753, -1, -1, -1, -1}	{0.924404, -0.229560, -0.013902, 0.955738, -1, -1, -1, -1}	{0.296408, 0.049194, 0.910653, -0.314038, -1, -1, -1, -1}	{0.873239, -0.972107, 0.687974, 0.822763, -1, -1, -1, -1}	{2.345386, 0.633819, 0.958128, 0.366890, -1, -1, -1, -1}	{-2.613376, -0.368962, -0.093924, 1.061705, -1, -1, -1, -1}	{-2.858452, 0.344829, 0.620800, -0.728056, -1, -1, -1, -1}	{-2.187992, 0.379413, 0.961005, 0.270339, -1, -1, -1, -1}	{2.152573, -1.797991, -0.867578, 0.547374, -1, -1, -1, -1}	{-2.931365, -0.848483, -0.871618, -0.084128, -1, -1, -1, -1}	{-2.343769, -2.199939, -0.860327, 0.377377, -1, -1, -1, -1}	{-1.437710, -0.943888, -0.955964, -0.063025, -1, -1, -1, -1}	{-1.706671, -0.385382, -1.027618, 0.007040, -1, -1, -1, -1}	{-0.360904, -1.004095, -1.021971, -0.222657, -1, -1, -1, -1}	{-1.383303, -0.663795, -0.268585, -1.031232, -1, -1, -1, -1}	{-0.309435, -0.519028, -0.438766, 1.031660, -1, -1, -1, -1}	{-0.424871, -0.746179, -0.895888, -0.305744, -1, -1, -1, -1}	{0.180618, -1.154230, 0.324140, 0.864724, -1, -1, -1, -1}	{0.497279, -1.095338, 0.981141, 0.058920, -1, -1, -1, -1}	{0.127536, -0.965146, 0.841246, -0.610195, -1, -1, -1, -1}	{1.259243, -1.246295, 0.903256, -0.577274, -1, -1, -1, -1}	{1.934652, -1.571629, 0.680917, -0.711053, -1, -1, -1, -1}	{1.702569, -1.911655, 0.521765, 0.769294, -1, -1, -1, -1}	{2.239545, -0.748816, 0.993915, -0.179404, -1, -1, -1, -1}	{-2.813286, -0.191697, 0.959805, 0.163410, -1, -1, -1, -1}	{-2.319173, -2.002989, 0.742567, 0.533577, -1, -1, -1, -1}
