{-2.500000, -0.500000, 0.250000, 0}	{-1.250000, -0.500000, 0.250000, 0}	{0.000000, -0.500000, 0.250000, 0}	{1.250000, -0.500000, 0.250000, 0}	{2.500000, -0.500000, 0.250000, 0}	{-2.500000, 0.500000, 0.250000, 1}	{-1.250000, 0.500000, 0.250000, 1}	{0.000000, 0.500000, 0.250000, 1}	{1.250000, 0.500000, 0.250000, 1}	{2.500000, 0.500000, 0.250000, 1}	{-2.500000, -1.500000, 0.250000, 2}	{-1.250000, -1.500000, 0.250000, 2}	{0.000000, -1.500000, 0.250000, 2}	{1.250000, -1.500000, 0.250000, 2}	{2.500000, -1.500000, 0.250000, 2}	{-2.500000, 1.500000, 0.250000, 3}	{-1.250000, 1.500000, 0.250000, 3}	{0.000000, 1.500000, 0.250000, 3}	{1.250000, 1.500000, 0.250000, 3}	{2.500000, 1.500000, 0.250000, 3}
{-2.344273, -0.672720, 0.250000, 0}	{-1.366333, -0.503896, 0.250000, 0}	{-0.370076, -0.652805, 0.250000, 0}	{0.646927, -0.785079, 0.250000, 0}	{1.605697, -0.630486, 0.250000, 0}	{-1.890375, 0.712758, 0.250000, 1}	{-0.849033, 0.725074, 0.250000, 1}	{0.227052, 0.713021, 0.250000, 1}	{1.164684, 0.537668, 0.250000, 1}	{2.126916, 0.193642, 0.250000, 1}	{-2.081440, -1.491393, 0.250000, 2}	{-1.175939, -1.715770, 0.250000, 2}	{-0.211826, -1.757747, 0.250000, 2}	{0.758221, -1.546534, 0.250000, 2}	{1.788094, -1.275303, 0.250000, 2}	{-1.865873, 1.302995, 0.250000, 3}	{-0.850281, 1.352470, 0.250000, 3}	{0.158015, 1.530016, 0.250000, 3}	{1.072897, 1.672382, 0.250000, 3}	{2.023184, 1.416666, 0.250000, 3}
{-2.361426, -1.126969, 0.250000, 0}	{-1.398443, -0.797445, 0.250000, 0}	{-0.457311, -0.755685, 0.250000, 0}	{0.641102, -0.722083, 0.250000, 0}	{1.531796, -0.605037, 0.250000, 0}	{-2.061552, 0.522876, 0.250000, 1}	{-1.078857, 0.462717, 0.250000, 1}	{-0.071745, 0.298438, 0.250000, 1}	{0.893955, 0.132834, 0.250000, 1}	{1.895819, -0.133133, 0.250000, 1}	{-2.400258, -1.789213, 0.250000, 2}	{-1.489662, -1.671931, 0.250000, 2}	{-0.451739, -1.702102, 0.250000, 2}	{0.589636, -1.696851, 0.250000, 2}	{1.588538, -1.855605, 0.250000, 2}	{-1.730614, 1.445451, 0.250000, 3}	{-0.786158, 1.499585, 0.250000, 3}	{0.273236, 1.577193, 0.250000, 3}	{1.239017, 1.465096, 0.250000, 3}	{2.190533, 1.560092, 0.250000, 3}
{-2.361986, -1.031779, 0.250000, 0}	{-1.332079, -1.034734, 0.250000, 0}	{-0.454723, -0.658190, 0.250000, 0}	{0.557168, -0.614621, 0.250000, 0}	{1.505275, -0.576188, 0.250000, 0}	{-1.606105, 0.526343, 0.250000, 1}	{-0.716433, 0.207884, 0.250000, 1}	{0.144438, -0.031025, 0.250000, 1}	{1.202996, -0.027398, 0.250000, 1}	{2.077134, 0.184795, 0.250000, 1}	{-2.242351, -2.311280, 0.250000, 2}	{-1.279917, -1.970257, 0.250000, 2}	{-0.196343, -1.819157, 0.250000, 2}	{0.789601, -1.894042, 0.250000, 2}	{1.642926, -2.129288, 0.250000, 2}	{-2.003885, 1.836927, 0.250000, 3}	{-1.028661, 2.057511, 0.250000, 3}	{-0.022816, 2.009635, 0.250000, 3}	{0.970407, 1.861417, 0.250000, 3}	{1.862030, 1.437520, 0.250000, 3}
{-2.183958, -1.397864, 0.250000, 0}	{-1.325768, -0.958616, 0.250000, 0}	{-0.454692, -0.542585, 0.250000, 0}	{0.464963, -0.136334, 0.250000, 0}	{1.395821, 0.130130, 0.250000, 0}	{-1.427081, 0.730708, 0.250000, 1}	{-0.515345, 0.366663, 0.250000, 1}	{0.444797, 0.367815, 0.250000, 1}	{1.415708, 0.147402, 0.250000, 1}	{2.334982, -0.132509, 0.250000, 1}	{-2.364352, -2.121227, 0.250000, 2}	{-1.325151, -2.256828, 0.250000, 2}	{-0.368723, -2.071493, 0.250000, 2}	{0.524412, -1.883466, 0.250000, 2}	{1.623165, -1.853085, 0.250000, 2}	{-2.116705, 1.511224, 0.250000, 3}	{-1.135216, 1.710356, 0.250000, 3}	{-0.099522, 1.659921, 0.250000, 3}	{0.841704, 1.700410, 0.250000, 3}	{1.900067, 1.741318, 0.250000, 3}
{-2.090627, -1.420420, 0.250000, 0}	{-1.321012, -0.893208, 0.250000, 0}	{-0.430938, -0.480995, 0.250000, 0}	{0.534720, -0.146005, 0.250000, 0}	{1.379742, 0.238246, 0.250000, 0}	{-1.187667, 1.060563, 0.250000, 1}	{-0.235082, 0.829648, 0.250000, 1}	{0.743328, 0.552929, 0.250000, 1}	{1.675072, 0.084247, 0.250000, 1}	{2.665404, 0.085685, 0.250000, 1}	{-2.114027, -1.922080, 0.250000, 2}	{-1.271232, -1.565713, 0.250000, 2}	{-0.409137, -1.946254, 0.250000, 2}	{0.584275, -2.081586, 0.250000, 2}	{1.576100, -1.762636, 0.250000, 2}	{-1.941997, 1.146919, 0.250000, 3}	{-1.024613, 1.600948, 0.250000, 3}	{-0.060592, 1.883781, 0.250000, 3}	{0.908270, 1.709157, 0.250000, 3}	{1.881997, 1.930861, 0.250000, 3}
{-2.088459, -1.346135, 0.250000, 0}	{-1.449351, -0.655779, 0.250000, 0}	{-0.456462, -0.267018, 0.250000, 0}	{0.389811, 0.148902, 0.250000, 0}	{1.233319, 0.728202, 0.250000, 0}	{-1.149849, 1.094034, 0.250000, 1}	{-0.149712, 0.731365, 0.250000, 1}	{0.770010, 0.457461, 0.250000, 1}	{1.712740, 0.463886, 0.250000, 1}	{2.614840, 0.473958, 0.250000, 1}	{-2.192535, -2.336756, 0.250000, 2}	{-1.193212, -2.203852, 0.250000, 2}	{-0.107818, -2.040277, 0.250000, 2}	{0.873762, -1.849968, 0.250000, 2}	{1.734813, -1.469122, 0.250000, 2}	{-2.067412, 0.988188, 0.250000, 3}	{-1.058808, 0.959288, 0.250000, 3}	{-0.101139, 1.203293, 0.250000, 3}	{0.880421, 1.504662, 0.250000, 3}	{1.859003, 1.701422, 0.250000, 3}
{-2.146665, -1.439284, 0.250000, 0}	{-1.305449, -0.748762, 0.250000, 0}	{-0.459592, -0.136411, 0.250000, 0}	{0.239789, 0.622826, 0.250000, 0}	{1.167758, 1.183118, 0.250000, 0}	{-1.301949, 0.904564, 0.250000, 1}	{-0.397518, 0.827197, 0.250000, 1}	{0.547514, 0.731539, 0.250000, 1}	{1.550861, 0.703718, 0.250000, 1}	{2.552740, 0.512990, 0.250000, 1}	{-1.969326, -2.028678, 0.250000, 2}	{-0.928471, -2.026246, 0.250000, 2}	{0.014513, -1.815408, 0.250000, 2}	{1.105351, -1.603445, 0.250000, 2}	{1.995674, -1.249627, 0.250000, 2}	{-2.200293, 0.459319, 0.250000, 3}	{-1.099568, 0.851829, 0.250000, 3}	{-0.074251, 1.018536, 0.250000, 3}	{0.940567, 1.423337, 0.250000, 3}	{2.079632, 1.501256, 0.250000, 3}
{-1.708066, -1.457462, 0.250000, 0}	{-1.242806, -0.681156, 0.250000, 0}	{-0.522091, 0.028686, 0.250000, 0}	{0.290948, 0.619226, 0.250000, 0}	{0.894584, 1.438340, 0.250000, 0}	{-1.317925, 0.569319, 0.250000, 1}	{-0.207104, 0.565027, 0.250000, 1}	{0.816319, 0.566561, 0.250000, 1}	{1.738970, 0.550947, 0.250000, 1}	{2.680880, 0.672831, 0.250000, 1}	{-2.122537, -2.200353, 0.250000, 2}	{-1.073461, -2.126368, 0.250000, 2}	{-0.092966, -1.847857, 0.250000, 2}	{0.945007, -1.578691, 0.250000, 2}	{1.736503, -1.046259, 0.250000, 2}	{-1.811389, 0.271692, 0.250000, 3}	{-1.027770, 0.712401, 0.250000, 3}	{-0.033556, 1.026623, 0.250000, 3}	{0.888005, 0.968816, 0.250000, 3}	{1.828884, 0.746979, 0.250000, 3}
{-2.203180, -1.071370, 0.250000, 0}	{-1.394884, -0.433120, 0.250000, 0}	{-0.706157, 0.307175, 0.250000, 0}	{0.172995, 0.748438, 0.250000, 0}	{0.903655, 1.387257, 0.250000, 0}	{-1.137861, 0.225778, 0.250000, 1}	{-0.188274, 0.385509, 0.250000, 1}	{0.760127, 0.385716, 0.250000, 1}	{1.807839, 0.550789, 0.250000, 1}	{2.747297, 0.508208, 0.250000, 1}	{-2.272380, -2.300610, 0.250000, 2}	{-1.287619, -2.145141, 0.250000, 2}	{-0.308594, -1.938170, 0.250000, 2}	{0.518346, -1.710923, 0.250000, 2}	{1.612031, -1.448539, 0.250000, 2}	{-2.100346, 1.068058, 0.250000, 3}	{-1.098500, 0.888612, 0.250000, 3}	{-0.074368, 0.955018, 0.250000, 3}	{0.907779, 1.170248, 0.250000, 3}	{1.868893, 0.932670, 0.250000, 3}
{-2.172746, -0.680116, 0.250000, 0}	{-1.244342, -0.271713, 0.250000, 0}	{-0.318380, 0.153609, 0.250000, 0}	{0.497106, 0.669399, 0.250000, 0}	{1.055738, 1.558774, 0.250000, 0}	{-0.568437, -0.520080, 0.250000, 1}	{0.236604, 0.138475, 0.250000, 1}	{1.111770, 0.270406, 0.250000, 1}	{2.018226, 0.383955, 0.250000, 1}	{2.914904, 0.458586, 0.250000, 1}	{-2.310714, -2.575869, 0.250000, 2}	{-1.290981, -2.204306, 0.250000, 2}	{-0.365832, -1.655468, 0.250000, 2}	{0.603631, -1.431746, 0.250000, 2}	{1.415089, -0.660717, 0.250000, 2}	{-2.021739, 1.066568, 0.250000, 3}	{-1.022759, 0.971470, 0.250000, 3}	{-0.108118, 0.888718, 0.250000, 3}	{0.866306, 0.937768, 0.250000, 3}	{1.760514, 1.343773, 0.250000, 3}
{-2.545258, -0.582733, 0.250000, 0}	{-1.713101, -0.197724, 0.250000, 0}	{-0.725191, -0.055365, 0.250000, 0}	{0.292566, 0.421147, 0.250000, 0}	{0.978670, 1.154329, 0.250000, 0}	{-0.767110, -0.709619, 0.250000, 1}	{0.291023, -0.519796, 0.250000, 1}	{1.180595, -0.111229, 0.250000, 1}	{2.066795, 0.270814, 0.250000, 1}	{-2.920615, 0.489723, 0.250000, 1}	{-1.818724, -2.698205, 0.250000, 2}	{-0.953777, -2.381468, 0.250000, 2}	{-0.142802, -1.912084, 0.250000, 2}	{0.420281, -1.224919, 0.250000, 2}	{1.162815, -0.613413, 0.250000, 2}	{-2.250439, 0.615513, 0.250000, 3}	{-1.264799, 0.699978, 0.250000, 3}	{-0.332452, 0.952099, 0.250000, 3}	{0.591892, 0.948048, 0.250000, 3}	{1.636781, 0.859749, 0.250000, 3}
{-2.289829, -1.222567, 0.250000, 0}	{-1.673779, -0.620810, 0.250000, 0}	{-0.880332, 0.030799, 0.250000, 0}	{0.018843, 0.480352, 0.250000, 0}	{0.971985, 0.826713, 0.250000, 0}	{-0.494870, -0.672838, 0.250000, 1}	{0.436342, -0.255490, 0.250000, 1}	{1.187405, 0.043209, 0.250000, 1}	{2.141329, 0.365048, 0.250000, 1}	{-2.858829, 0.611060, 0.250000, 1}	{-1.174346, 2.635004, 0.250000, 2}	{-0.696790, -2.480317, 0.250000, 2}	{0.010730, -1.801870, 0.250000, 2}	{0.548698, -0.978975, 0.250000, 2}	{1.369093, -0.471066, 0.250000, 2}	{-2.125178, 0.697071, 0.250000, 3}	{-1.136053, 0.815074, 0.250000, 3}	{-0.163186, 1.029944, 0.250000, 3}	{0.729548, 1.372682, 0.250000, 3}	{1.667481, 1.519235, 0.250000, 3}
{-2.188832, -1.756691, 0.250000, 0}	{-1.340735, -1.164644, 0.250000, 0}	{-0.473467, -0.580563, 0.250000, 0}	{0.219626, 0.161794, 0.250000, 0}	{1.012913, 0.851065, 0.250000, 0}	{-0.755339, -0.276749, 0.250000, 1}	{0.253943, -0.302226, 0.250000, 1}	{1.225740, -0.107090, 0.250000, 1}	{2.223368, 0.300159, 0.250000, 1}	{-2.770298, 0.380443, 0.250000, 1}	{-1.315286, 2.687784, 0.250000, 2}	{-0.409681, -2.898557, 0.250000, 2}	{0.113680, -1.952874, 0.250000, 2}	{0.558078, -0.921170, 0.250000, 2}	{1.461223, -0.263069, 0.250000, 2}	{-1.775538, -0.084687, 0.250000, 3}	{-1.064486, 0.632275, 0.250000, 3}	{-0.219725, 1.060578, 0.250000, 3}	{0.689968, 1.308257, 0.250000, 3}	{1.665381, 1.197809, 0.250000, 3}
{-1.574197, -1.780858, 0.250000, 0}	{-1.095445, -0.974654, 0.250000, 0}	{-0.315632, -0.331304, 0.250000, 0}	{0.656545, 0.136521, 0.250000, 0}	{1.455944, 0.895616, 0.250000, 0}	{-0.592167, -0.566340, 0.250000, 1}	{0.397935, -0.607793, 0.250000, 1}	{1.299413, -0.158497, 0.250000, 1}	{2.192497, 0.361971, 0.250000, 1}	{-2.968990, 0.825870, 0.250000, 1}	{-0.674560, 2.356527, 0.250000, 2}	{-0.526664, -2.644771, 0.250000, 2}	{-0.036927, -1.632604, 0.250000, 2}	{0.700674, -0.909085, 0.250000, 2}	{1.511536, -0.158918, 0.250000, 2}	{-2.042931, -0.266704, 0.250000, 3}	{-1.219029, 0.303944, 0.250000, 3}	{-0.391478, 0.771728, 0.250000, 3}	{0.513663, 0.855268, 0.250000, 3}	{1.529902, 0.794264, 0.250000, 3}
