{1.582944, 0.499736, -0.139547, 0.055016, -1, -1, -1, -1}	{-0.419988, 2.845993, 0.134973, -0.065438, -1, -1, -1, -1}
{1.704224, 0.812208, 0.108983, -0.141798, -1, -1, -1, -1}	{-0.195949, -2.880486, -0.150185, -0.137636, -1, -1, -1, -1}
{1.044472, 0.624156, -0.155683, 0.272594, -1, -1, -1, -1}	{-0.223565, 2.758976, -0.159748, 0.092950, -1, -1, -1, -1}
{0.969094, 0.610837, -0.203109, -0.034417, -1, -1, -1, -1}	{-0.244700, 2.806968, -0.213392, -0.059020, -1, -1, -1, -1}
{1.324223, -0.037103, 0.061373, 0.017721, -1, -1, -1, -1}	{-0.208038, -2.557586, 0.087271, -0.175668, -1, -1, -1, -1}
{0.943650, -0.163723, 0.156379, 0.181419, -1, -1, -1, -1}	{-0.410230, -2.703974, -0.125339, 0.124320, -1, -1, -1, -1}
{0.691941, 0.547819, 0.070740, -0.287011, -1, -1, -1, -1}	{-0.022160, -2.532935, -0.044145, -0.154518, -1, -1, -1, -1}
{0.915991, 0.614141, -0.312366, -0.004473, -1, -1, -1, -1}	{0.085203, -2.364205, -0.192729, 0.070095, -1, -1, -1, -1}
{1.203155, 0.382099, 0.100567, -0.101601, -1, -1, -1, -1}	{0.121082, -2.127372, -0.058271, 0.175317, -1, -1, -1, -1}
{1.792362, 0.548350, 0.111433, -0.017139, 1, -1, 2, -1}	{0.320933, -1.624331, -0.198149, 0.035538, -1, -1, -1, -1}
{2.002680, 0.382008, 0.115393, 0.098548, 1, -1, 2, -1}	{-0.221270, -1.594143, -0.159858, -0.147044, -1, -1, -1, -1}
{2.052408, 0.264611, 0.040353, -0.199309, 1, -1, 2, -1}	{-0.774634, -1.805738, -0.016464, 0.241717, -1, -1, -1, -1}
{2.126483, 0.360039, -0.140127, -0.186545, 1, -1, 2, -1}	{-0.409971, -1.804010, -0.017044, -0.156240, -1, -1, -1, -1}
{2.208863, 0.294237, 0.154383, 0.057006, 1, -1, 2, -1}	{-0.009608, -2.624589, -0.053786, 0.017979, -1, -1, -1, -1}
{2.178960, 0.354082, -0.112208, 0.052670, 1, -1, 2, -1}	{0.323696, -2.130589, -0.098694, -0.081654, -1, -1, -1, -1}
{1.963706, 0.480446, 0.137502, 0.101625, 1, -1, 2, -1}	{0.798010, -2.143482, -0.156989, -0.101703, -1, -1, -1, -1}
{2.000516, 0.382584, -0.112558, -0.158213, 1, -1, 2, -1}	{0.021678, -2.442642, -0.236766, -0.083827, -1, -1, -1, -1}
{1.548274, 0.569009, -0.109284, -0.160436, 1, -1, 2, -1}	{-0.169195, -2.341140, -0.230852, 0.097538, -1, -1, -1, -1}
{1.763724, 0.682458, -0.020567, 0.179722, 1, -1, 2, -1}	{-0.973198, -2.330974, 0.074669, -0.010146, -1, -1, -1, -1}
{1.765746, 0.839966, 0.089084, 0.072138, 1, -1, 2, -1}	{-1.685497, -2.805118, 0.106328, -0.066987, -1, -1, -1, -1}
{1.802551, 1.106204, -0.098716, -0.170615, 1, -1, 2, -1}	{-1.918435, -2.461270, -0.291564, 0.000896, -1, -1, -1, -1}
{1.603337, 1.177445, -0.074262, -0.113685, 1, -1, 2, -1}	{-2.143283, -2.758470, 0.022382, 0.087807, -1, -1, -1, -1}
{1.626432, 0.662674, 0.079626, -0.041697, 1, -1, 2, -1}	{-1.363339, -2.687948, 0.137632, -0.136495, -1, -1, -1, -1}
{1.633225, 0.979386, -0.154612, 0.029775, 1, -1, 2, -1}	{-1.052212, -2.753069, -0.149153, 0.142717, -1, -1, -1, -1}
{1.694311, 0.800581, -0.045906, -0.179176, 1, -1, 2, -1}	{-0.898090, -2.063080, -0.116024, -0.109573, -1, -1, -1, -1}
{1.982656, 0.776606, -0.224950, -0.201720, 1, -1, 2, -1}	{-1.163520, -2.084016, -0.239912, -0.046893, -1, -1, -1, -1}
{1.707364, 0.566336, -0.002846, 0.073659, 1, -1, 2, -1}	{-1.724390, -2.042803, -0.025295, 0.137699, -1, -1, -1, -1}
{1.681972, 0.824419, -0.247597, -0.153723, 1, -1, 2, -1}	{-1.656861, -2.048474, -0.101390, -0.139942, -1, -1, -1, -1}
{1.817929, 0.573339, -0.177864, 0.050540, 1, -1, 2, -1}	{-1.154586, -2.475992, 0.163251, 0.075371, -1, -1, -1, -1}
{1.813041, 0.592958, 0.141399, -0.133526, 1, -1, 2, -1}	{-1.177597, -2.195663, 0.035622, -0.042108, -1, -1, -1, -1}
{1.456960, 0.398602, 0.197674, 0.093412, 1, -1, 2, -1}	{-1.689391, -2.266879, -0.124733, -0.182933, -1, -1, -1, -1}
{1.325386, 0.361819, 0.171262, 0.005796, 1, -1, 2, -1}	{-1.096785, -2.477661, -0.194143, 0.087146, -1, -1, -1, -1}
{1.389977, 0.417932, -0.186831, -0.089278, 1, -1, 2, -1}	{-1.510637, -2.466561, -0.046083, -0.175683, -1, -1, -1, -1}
{1.077512, -0.139751, -0.178758, 0.022044, 1, -1, 2, -1}	{-1.400519, -2.362206, 0.096795, -0.036157, -1, -1, -1, -1}
{1.159914, 0.014770, -0.139008, -0.046912, 1, -1, 2, -1}	{-0.905492, -2.082469, -0.056965, -0.078268, -1, -1, -1, -1}
{1.313089, -0.029143, 0.051784, 0.008083, 1, -1, 2, -1}	{-1.538623, -2.163389, -0.169522, 0.068341, -1, -1, -1, -1}
{1.298996, 0.106400, -0.037018, -0.145338, 1, -1, 2, -1}	{-1.107750, -2.143261, -0.094917, 0.042171, -1, -1, -1, -1}
{1.111418, 0.460240, 0.162103, 0.038066, 1, -1, 2, -1}	{-1.226664, -2.311174, -0.049542, -0.226370, -1, -1, -1, -1}
{1.334195, 0.288956, -0.080950, 0.131347, 1, -1, 2, -1}	{-1.580875, -2.597841, 0.098262, 0.174296, -1, -1, -1, -1}
{1.255401, 0.337415, -0.051755, -0.069769, 1, -1, 2, -1}	{-1.491715, 2.974338, 0.125317, 0.166760, -1, -1, -1, -1}
{1.196014, 0.300414, -0.172201, -0.118837, 1, -1, 2, -1}	{-1.749086, -2.760818, 0.017080, -0.194381, -1, -1, -1, -1}
{1.170076, 0.348322, -0.010478, -0.105400, 1, -1, 2, -1}	{-1.220099, 2.977735, -0.114776, 0.043066, -1, -1, -1, -1}
{1.370761, 0.255140, 0.100133, -0.117838, 1, -1, 2, -1}	{-1.536543, -2.508838, -0.174553, 0.144351, -1, -1, -1, -1}
{1.251808, 0.180180, -0.242380, -0.222690, 1, -1, 2, -1}	{-1.489093, 2.682327, -0.008116, 0.107769, -1, -1, -1, -1}
{1.223668, 0.537961, 0.014150, -0.124265, 1, -1, 2, -1}	{-2.037768, -2.123113, 0.001278, -0.094746, -1, -1, -1, -1}
{1.306994, 0.407953, -0.246689, 0.035628, 1, -1, 2, -1}	{-1.822685, -2.415672, -0.048640, 0.162748, -1, -1, -1, -1}
{1.336594, 0.252821, 0.004203, -0.121990, 1, -1, 2, -1}	{-1.682314, -2.215787, 0.289420, -0.006690, -1, -1, -1, -1}
{1.336589, 0.509371, 0.224573, 0.175618, 1, -1, 2, -1}	{-1.624711, -2.384652, -0.193205, 0.012246, -1, -1, -1, -1}
{0.916460, 0.530357, 0.124252, 0.093454, 1, -1, 2, -1}	{-1.177070, -2.919023, -0.180539, -0.103370, -1, -1, -1, -1}
{0.934926, 0.945646, -0.164143, -0.073290, 1, -1, 2, -1}	{-1.506382, -2.595374, 0.112179, 0.074543, -1, -1, -1, -1}
{0.902359, 1.017010, 0.051651, -0.048492, 1, -1, 2, -1}	{-1.232241, -2.216268, 0.154857, 0.133806, -1, -1, -1, -1}
{1.270398, 0.870893, -0.128145, 0.111540, 1, -1, 2, -1}	{-1.541407, -1.613468, 0.175773, 0.119653, -1, -1, -1, -1}
{1.145549, 0.929955, 0.128367, 0.048020, 1, -1, 2, -1}	{-1.862651, -1.549142, -0.100503, 0.018394, -1, -1, -1, -1}
{0.676653, 0.865490, -0.194078, -0.100334, 1, -1, 2, -1}	{-1.985086, -2.103065, 0.143940, 0.083951, -1, -1, -1, -1}
{0.402827, 0.647119, 0.085059, 0.229889, 1, -1, 2, -1}	{-1.675935, -1.464257, 0.106664, -0.042755, -1, -1, -1, -1}
{0.766370, 0.188919, 0.134906, 0.027655, 1, -1, 2, -1}	{-1.710094, -2.134222, 0.247615, 0.145681, -1, -1, -1, -1}
{0.876318, 0.348311, 0.012080, -0.117997, 1, -1, 2, -1}	{-1.861780, -1.950250, -0.006296, -0.108772, -1, -1, -1, -1}
{0.989577, 0.452618, -0.153634, -0.117506, 1, -1, 2, -1}	{-1.444124, -1.932787, 0.009369, 0.104150, -1, -1, -1, -1}
{0.529703, 0.248593, -0.115577, -0.085895, 1, -1, 2, -1}	{-1.237328, -1.969291, -0.020518, 0.115618, -1, -1, -1, -1}
{0.531160, 0.140848, 0.118358, -0.013338, 1, -1, 2, -1}	{-1.012726, -1.259244, 0.137002, -0.063369, -1, -1, -1, -1}
{0.164976, 0.126435, -0.160643, 0.117800, 1, -1, 2, -1}	{-0.580313, -1.162061, -0.035193, 0.176943, -1, -1, -1, -1}
{0.504546, 0.207698, 0.006771, 0.002542, 1, -1, 2, -1}	{-0.063581, -0.909262, -0.073407, -0.142882, -1, -1, -1, -1}
{0.976604, 0.218054, -0.140670, 0.065782, 1, -1, 2, -1}	{0.283433, -0.855857, -0.012395, 0.090653, -1, -1, -1, -1}
{0.876288, 0.004840, 0.162438, 0.075102, 1, -1, 2, -1}	{0.098187, -0.720313, 0.089876, -0.132248, -1, -1, -1, -1}
{1.052691, -0.082805, 0.097546, 0.167878, 1, -1, 2, -1}	{-0.067793, -1.081173, -0.195728, -0.076998, -1, -1, -1, -1}
{1.332262, -0.239816, 0.020684, 0.117800, 1, -1, 2, -1}	{-0.099881, -0.659836, -0.108245, -0.148521, -1, -1, -1, -1}
{1.262085, 0.158980, 0.113427, -0.137438, 1, -1, 2, -1}	{-0.794134, 0.268366, 0.183805, 0.047119, -1, -1, -1, -1}
{1.157422, 0.375323, -0.037234, -0.160823, 1, -1, 2, -1}	{-0.458117, 0.095368, -0.052301, 0.138055, -1, -1, -1, -1}
{1.333473, 0.136031, -0.075041, 0.080815, 1, -1, 2, -1}	{-0.819749, 0.561895, 0.138547, -0.128355, -1, -1, -1, -1}
{1.242580, -0.227280, 0.000150, 0.077874, 1, -1, 2, -1}	{-1.037813, 0.209515, -0.041133, -0.112583, -1, -1, -1, -1}
{1.142742, -0.237629, -0.107950, -0.093201, 1, -1, 2, -1}	{-1.386831, 0.336383, 0.012221, -0.165474, -1, -1, -1, -1}
{1.241976, -0.383215, -0.148930, -0.070671, 1, -1, 2, -1}	{-1.331893, 0.082584, -0.063413, -0.110980, -1, -1, -1, -1}
{0.996343, -0.806869, -0.108608, -0.012051, 1, -1, 2, -1}	{-0.758275, 0.767338, -0.179814, -0.163592, -1, -1, -1, -1}
{1.088944, -0.609161, 0.202254, 0.033288, 1, -1, 2, -1}	{-1.122833, 0.378572, 0.108163, -0.142469, -1, -1, -1, -1}
{0.642231, -0.814672, -0.087099, 0.125084, 1, -1, 2, -1}	{-0.801802, 0.842715, -0.098651, -0.036906, -1, -1, -1, -1}
{0.498510, -0.504870, -0.137265, 0.113553, 1, -1, 2, -1}	{-0.351692, 0.264824, 0.117426, -0.100914, -1, -1, -1, -1}
{0.587964, -0.842100, -0.128526, -0.133142, 1, -1, 2, -1}	{-0.091059, -0.259388, 0.185521, 0.036763, -1, -1, -1, -1}
{0.884567, -0.768168, -0.246409, -0.067967, 1, -1, 2, -1}	{0.193535, 0.054711, -0.045031, -0.178171, -1, -1, -1, -1}
{0.831299, -0.790523, 0.107809, -0.039968, 1, -1, 2, -1}	{-0.369304, -0.268544, 0.028897, 0.025151, -1, -1, -1, -1}
{0.499830, -0.850011, -0.027580, 0.129681, 1, -1, 2, -1}	{-1.191298, -0.446386, 0.089734, 0.019635, -1, -1, -1, -1}
{0.728000, -0.561205, 0.022112, -0.187057, 1, -1, 2, -1}	{-1.176959, -0.159983, 0.037693, -0.116295, -1, -1, -1, -1}
{0.417273, -0.801999, -0.158037, -0.015332, 1, -1, 2, -1}	{-1.348309, -0.079096, -0.171127, 0.052722, -1, -1, -1, -1}
{0.364456, -0.538442, -0.187333, 0.196928, 1, -1, 2, -1}	{-1.532699, 0.096921, -0.004516, -0.091948, -1, -1, -1, -1}
{0.177352, -0.450016, -0.001918, 0.195308, 1, -1, 2, -1}	{-1.254532, -0.511127, -0.083265, 0.230132, -1, -1, -1, -1}
{0.633135, -0.453032, -0.021804, 0.196704, 1, -1, 2, -1}	{-1.209853, -1.635856, 0.158608, -0.116391, -1, -1, -1, -1}
{0.322045, -0.636621, -0.102379, -0.104932, 1, -1, 2, -1}	{-0.516396, -1.565705, -0.026442, 0.076792, -1, -1, -1, -1}
{0.157673, -0.454850, -0.095819, 0.045054, 1, -1, 2, -1}	{-0.557758, -1.912953, -0.232983, 0.060796, -1, -1, -1, -1}
