{-2.500000, -0.500000, 1.250000, 0.000000, 0}	{-1.250000, -0.500000, 1.250000, 0.000000, 0}	{0.000000, -0.500000, 1.250000, 0.000000, 0}	{1.250000, -0.500000, 1.250000, 0.000000, 0}	{-2.500000, 0.500000, 1.250000, 0.000000, 1}	{-1.250000, 0.500000, 1.250000, 0.000000, 1}	{0.000000, 0.500000, 1.250000, 0.000000, 1}	{1.250000, 0.500000, 1.250000, 0.000000, 1}	{-2.500000, -1.500000, 1.250000, 0.000000, 2}	{-1.250000, -1.500000, 1.250000, 0.000000, 2}	{0.000000, -1.500000, 1.250000, 0.000000, 2}	{1.250000, -1.500000, 1.250000, 0.000000, 2}	{-2.500000, 1.500000, 1.250000, 0.000000, 3}	{-1.250000, 1.500000, 1.250000, 0.000000, 3}	{0.000000, 1.500000, 1.250000, 0.000000, 3}	{1.250000, 1.500000, 1.250000, 0.000000, 3}
{-2.344273, -0.672720, 0.977941, 0.168824, 0}	{-1.366333, -0.503896, 0.996256, -0.148910, 0}	{-0.370076, -0.652805, 1.017004, -0.132274, 0}	{0.646927, -0.785079, 0.958770, 0.154593, 0}	{-1.890375, 0.712758, 1.041341, 0.012316, 1}	{-0.849033, 0.725074, 1.076085, -0.012053, 1}	{0.227052, 0.713021, 0.937632, -0.175353, 1}	{1.164684, 0.537668, 0.962232, -0.344026, 1}	{-2.081440, -1.491393, 0.905501, -0.224378, 2}	{-1.175939, -1.715770, 0.964113, -0.041976, 2}	{-0.211826, -1.757747, 0.970048, 0.211212, 2}	{0.758221, -1.546534, 1.029872, 0.271231, 2}	{-1.865873, 1.302995, 1.015592, 0.049475, 3}	{-0.850281, 1.352470, 1.008296, 0.177547, 3}	{0.158015, 1.530016, 0.914882, 0.142365, 3}	{1.072897, 1.672382, 0.950287, -0.255715, 3}
{-2.361426, -1.126969, 0.962984, 0.329524, 0}	{-1.398443, -0.797445, 0.941132, 0.041760, 0}	{-0.457311, -0.755685, 1.098413, 0.033602, 0}	{0.641102, -0.722083, 0.890694, 0.117046, 0}	{-2.061552, 0.522876, 0.982694, -0.060158, 1}	{-1.078857, 0.462717, 1.007113, -0.164279, 1}	{-0.071745, 0.298438, 0.965700, -0.165604, 1}	{0.893955, 0.132834, 1.001864, -0.265967, 1}	{-2.400258, -1.789213, 0.910596, 0.117281, 2}	{-1.489662, -1.671931, 1.037923, -0.030170, 2}	{-0.451739, -1.702102, 1.041376, 0.005250, 2}	{0.589636, -1.696851, 0.998902, -0.158753, 2}	{-1.730614, 1.445451, 0.944456, 0.054135, 3}	{-0.786158, 1.499585, 1.059394, 0.077608, 3}	{0.273236, 1.577193, 0.965781, -0.112097, 3}	{1.239017, 1.465096, 0.951516, 0.094996, 3}
{-2.361986, -1.031779, 1.029906, -0.002955, 0}	{-1.332079, -1.034734, 0.877356, 0.376544, 0}	{-0.454723, -0.658190, 1.011891, 0.043569, 0}	{0.557168, -0.614621, 0.948107, 0.038433, 0}	{-1.606105, 0.526343, 0.889672, -0.318460, 1}	{-0.716433, 0.207884, 0.860870, -0.238909, 1}	{0.144438, -0.031025, 1.058558, 0.003628, 1}	{1.202996, -0.027398, 0.874138, 0.212193, 1}	{-2.242351, -2.311280, 0.962434, 0.341023, 2}	{-1.279917, -1.970257, 1.083574, 0.151100, 2}	{-0.196343, -1.819157, 0.985944, -0.074885, 2}	{0.789601, -1.894042, 0.853325, -0.235246, 2}	{-2.003885, 1.836927, 0.975224, 0.220584, 3}	{-1.028661, 2.057511, 1.005845, -0.047876, 3}	{-0.022816, 2.009635, 0.993223, -0.148218, 3}	{0.970407, 1.861417, 0.891623, -0.423897, 3}
{-2.183958, -1.397864, 0.858190, 0.439248, 0}	{-1.325768, -0.958616, 0.871077, 0.416031, 0}	{-0.454692, -0.542585, 0.919655, 0.406251, 0}	{0.464963, -0.136334, 0.930858, 0.266465, 0}	{-1.427081, 0.730708, 0.911736, -0.364045, 1}	{-0.515345, 0.366663, 0.960142, 0.001152, 1}	{0.444797, 0.367815, 0.970911, -0.220412, 1}	{1.415708, 0.147402, 0.919273, -0.279912, 1}	{-2.364352, -2.121227, 1.039201, -0.135601, 2}	{-1.325151, -2.256828, 0.956428, 0.185335, 2}	{-0.368723, -2.071493, 0.893134, 0.188027, 2}	{0.524412, -1.883466, 1.098754, 0.030380, 2}	{-2.116705, 1.511224, 0.981489, 0.199132, 3}	{-1.135216, 1.710356, 1.035694, -0.050435, 3}	{-0.099522, 1.659921, 0.941226, 0.040489, 3}	{0.841704, 1.700410, 1.058363, 0.040908, 3}
{-2.090627, -1.420420, 0.769614, 0.527212, 0}	{-1.321012, -0.893208, 0.890074, 0.412214, 0}	{-0.430938, -0.480995, 0.965658, 0.334990, 0}	{0.534720, -0.146005, 0.845023, 0.384250, 0}	{-1.187667, 1.060563, 0.952585, -0.230915, 1}	{-0.235082, 0.829648, 0.978410, -0.276718, 1}	{0.743328, 0.552929, 0.931744, -0.468682, 1}	{1.675072, 0.084247, 0.990332, 0.001438, 1}	{-2.114027, -1.922080, 0.842795, 0.356367, 2}	{-1.271232, -1.565713, 0.862095, -0.380541, 2}	{-0.409137, -1.946254, 0.993412, -0.135332, 2}	{0.584275, -2.081586, 0.991825, 0.318950, 2}	{-1.941997, 1.146919, 0.917384, 0.454029, 3}	{-1.024613, 1.600948, 0.964021, 0.282833, 3}	{-0.060592, 1.883781, 0.968862, -0.174625, 3}	{0.908270, 1.709157, 0.973727, 0.221704, 3}
{-2.088459, -1.346135, 0.639109, 0.690356, 0}	{-1.449351, -0.655779, 0.992889, 0.388762, 0}	{-0.456462, -0.267018, 0.846272, 0.415919, 0}	{0.389811, 0.148902, 0.843508, 0.579301, 0}	{-1.149849, 1.094034, 1.000137, -0.362668, 1}	{-0.149712, 0.731365, 0.919722, -0.273904, 1}	{0.770010, 0.457461, 0.942729, 0.006425, 1}	{1.712740, 0.463886, 0.902100, 0.010072, 1}	{-2.192535, -2.336756, 0.999323, 0.132904, 2}	{-1.193212, -2.203852, 1.085394, 0.163575, 2}	{-0.107818, -2.040277, 0.981579, 0.190309, 2}	{0.873762, -1.849968, 0.861051, 0.380847, 2}	{-2.067412, 0.988188, 1.008604, -0.028900, 3}	{-1.058808, 0.959288, 0.957670, 0.244005, 3}	{-0.101139, 1.203293, 0.981560, 0.301369, 3}	{0.880421, 1.504662, 0.978581, 0.196760, 3}
{-2.146665, -1.439284, 0.841215, 0.690521, 0}	{-1.305449, -0.748762, 0.845857, 0.612351, 0}	{-0.459592, -0.136411, 0.699381, 0.759237, 0}	{0.239789, 0.622826, 0.927969, 0.560292, 0}	{-1.301949, 0.904564, 0.904431, -0.077367, 1}	{-0.397518, 0.827197, 0.945031, -0.095657, 1}	{0.547514, 0.731539, 1.003347, -0.027821, 1}	{1.550861, 0.703718, 1.001878, -0.190728, 1}	{-1.969326, -2.028678, 1.040855, 0.002432, 2}	{-0.928471, -2.026246, 0.942985, 0.210838, 2}	{0.014513, -1.815408, 1.090838, 0.211963, 2}	{1.105351, -1.603445, 0.890323, 0.353818, 2}	{-2.200293, 0.459319, 1.100725, 0.392509, 3}	{-1.099568, 0.851829, 1.025317, 0.166708, 3}	{-0.074251, 1.018536, 1.014818, 0.404800, 3}	{0.940567, 1.423337, 1.139065, 0.077919, 3}
{-1.708066, -1.457462, 0.465260, 0.776306, 0}	{-1.242806, -0.681156, 0.720715, 0.709841, 0}	{-0.522091, 0.028686, 0.813039, 0.590540, 0}	{0.290948, 0.619226, 0.603636, 0.819114, 0}	{-1.317925, 0.569319, 1.110822, -0.004292, 1}	{-0.207104, 0.565027, 1.023422, 0.001534, 1}	{0.816319, 0.566561, 0.922652, -0.015614, 1}	{1.738970, 0.550947, 0.941910, 0.121884, 1}	{-2.122537, -2.200353, 1.049076, 0.073985, 2}	{-1.073461, -2.126368, 0.980495, 0.278511, 2}	{-0.092966, -1.847857, 1.037973, 0.269165, 2}	{0.945007, -1.578691, 0.791496, 0.532432, 2}	{-1.811389, 0.271692, 0.783620, 0.440708, 3}	{-1.027770, 0.712401, 0.994214, 0.314223, 3}	{-0.033556, 1.026623, 0.921560, -0.057807, 3}	{0.888005, 0.968816, 0.940879, -0.221838, 3}
{-2.203180, -1.071370, 0.808296, 0.638250, 0}	{-1.394884, -0.433120, 0.688727, 0.740295, 0}	{-0.706157, 0.307175, 0.879152, 0.441263, 0}	{0.172995, 0.748438, 0.730660, 0.638819, 0}	{-1.137861, 0.225778, 0.949588, 0.159731, 1}	{-0.188274, 0.385509, 0.948401, 0.000207, 1}	{0.760127, 0.385716, 1.047712, 0.165073, 1}	{1.807839, 0.550789, 0.939458, -0.042581, 1}	{-2.272380, -2.300610, 0.984761, 0.155469, 2}	{-1.287619, -2.145141, 0.979025, 0.206971, 2}	{-0.308594, -1.938170, 0.826940, 0.227247, 2}	{0.518346, -1.710923, 1.093685, 0.262383, 2}	{-2.100346, 1.068058, 1.001846, -0.179446, 3}	{-1.098500, 0.888612, 1.024132, 0.066405, 3}	{-0.074368, 0.955018, 0.982147, 0.215230, 3}	{0.907779, 1.170248, 0.961113, -0.237578, 3}
