{-2.500000, 2.000000, 0.250000, 0}	{-1.250000, 2.000000, 0.250000, 0}	{0.000000, 2.000000, 0.250000, 0}	{1.250000, 2.000000, 0.250000, 0}	{2.500000, 2.000000, 0.250000, 0}	{-2.500000, 1.000000, 0.250000, 1}	{-1.250000, 1.000000, 0.250000, 1}	{0.000000, 1.000000, 0.250000, 1}	{1.250000, 1.000000, 0.250000, 1}	{2.500000, 1.000000, 0.250000, 1}	{-2.500000, 0.000000, 0.250000, 2}	{-1.250000, 0.000000, 0.250000, 2}	{0.000000, 0.000000, 0.250000, 2}	{1.250000, 0.000000, 0.250000, 2}	{2.500000, 0.000000, 0.250000, 2}	{-2.500000, -1.000000, 0.250000, 3}	{-1.250000, -1.000000, 0.250000, 3}	{0.000000, -1.000000, 0.250000, 3}	{1.250000, -1.000000, 0.250000, 3}	{2.500000, -1.000000, 0.250000, 3}	{-2.500000, -2.000000, 0.250000, 4}	{-1.250000, -2.000000, 0.250000, 4}	{0.000000, -2.000000, 0.250000, 4}	{1.250000, -2.000000, 0.250000, 4}	{2.500000, -2.000000, 0.250000, 4}
{-1.836476, 2.482777, 0.250000, 0}	{-0.833847, 2.281642, 0.250000, 0}	{0.334120, 2.165674, 0.250000, 0}	{1.243809, 1.968336, 0.250000, 0}	{2.206531, 1.984824, 0.250000, 0}	{-1.961560, 1.265926, 0.250000, 1}	{-0.956402, 1.422854, 0.250000, 1}	{0.068485, 1.281055, 0.250000, 1}	{0.985229, 1.219202, 0.250000, 1}	{2.034239, 1.056183, 0.250000, 1}	{-1.794558, 0.775295, 0.250000, 2}	{-1.179302, -0.033104, 0.250000, 2}	{-0.135246, -0.331177, 0.250000, 2}	{0.870027, -0.328360, 0.250000, 2}	{1.811935, -0.327134, 0.250000, 2}	{-1.871367, -1.084835, 0.250000, 3}	{-0.923659, -0.871719, 0.250000, 3}	{0.125610, -0.886618, 0.250000, 3}	{1.118754, -0.889405, 0.250000, 3}	{2.045974, -1.216299, 0.250000, 3}	{-1.923541, -2.121141, 0.250000, 4}	{-0.865099, -1.900348, 0.250000, 4}	{0.215028, -1.785002, 0.250000, 4}	{1.237308, -1.900529, 0.250000, 4}	{2.124305, -1.909074, 0.250000, 4}
{-1.859510, 2.548263, 0.250000, 0}	{-0.750810, 2.605370, 0.250000, 0}	{0.325814, 2.403924, 0.250000, 0}	{1.196370, 1.976610, 0.250000, 0}	{2.048280, 1.559584, 0.250000, 0}	{-1.799548, 1.616800, 0.250000, 1}	{-0.778951, 1.597388, 0.250000, 1}	{0.174707, 1.564296, 0.250000, 1}	{1.148977, 1.266483, 0.250000, 1}	{2.071339, 0.917535, 0.250000, 1}	{-1.859259, 1.152781, 0.250000, 2}	{-1.059119, 0.465764, 0.250000, 2}	{-0.115278, 0.122582, 0.250000, 2}	{0.775680, -0.021245, 0.250000, 2}	{1.701558, 0.108604, 0.250000, 2}	{-1.515512, -1.377933, 0.250000, 3}	{-0.511742, -1.322272, 0.250000, 3}	{0.340996, -1.218799, 0.250000, 3}	{1.334329, -0.896960, 0.250000, 3}	{2.292690, -1.144308, 0.250000, 3}	{-1.727991, -1.785535, 0.250000, 4}	{-0.756374, -1.748591, 0.250000, 4}	{0.213867, -1.604483, 0.250000, 4}	{1.168364, -1.695775, 0.250000, 4}	{2.093734, -2.069964, 0.250000, 4}
{-1.825850, 2.359001, 0.250000, 0}	{-0.824231, 2.330746, 0.250000, 0}	{0.154984, 2.539100, 0.250000, 0}	{1.030225, 2.305795, 0.250000, 0}	{1.869150, 1.801520, 0.250000, 0}	{-1.669736, 1.722004, 0.250000, 1}	{-0.548599, 1.565015, 0.250000, 1}	{0.324711, 1.450667, 0.250000, 1}	{1.314164, 1.118596, 0.250000, 1}	{2.194464, 0.888060, 0.250000, 1}	{-2.087492, 0.964831, 0.250000, 2}	{-1.079560, 0.939202, 0.250000, 2}	{-0.118456, 0.566605, 0.250000, 2}	{0.829829, 0.244168, 0.250000, 2}	{1.591819, -0.503090, 0.250000, 2}	{-1.767555, -1.202372, 0.250000, 3}	{-0.780549, -0.927896, 0.250000, 3}	{0.281243, -0.722800, 0.250000, 3}	{1.246611, -0.457809, 0.250000, 3}	{2.209455, -0.528733, 0.250000, 3}	{-1.841730, -1.666200, 0.250000, 4}	{-0.839434, -1.883349, 0.250000, 4}	{0.181689, -1.986521, 0.250000, 4}	{1.107627, -2.177809, 0.250000, 4}	{2.124808, -2.307801, 0.250000, 4}
{-1.417423, -2.758130, 0.250000, 0}	{-0.429647, -2.935890, 0.250000, 0}	{0.422285, 2.472715, 0.250000, 0}	{1.364538, 1.992668, 0.250000, 0}	{2.320859, 1.447552, 0.250000, 0}	{-2.035179, 1.767585, 0.250000, 1}	{-0.931105, 1.642519, 0.250000, 1}	{-0.058082, 1.589675, 0.250000, 1}	{1.010107, 1.345133, 0.250000, 1}	{1.977470, 0.971574, 0.250000, 1}	{-2.399558, 1.297017, 0.250000, 2}	{-1.412043, 0.869017, 0.250000, 2}	{-0.510607, 0.555501, 0.250000, 2}	{0.475401, 0.221886, 0.250000, 2}	{1.490889, -0.150823, 0.250000, 2}	{-1.667472, -1.289194, 0.250000, 3}	{-0.714719, -1.070266, 0.250000, 3}	{0.194862, -0.785628, 0.250000, 3}	{1.058725, -0.593900, 0.250000, 3}	{2.097677, -0.626760, 0.250000, 3}	{-2.185379, -1.655835, 0.250000, 4}	{-1.106486, -1.621262, 0.250000, 4}	{-0.017280, -1.532568, 0.250000, 4}	{1.012243, -1.692561, 0.250000, 4}	{1.810978, -2.208859, 0.250000, 4}
{-0.978881, -2.498968, 0.250000, 0}	{-0.158914, 2.912716, 0.250000, 0}	{0.748256, 2.341352, 0.250000, 0}	{1.591451, 1.777729, 0.250000, 0}	{2.542022, 1.404889, 0.250000, 0}	{-1.997951, 1.429583, 0.250000, 1}	{-0.975217, 1.720496, 0.250000, 1}	{0.043180, 1.919787, 0.250000, 1}	{1.159111, 1.802646, 0.250000, 1}	{2.241148, 1.916622, 0.250000, 1}	{-2.024906, 1.038103, 0.250000, 2}	{-0.988254, 0.902539, 0.250000, 2}	{-0.103083, 0.431309, 0.250000, 2}	{0.535235, -0.028276, 0.250000, 2}	{1.509967, -0.494321, 0.250000, 2}	{-1.600234, -1.297328, 0.250000, 3}	{-0.592998, -1.406212, 0.250000, 3}	{0.309675, -1.209863, 0.250000, 3}	{1.265212, -1.032117, 0.250000, 3}	{2.116610, -0.555524, 0.250000, 3}	{-1.968533, -1.544582, 0.250000, 4}	{-1.109861, -1.777552, 0.250000, 4}	{-0.153959, -2.004243, 0.250000, 4}	{0.792519, -2.105240, 0.250000, 4}	{1.727265, -2.310818, 0.250000, 4}
{-1.328805, -2.835393, 0.250000, 0}	{-0.278936, 2.882100, 0.250000, 0}	{0.614932, 2.311676, 0.250000, 0}	{1.411770, 1.671875, 0.250000, 0}	{2.128098, 1.041098, 0.250000, 0}	{-2.028625, 1.491799, 0.250000, 1}	{-1.014929, 1.727612, 0.250000, 1}	{0.031023, 1.922360, 0.250000, 1}	{0.936541, 1.827158, 0.250000, 1}	{1.870910, 1.455937, 0.250000, 1}	{-1.821598, 1.176334, 0.250000, 2}	{-0.876739, 0.802434, 0.250000, 2}	{-0.013829, 0.142104, 0.250000, 2}	{0.843414, -0.480510, 0.250000, 2}	{1.577659, -1.421853, 0.250000, 2}	{-1.666953, -2.208600, 0.250000, 3}	{-0.751757, -1.630785, 0.250000, 3}	{0.209490, -1.089454, 0.250000, 3}	{1.090805, -0.525960, 0.250000, 3}	{2.030175, -0.156926, 0.250000, 3}	{-2.227113, -1.881969, 0.250000, 4}	{-1.200863, -1.773208, 0.250000, 4}	{-0.211709, -1.712673, 0.250000, 4}	{0.749831, -1.920492, 0.250000, 4}	{1.757077, -2.026348, 0.250000, 4}
{-1.040922, -2.687131, 0.250000, 0}	{-0.209723, 2.860512, 0.250000, 0}	{0.753038, 2.486125, 0.250000, 0}	{1.637210, 1.934064, 0.250000, 0}	{2.451337, 1.223561, 0.250000, 0}	{-2.147097, 1.801545, 0.250000, 1}	{-1.118377, 1.925959, 0.250000, 1}	{-0.120079, 1.951001, 0.250000, 1}	{0.997459, 1.947394, 0.250000, 1}	{1.865441, 1.611933, 0.250000, 1}	{-1.944261, 1.424671, 0.250000, 2}	{-1.070605, 0.932081, 0.250000, 2}	{-0.301887, 0.416811, 0.250000, 2}	{0.643972, -0.225679, 0.250000, 2}	{1.495600, -0.617075, 0.250000, 2}	{-1.251517, -2.613536, 0.250000, 3}	{-0.480180, -1.981547, 0.250000, 3}	{0.578707, -1.651482, 0.250000, 3}	{1.504426, -1.100165, 0.250000, 3}	{2.489469, -0.804156, 0.250000, 3}	{-1.804658, -2.476115, 0.250000, 4}	{-0.942157, -2.223171, 0.250000, 4}	{0.129185, -1.806169, 0.250000, 4}	{1.077131, -1.781585, 0.250000, 4}	{2.030810, -2.116370, 0.250000, 4}
{-0.534778, -2.765010, 0.250000, 0}	{0.200466, 2.789425, 0.250000, 0}	{0.891062, 2.139114, 0.250000, 0}	{1.488020, 1.322637, 0.250000, 0}	{2.495709, 1.092738, 0.250000, 0}	{-2.146858, 2.006064, 0.250000, 1}	{-1.092704, 1.551936, 0.250000, 1}	{-0.130907, 1.614209, 0.250000, 1}	{0.835031, 1.737020, 0.250000, 1}	{1.863163, 1.908959, 0.250000, 1}	{-1.871655, 1.750973, 0.250000, 2}	{-1.118108, 1.145267, 0.250000, 2}	{-0.321184, 0.542640, 0.250000, 2}	{0.411063, -0.027340, 0.250000, 2}	{1.065902, -0.728177, 0.250000, 2}	{-1.405499, -2.363183, 0.250000, 3}	{-0.489330, -2.237973, 0.250000, 3}	{0.532439, -2.035781, 0.250000, 3}	{1.500627, -1.822969, 0.250000, 3}	{2.542960, -1.682631, 0.250000, 3}	{-1.973291, -2.804839, 0.250000, 4}	{-0.977545, -2.266732, 0.250000, 4}	{0.079411, -1.915638, 0.250000, 4}	{1.065309, -1.750352, 0.250000, 4}	{1.994976, -1.799347, 0.250000, 4}
{-0.855970, 2.887478, 0.250000, 0}	{-0.225735, 2.113749, 0.250000, 0}	{0.552934, 1.496011, 0.250000, 0}	{1.497696, 0.963240, 0.250000, 0}	{2.312010, 0.287334, 0.250000, 0}	{-1.878226, 2.293999, 0.250000, 1}	{-0.881417, 2.009038, 0.250000, 1}	{0.049632, 1.792271, 0.250000, 1}	{1.076752, 1.911549, 0.250000, 1}	{2.112326, 2.051346, 0.250000, 1}	{-1.606245, 1.985383, 0.250000, 2}	{-1.029063, 1.277764, 0.250000, 2}	{-0.490659, 0.503661, 0.250000, 2}	{0.243452, -0.078673, 0.250000, 2}	{0.858799, -0.952689, 0.250000, 2}	{-1.255524, -1.967824, 0.250000, 3}	{-0.220603, -2.393410, 0.250000, 3}	{0.747144, -2.311009, 0.250000, 3}	{1.759520, -2.117613, 0.250000, 3}	{2.504917, -1.583878, 0.250000, 3}	{-1.781954, -2.169861, 0.250000, 4}	{-0.786989, -2.343196, 0.250000, 4}	{0.268580, -2.078711, 0.250000, 4}	{1.233632, -1.684449, 0.250000, 4}	{2.160021, -1.197271, 0.250000, 4}
{-0.631544, 2.857545, 0.250000, 0}	{-0.031651, 1.994976, 0.250000, 0}	{0.568469, 1.285781, 0.250000, 0}	{1.362496, 0.760899, 0.250000, 0}	{2.344500, 0.350531, 0.250000, 0}	{-1.906237, 2.460128, 0.250000, 1}	{-0.923698, 2.162709, 0.250000, 1}	{0.136668, 2.078488, 0.250000, 1}	{1.234522, 2.129678, 0.250000, 1}	{2.144162, 2.386026, 0.250000, 1}	{-1.584287, 2.163029, 0.250000, 2}	{-1.193764, 1.272668, 0.250000, 2}	{-0.758615, 0.372309, 0.250000, 2}	{0.038408, -0.336738, 0.250000, 2}	{0.448991, -1.153396, 0.250000, 2}	{-1.291308, -2.081579, 0.250000, 3}	{-0.356554, -2.273162, 0.250000, 3}	{0.761065, -2.327545, 0.250000, 3}	{1.896018, -2.251926, 0.250000, 3}	{2.821081, -1.777449, 0.250000, 3}	{-1.475110, -2.262637, 0.250000, 4}	{-0.564038, -2.224368, 0.250000, 4}	{0.425311, -1.848269, 0.250000, 4}	{1.422136, -1.486532, 0.250000, 4}	{2.281093, -1.202118, 0.250000, 4}
{-0.826280, -2.843124, 0.250000, 0}	{-0.325145, 2.253426, 0.250000, 0}	{0.305350, 1.433615, 0.250000, 0}	{1.152915, 0.815266, 0.250000, 0}	{1.995574, 0.092339, 0.250000, 0}	{-1.992480, 2.057505, 0.250000, 1}	{-0.963348, 1.939420, 0.250000, 1}	{-0.020787, 1.976533, 0.250000, 1}	{0.899348, 2.382995, 0.250000, 1}	{1.930009, 2.755280, 0.250000, 1}	{-2.048738, 1.852032, 0.250000, 2}	{-1.381892, 1.157391, 0.250000, 2}	{-0.704200, 0.361202, 0.250000, 2}	{-0.024294, -0.474110, 0.250000, 2}	{0.750851, -1.027645, 0.250000, 2}	{-1.401922, -2.267964, 0.250000, 3}	{-0.447387, -2.154180, 0.250000, 3}	{0.633382, -2.073760, 0.250000, 3}	{1.729411, -1.962114, 0.250000, 3}	{2.729802, -1.949300, 0.250000, 3}	{-1.509415, -2.494567, 0.250000, 4}	{-0.603731, -2.091483, 0.250000, 4}	{0.288538, -1.604214, 0.250000, 4}	{1.159548, -1.378353, 0.250000, 4}	{2.141837, -1.268384, 0.250000, 4}
