{1.368074, -1.583927, 0.116794, -0.094123, -1, -1, -1, -1}	{-0.935775, -1.282063, 0.074627, -0.130119, -1, -1, -1, -1}
{0.044670, -2.768723, 0.055848, 0.067790, -1, -1, -1, -1}	{-0.831913, -0.312987, 0.204236, 0.045164, -1, 0, -1, 0}
{1.882736, -2.821061, -0.032611, -0.024088, -1, -1, -1, -1}	{-0.772445, -0.235891, -0.032133, 0.115459, -1, 0, -1, 0}
{1.605710, -2.880134, -0.071980, 0.179980, -1, -1, -1, -1}	{-1.052167, 0.211972, 0.044964, 0.019273, -1, 0, -1, 0}
{-2.938935, -2.958827, 0.042920, 0.194135, -1, -1, -1, -1}	{-1.143970, 0.020399, 0.158538, 0.026036, -1, 0, -1, 0}
{-2.766497, -2.306998, -0.066808, -0.186446, -1, -1, -1, -1}	{-0.400705, 0.465363, -0.102264, 0.065166, -1, 0, -1, 0}
{-1.405829, -1.575717, 0.036378, 0.146883, -1, -1, -1, -1}	{-0.579670, 0.733325, -0.143434, 0.047547, -1, 0, -1, 0}
{-2.842297, -1.761489, -0.143928, -0.101854, -1, -1, -1, -1}	{-1.332842, 0.533303, -0.115297, -0.201624, -1, 0, -1, 0}
{2.196342, -0.734133, -0.062006, -0.024278, 1, -1, 3, -1}	{-1.228566, 0.034055, 0.107359, 0.097871, -1, 0, -1, 0}
{2.715994, -0.481122, -0.136598, -0.021897, 1, -1, 3, -1}	{-0.902876, -0.008303, -0.156966, 0.164635, -1, 0, -1, 0}
{2.401695, -0.085150, -0.204595, -0.075518, 1, -1, 3, -1}	{-1.072475, 0.453974, 0.158944, -0.144887, -1, 0, -1, 0}
{2.305770, -0.213733, -0.155230, 0.135234, 1, -1, 3, -1}	{-0.506330, -0.172775, -0.148272, 0.100487, -1, 0, -1, 0}
{2.473156, 0.036575, -0.048297, -0.192038, 1, -1, 3, -1}	{-0.537375, -0.205871, -0.266361, 0.043156, -1, 0, -1, 0}
{2.702124, 0.066532, 0.096430, 0.001543, 1, -1, 3, -1}	{-0.088887, 0.435619, -0.042355, 0.060235, -1, 0, -1, 0}
{2.469046, -0.240270, 0.073202, 0.136368, 1, -1, 3, -1}	{0.388368, 0.344060, -0.112873, 0.100315, -1, 0, -1, 0}
{2.682318, 0.143431, 0.233570, -0.032282, 1, -1, 3, -1}	{-0.039252, 1.083364, 0.099416, -0.049996, -1, 0, -1, 0}
{2.678263, 0.375642, -0.027912, 0.059209, 1, -1, 3, -1}	{-0.011066, 0.561726, 0.150804, 0.103603, -1, 0, -1, 0}
{-2.648458, 1.592859, 0.098908, 0.099180, 1, -1, 3, -1}	{1.053788, -0.166661, -0.096157, -0.144220, -1, 0, -1, 0}
{2.988341, 1.230114, 0.173874, -0.157824, 1, -1, 3, -1}	{1.390850, -0.235124, 0.041671, -0.185688, -1, 0, -1, 0}
{2.882398, 1.158644, -0.086414, -0.081300, 1, -1, 3, -1}	{2.262194, -0.387953, -0.131263, -0.084161, -1, 0, -1, 0}
{2.988354, 0.812139, 0.149474, -0.101916, 1, -1, 3, -1}	{2.050459, -0.132045, -0.174197, 0.015477, -1, 0, -1, 0}
{2.043721, 0.652233, 0.070286, -0.123360, 1, -1, 3, -1}	{2.861367, -0.238997, -0.074372, -0.093852, -1, 0, -1, 0}
{1.320471, 0.716896, -0.100350, -0.216950, 1, -1, 3, -1}	{2.920465, -0.322837, -0.116719, -0.057715, -1, 0, -1, 0}
{0.799217, 1.763321, 0.020889, -0.117810, 1, -1, 3, -1}	{-2.896426, 0.086726, -0.249629, -0.084577, -1, 0, -1, 0}
{2.119570, 0.780522, 0.270650, 0.085542, 1, -1, 3, -1}	{-2.685143, -0.262276, 0.105923, -0.042618, -1, 0, -1, 0}
{1.617645, 0.764665, 0.256153, 0.076165, 1, -1, 3, -1}	{2.630007, 0.229738, 0.081099, 0.121586, -1, 0, -1, 0}
{1.938710, 0.626685, -0.102846, 0.023882, 1, -1, 3, -1}	{-2.539429, -0.284658, -0.077909, 0.270923, -1, 0, -1, 0}
{2.036989, 0.431108, -0.191492, 0.143779, 1, -1, 3, -1}	{-2.643424, -0.336768, 0.114317, -0.088488, -1, 0, -1, 0}
{-2.954278, -0.076084, 0.224810, -0.084062, 1, 0, 3, 0}	{-2.922889, 0.094754, 0.239321, -0.063339, 1, 0, 3, 0}
{-2.648002, -0.272989, 0.143953, -0.069480, 1, 0, 3, 0}	{-2.603829, -0.105002, 0.174909, -0.055373, 1, 0, 3, 0}
{2.907559, 0.294482, 0.171858, -0.067712, 1, 0, 3, 0}	{2.944210, 0.464268, 0.182374, -0.046245, 1, 0, 3, 0}
{-2.789619, -0.169414, 0.198386, -0.097453, 1, 0, 3, 0}	{-2.699050, -0.021198, 0.205816, -0.074793, 1, 0, 3, 0}
{-2.571301, -0.159460, 0.217525, -0.014952, 1, 0, 3, 0}	{-2.586414, 0.013579, 0.219745, 0.008570, 1, 0, 3, 0}
{2.915394, -0.175019, 0.192594, -0.094774, 1, 0, 3, 0}	{2.970120, -0.010168, 0.190284, -0.069743, 1, 0, 3, 0}
{-2.763217, -0.153875, 0.171914, -0.031963, 1, 0, 3, 0}	{-2.732704, 0.017121, 0.197903, -0.014253, 1, 0, 3, 0}
{-2.086257, 0.293253, 0.234205, 0.021497, 1, 0, 3, 0}	{-2.090885, 0.466889, 0.253724, 0.044281, 1, 0, 3, 0}
{-1.640744, 0.541158, 0.169399, 0.109295, 1, 0, 3, 0}	{-1.754082, 0.672783, 0.206372, 0.159248, 1, 0, 3, 0}
{-2.111765, 0.345108, 0.117325, 0.000795, 1, 0, 3, 0}	{-2.151748, 0.514141, 0.142401, 0.028181, 1, 0, 3, 0}
{-1.579813, 0.368549, 0.194515, 0.019690, 1, 0, 3, 0}	{-1.622092, 0.537022, 0.187435, 0.041916, 1, 0, 3, 0}
{-1.674201, 0.368226, 0.171614, 0.020069, 1, 0, 3, 0}	{-1.687515, 0.541412, 0.134350, 0.037263, 1, 0, 3, 0}
{-1.813048, 0.283610, 0.180162, -0.022000, 1, 0, 3, 0}	{-1.799620, 0.456788, 0.167749, 0.001803, 1, 0, 3, 0}
{-1.745417, 0.368198, 0.202992, -0.012537, 1, 0, 3, 0}	{-1.767876, 0.540437, 0.224576, 0.012205, 1, 0, 3, 0}
{-2.468622, 0.518175, 0.132959, -0.082243, 1, 0, 3, 0}	{-2.405591, 0.680032, 0.154618, -0.066252, 1, 0, 3, 0}
{-2.962425, 0.291491, 0.236221, -0.098494, 1, 0, 3, 0}	{-2.893554, 0.450951, 0.227324, -0.070322, 1, 0, 3, 0}
{-2.451245, 0.673993, 0.109372, -0.131149, 1, 0, 3, 0}	{-2.346589, 0.812622, 0.144700, -0.131189, 1, 0, 3, 0}
{2.983578, 1.139559, 0.109031, -0.175747, 1, 0, 3, 0}	{-2.875731, 1.241425, 0.103033, -0.133877, 1, 0, 3, 0}
{-2.547540, 1.006542, 0.197293, -0.053314, 1, 0, 3, 0}	{-2.511331, 1.176423, 0.200327, -0.030160, 1, 0, 3, 0}
{-1.931848, 1.516433, 0.161349, -0.054327, 1, 0, 3, 0}	{-1.887083, 1.684263, 0.193220, -0.040692, 1, 0, 3, 0}
{-1.847604, 1.468129, 0.131177, -0.126504, 1, 0, 3, 0}	{-1.738840, 1.603559, 0.147149, -0.109475, 1, 0, 3, 0}
{-1.660864, 1.817240, 0.092791, -0.092031, 1, 0, 3, 0}	{-1.542230, 1.944112, 0.124808, -0.091991, 1, 0, 3, 0}
{-1.705298, 2.035673, 0.149538, -0.154988, 1, 0, 3, 0}	{-1.585317, 2.161273, 0.181180, -0.131585, 1, 0, 3, 0}
{-2.063405, 2.109555, 0.129508, -0.171771, 1, 0, 3, 0}	{-1.933968, 2.225386, 0.151129, -0.138027, 1, 0, 3, 0}
{-1.613798, 1.731355, 0.168772, -0.166150, 1, 0, 3, 0}	{-1.500703, 1.863190, 0.212475, -0.154438, 1, 0, 3, 0}
{-1.340919, 1.472858, 0.139361, -0.171373, 1, 0, 3, 0}	{-1.230578, 1.607006, 0.176877, -0.152780, 1, 0, 3, 0}
{-1.545623, 1.509703, 0.121269, -0.197781, 1, 0, 3, 0}	{-1.410258, 1.618548, 0.171465, -0.202903, 1, 0, 3, 0}
{-1.934422, 1.715462, 0.103968, -0.135060, 1, 0, 3, 0}	{-1.804969, 1.831276, 0.158547, -0.144461, 1, 0, 3, 0}
{-2.459450, 1.748006, 0.147665, -0.137287, 1, 0, 3, 0}	{-2.335486, 1.869677, 0.175409, -0.110041, 1, 0, 3, 0}
{-2.716302, 2.145941, 0.155253, -0.212998, 1, 0, 3, 0}	{-2.585516, 2.260247, 0.182581, -0.185207, 1, 0, 3, 0}
{-2.545900, 2.119798, 0.083817, -0.230004, 1, 0, 3, 0}	{-2.392538, 2.201350, 0.114607, -0.205353, 1, 0, 3, 0}
{-2.310463, 2.475942, 0.010439, -0.226498, 1, 0, 3, 0}	{-2.140527, 2.511896, 0.050928, -0.232238, 1, 0, 3, 0}
{-1.840896, 2.008436, 0.059546, -0.176708, 1, 0, 3, 0}	{-1.678510, 2.070095, 0.083419, -0.135902, 1, 0, 3, 0}
{-1.551494, 1.332785, 0.172475, -0.161480, 1, 0, 3, 0}	{-1.445637, 1.470499, 0.227495, -0.160233, 1, 0, 3, 0}
{-1.445040, 1.173142, 0.060809, -0.121311, 1, 0, 3, 0}	{-1.323964, 1.297686, 0.111411, -0.120485, 1, 0, 3, 0}
{-1.130903, 1.440141, 0.168433, -0.140010, 1, 0, 3, 0}	{-1.030179, 1.581652, 0.211349, -0.124809, 1, 0, 3, 0}
{-1.390658, 1.498767, 0.039251, -0.140806, 1, 0, 3, 0}	{-1.233666, 1.573094, 0.079955, -0.136979, 1, 0, 3, 0}
{-1.537249, 1.595016, 0.088878, -0.221975, 1, 0, 3, 0}	{-1.384065, 1.676903, 0.136065, -0.232849, 1, 0, 3, 0}
{-1.738392, 1.635112, 0.042251, -0.166306, 1, 0, 3, 0}	{-1.595548, 1.733937, 0.090601, -0.172200, 1, 0, 3, 0}
{-2.042015, 2.596457, -0.093571, -0.203315, 1, 0, 3, 0}	{-1.872977, 2.556493, -0.067590, -0.247964, 1, 0, 3, 0}
{-2.160164, 2.096644, 0.006166, -0.190516, 1, 0, 3, 0}	{-1.986469, 2.095684, 0.044943, -0.196438, 1, 0, 3, 0}
{-2.516039, 2.645391, -0.107183, -0.166285, 1, 0, 3, 0}	{-2.351129, 2.590844, -0.075636, -0.192952, 1, 0, 3, 0}
{-2.700040, 2.495464, -0.022304, -0.200245, 1, 0, 3, 0}	{-2.526886, 2.481732, 0.016766, -0.198858, 1, 0, 3, 0}
{-2.418784, 1.951615, 0.068917, -0.193613, 1, 0, 3, 0}	{-2.252687, 2.002433, 0.101795, -0.169596, 1, 0, 3, 0}
{-2.340194, 1.166908, 0.050303, -0.149504, 1, 0, 3, 0}	{-2.188354, 1.251262, 0.096144, -0.155667, 1, 0, 3, 0}
{-2.403108, 1.676317, 0.019199, -0.187071, 1, 0, 3, 0}	{-2.238909, 1.732968, 0.059247, -0.184781, 1, 0, 3, 0}
{-1.946846, 1.832449, 0.008305, -0.183208, 1, 0, 3, 0}	{-1.777889, 1.872754, 0.051214, -0.206071, 1, 0, 3, 0}
{-1.912660, 0.754573, 0.222678, -0.041256, -1, 0, -1, 0}	{-1.614254, 0.897664, 0.102516, -0.068501, 1, 0, 3, 0}
{-1.329066, 1.102473, -0.130058, 0.043220, -1, 0, -1, 0}	{-1.307619, 1.276323, 0.059952, -0.108788, 1, 0, 3, 0}
{-1.286556, 0.988840, 0.156927, -0.217064, 1, 0, 3, 0}	{-1.140079, 1.082196, 0.185185, -0.189346, 1, 0, 3, 0}
{-1.169101, 1.046086, 0.068243, -0.171205, 1, 0, 3, 0}	{-1.019846, 1.134932, 0.105102, -0.157325, 1, 0, 3, 0}
{-0.773185, 0.861941, 0.051197, -0.128776, 1, 0, 3, 0}	{-0.618383, 0.940726, 0.079694, -0.099892, 1, 0, 3, 0}
{-0.332701, 0.577453, 0.125268, -0.104601, 1, 0, 3, 0}	{-0.249721, 0.730048, 0.139339, -0.068059, 1, 0, 3, 0}
{-0.111202, 0.566206, 0.233267, -0.130248, 1, 0, 3, 0}	{-0.036816, 0.723169, 0.256268, -0.098249, 1, 0, 3, 0}
{-0.510003, 0.886920, 0.191977, 0.004529, 1, -1, 3, -1}	{-0.421056, 1.036116, 0.192472, -0.042773, 1, 0, 3, 0}
{-0.070226, 0.669408, 0.066428, 0.128786, 1, -1, 3, -1}	{-0.038932, 0.840263, 0.252531, -0.031294, 1, 0, 3, 0}
{0.432362, 0.863773, 0.094560, -0.147985, 1, -1, 3, -1}	{0.397710, 1.033978, 0.215422, 0.013539, 1, 0, 3, 0}
{0.692075, 0.875631, 0.144003, -0.127805, 1, 0, 3, 0}	{0.795525, 1.015163, 0.166341, -0.124097, 1, 0, 3, 0}
{-0.304211, 0.714791, 0.155050, -0.163401, 1, 0, 3, 0}	{-0.176902, 0.832957, 0.158761, -0.143098, 1, 0, 3, 0}
{-0.124122, 1.134201, 0.140830, -0.111133, 1, 0, 3, 0}	{-0.028674, 1.279324, 0.160596, -0.104382, 1, 0, 3, 0}
{-0.222560, 1.322619, 0.138125, -0.137849, 1, 0, 3, 0}	{-0.114385, 1.458519, 0.153187, -0.128310, 1, 0, 3, 0}
{0.592639, 0.580538, 0.156591, -0.067269, 1, 0, 3, 0}	{0.647578, 0.745318, 0.166627, -0.052833, 1, 0, 3, 0}
{0.673146, 0.431913, 0.157257, -0.043215, 1, 0, 3, 0}	{0.719962, 0.599183, 0.136641, -0.021663, 1, 0, 3, 0}
{0.461160, 0.359923, 0.187015, -0.059161, 1, 0, 3, 0}	{0.506979, 0.527468, 0.175946, -0.039270, 1, 0, 3, 0}
{1.256892, 0.765637, 0.169311, -0.040755, 1, 0, 3, 0}	{1.278461, 0.937990, 0.224209, -0.038487, 1, 0, 3, 0}
{1.144872, 1.016563, 0.142263, -0.026611, 1, 0, 3, 0}	{1.141669, 1.190231, 0.167371, -0.010911, 1, 0, 3, 0}
{1.988940, 1.060462, 0.151442, 0.077747, 1, 0, 3, 0}	{1.899195, 1.209178, 0.125129, 0.080259, 1, 0, 3, 0}
{2.424595, 1.252225, 0.130331, 0.095766, 1, 0, 3, 0}	{2.309054, 1.381921, 0.109869, 0.099648, 1, 0, 3, 0}
{1.724861, 0.461873, 0.106931, 0.012669, 1, 0, 3, 0}	{1.673716, 0.627870, 0.140820, 0.036519, 1, 0, 3, 0}
{1.580638, 0.808309, 0.181847, 0.036431, 1, 0, 3, 0}	{1.526250, 0.973272, 0.198186, 0.058262, 1, 0, 3, 0}
{0.927127, 0.677925, 0.185166, 0.082683, 1, 0, 3, 0}	{0.831056, 0.822635, 0.200738, 0.110772, 1, 0, 3, 0}
{0.348279, 0.774024, 0.266873, 0.040270, 1, 0, 3, 0}	{0.369618, 0.990303, 0.216645, 0.012419, 1, 0, 3, 0}
{1.077352, 0.847953, 0.120943, 0.117292, 1, 0, 3, 0}	{0.941636, 1.017698, 0.142823, 0.100456, 1, 0, 3, 0}
{0.407959, 0.673152, 0.218023, 0.128176, 1, 0, 3, 0}	{0.312350, 0.868322, 0.215160, 0.096235, 1, 0, 3, 0}
{0.779682, 0.535772, 0.159127, 0.049972, 1, 0, 3, 0}	{0.735329, 0.748528, 0.148426, 0.019724, 1, 0, 3, 0}
{1.025722, 0.632558, 0.204176, 0.114859, 1, 0, 3, 0}	{0.929536, 0.827444, 0.232231, 0.098013, 1, 0, 3, 0}
{1.023164, 0.534099, 0.225406, 0.066909, 1, 0, 3, 0}	{0.955135, 0.740506, 0.278126, 0.050516, 1, 0, 3, 0}
{1.224018, 0.373583, 0.123711, 0.066052, 1, 0, 3, 0}	{1.141108, 0.574476, 0.120112, 0.035030, 1, 0, 3, 0}
{0.905951, -0.037618, 0.141483, 0.068765, 1, 0, 3, 0}	{0.855725, 0.173828, 0.132219, 0.038429, 1, 0, 3, 0}
{0.715803, 0.047386, 0.181492, 0.015680, 1, 0, 3, 0}	{0.694759, 0.263695, 0.194798, -0.010155, 1, 0, 3, 0}
{0.545619, 0.156952, 0.214167, 0.028974, 1, 0, 3, 0}	{0.520493, 0.372824, 0.230201, 0.003515, 1, 0, 3, 0}
{1.010507, 0.089147, 0.095938, 0.147044, 1, 0, 3, 0}	{0.863256, 0.248988, 0.117391, 0.130433, 1, 0, 3, 0}
{0.273901, -0.393783, 0.169141, 0.051067, 1, 0, 3, 0}	{0.252293, -0.177530, 0.157497, 0.022523, 1, 0, 3, 0}
{0.230616, -0.142880, 0.146000, 0.055061, 1, 0, 3, 0}	{0.179771, 0.068418, 0.153127, 0.029313, 1, 0, 3, 0}
{-0.145675, 0.328507, 0.169918, 0.013003, 1, 0, 3, 0}	{-0.179542, 0.543181, 0.235789, -0.013746, 1, 0, 3, 0}
{-0.431529, 0.463006, 0.249291, -0.000365, 1, 0, 3, 0}	{-0.396699, 0.677526, 0.232431, -0.025104, 1, 0, 3, 0}
{-0.449869, 0.568083, 0.279134, 0.019046, 1, 0, 3, 0}	{-0.427695, 0.784278, 0.249657, -0.006659, 1, 0, 3, 0}
{-0.667135, 0.926104, 0.235236, 0.112999, 1, 0, 3, 0}	{-0.732014, 1.133524, 0.212665, 0.074968, 1, 0, 3, 0}
{-0.588065, 0.604918, 0.184484, 0.114376, 1, 0, 3, 0}	{-0.680516, 0.801603, 0.194246, 0.089454, 1, 0, 3, 0}
{-0.366866, -0.148003, 0.174571, 0.130835, 1, 0, 3, 0}	{-0.480979, 0.036958, 0.184900, 0.105778, 1, 0, 3, 0}
{-0.202587, -0.224181, 0.191922, 0.066328, 1, 0, 3, 0}	{-0.253437, -0.012884, 0.187272, 0.037403, 1, 0, 3, 0}
{0.060652, 0.157082, 0.186441, 0.175524, 1, 0, 3, 0}	{-0.079584, 0.323112, 0.199808, 0.151776, 1, 0, 3, 0}
{-0.555199, 0.367422, 0.216475, -0.000688, 1, 0, 3, 0}	{-0.520758, 0.582005, 0.191894, -0.024895, 1, 0, 3, 0}
{-0.397165, 0.246454, 0.199763, 0.116326, 1, 0, 3, 0}	{-0.474575, 0.449530, 0.179336, 0.076859, 1, 0, 3, 0}
{-0.150930, 0.623863, 0.129521, 0.135303, 1, 0, 3, 0}	{-0.283381, 0.796167, 0.122850, 0.093325, 1, 0, 3, 0}
{-0.015585, 0.806730, 0.241130, 0.104722, 1, 0, 3, 0}	{-0.093324, 1.009680, 0.259547, 0.082937, 1, 0, 3, 0}
{-0.227854, 0.842267, 0.143456, 0.086938, 1, 0, 3, 0}	{-0.305613, 1.045209, 0.138410, 0.055702, 1, 0, 3, 0}
{-0.394047, 0.897940, 0.185536, 0.078356, 1, 0, 3, 0}	{-0.454936, 1.106565, 0.171018, 0.044812, 1, 0, 3, 0}
{-0.542353, 0.937940, 0.217572, 0.022755, 1, 0, 3, 0}	{-0.528258, 1.154812, 0.196292, -0.003622, 1, 0, 3, 0}
{-0.713344, 0.917739, 0.242751, 0.101595, 1, 0, 3, 0}	{-0.757184, 1.130601, 0.224526, 0.068978, 1, 0, 3, 0}
{-1.067993, 0.966611, 0.171138, 0.102960, 1, 0, 3, 0}	{-1.163060, 1.162045, 0.177908, 0.076475, 1, 0, 3, 0}
{-0.605183, 0.670522, 0.214527, 0.138162, 1, 0, 3, 0}	{-0.690698, 0.870320, 0.186837, 0.091742, 1, 0, 3, 0}
{-0.936113, 1.231888, 0.194114, 0.114756, 1, 0, 3, 0}	{-1.017145, 1.433546, 0.162523, 0.066903, 1, 0, 3, 0}
{-0.460478, 1.101233, 0.149203, 0.142394, 1, 0, 3, 0}	{-0.590595, 1.275306, 0.184025, 0.133423, 1, 0, 3, 0}
{-0.608906, 1.172879, 0.141262, 0.124919, 1, 0, 3, 0}	{-0.736941, 1.348490, 0.142979, 0.092080, 1, 0, 3, 0}
{-0.421072, 1.196976, 0.165205, 0.185427, 1, 0, 3, 0}	{-0.566639, 1.358352, 0.163191, 0.144714, 1, 0, 3, 0}
{-0.108239, 1.125173, 0.103755, 0.161388, 1, 0, 3, 0}	{-0.294266, 1.237539, 0.129303, 0.151912, 1, 0, 3, 0}
{0.359270, 1.507826, 0.024769, 0.197502, 1, 0, 3, 0}	{0.143647, 1.535004, -0.097042, 0.102588, 1, -1, 3, -1}
{0.249009, 1.044165, 0.171302, 0.130862, 1, 0, 3, 0}	{0.106557, 1.208298, 0.153367, 0.133982, 1, 0, 3, 0}
{0.145979, 0.834059, 0.166423, 0.026280, 1, 0, 3, 0}	{0.070336, 1.037799, 0.161679, 0.039877, 1, 0, 3, 0}
{0.273015, 1.061200, 0.272577, 0.006397, 1, 0, 3, 0}	{0.245569, 1.276790, 0.304323, 0.022495, 1, 0, 3, 0}
{1.076751, 0.717314, 0.241557, 0.132467, 1, 0, 3, 0}	{0.995014, 0.918687, 0.164956, 0.100287, 1, 0, 3, 0}
{1.001080, 1.285051, 0.125912, 0.154585, 1, 0, 3, 0}	{0.840194, 1.431160, 0.122382, 0.171770, 1, 0, 3, 0}
{0.642920, 1.165381, 0.187660, 0.048078, 1, 0, 3, 0}	{0.585670, 1.375035, 0.141756, 0.045927, 1, 0, 3, 0}
{1.303600, 1.974286, 0.023940, 0.113792, 1, 0, 3, 0}	{1.092781, 2.027084, 0.010200, 0.118187, 1, 0, 3, 0}
{1.077317, 2.082659, 0.054792, 0.171614, 1, 0, 3, 0}	{0.872145, 2.154330, 0.046769, 0.190749, 1, 0, 3, 0}
{0.915173, 1.923201, 0.149753, 0.087177, 1, 0, 3, 0}	{0.812935, 2.114981, 0.141788, 0.099243, 1, 0, 3, 0}
{0.891551, 1.904623, 0.178670, 0.097467, 1, 0, 3, 0}	{0.782749, 2.092757, 0.158480, 0.101839, 1, 0, 3, 0}
{1.211600, 1.900317, 0.106145, 0.079029, 1, 0, 3, 0}	{1.063031, 2.058933, 0.109617, 0.101089, 1, 0, 3, 0}
{1.737860, 2.462773, 0.109192, 0.178540, 1, 0, 3, 0}	{1.539933, 2.552535, 0.116839, 0.221033, 1, 0, 3, 0}
{1.686008, 2.455975, 0.158590, 0.142423, 1, 0, 3, 0}	{1.525766, 2.602790, 0.151732, 0.156154, 1, 0, 3, 0}
