{-2.500000, -0.500000, 1.250000, 0.000000, 0}	{-1.250000, -0.500000, 1.250000, 0.000000, 0}	{0.000000, -0.500000, 1.250000, 0.000000, 0}	{1.250000, -0.500000, 1.250000, 0.000000, 0}	{-2.500000, 0.500000, 1.250000, 0.000000, 1}	{-1.250000, 0.500000, 1.250000, 0.000000, 1}	{0.000000, 0.500000, 1.250000, 0.000000, 1}	{1.250000, 0.500000, 1.250000, 0.000000, 1}
{-1.429214, -0.150696, 1.034460, -0.151164, 0}	{-0.394754, -0.301860, 1.070443, -0.006541, 0}	{0.675689, -0.308401, 1.018334, -0.096887, 0}	{1.694023, -0.405289, 1.024934, -0.265761, 0}	{-1.003615, 0.731659, 1.011990, -0.037264, 1}	{0.008376, 0.694395, 0.956723, -0.087048, 1}	{0.965099, 0.607347, 1.055866, -0.117835, 1}	{2.020964, 0.489512, 0.955167, -0.158647, 1}
{-1.563076, -0.107606, 0.993861, -0.016806, 0}	{-0.569215, -0.124413, 0.977098, -0.046698, 0}	{0.407883, -0.171110, 1.050293, -0.383201, 0}	{1.458176, -0.554311, 1.041305, 0.027033, 0}	{-0.628158, 1.114057, 0.931099, -0.304839, 1}	{0.302941, 0.809218, 0.814799, -0.240026, 1}	{1.117740, 0.569193, 0.963607, -0.101759, 1}	{2.081348, 0.467434, 1.023909, -0.006268, 1}
{-1.843352, 0.443445, 1.064312, -0.270103, 0}	{-0.779040, 0.173342, 0.926667, -0.301695, 0}	{0.147627, -0.128353, 1.001076, -0.293963, 0}	{1.148703, -0.422316, 0.967141, 0.168444, 0}	{-0.715153, 0.736365, 0.978290, 0.081429, 1}	{0.263137, 0.817794, 0.954229, -0.207085, 1}	{1.217367, 0.610709, 0.972983, -0.547393, 1}	{2.190349, 0.063316, 0.790180, -0.785756, 1}
{-1.688448, 0.221010, 0.931475, -0.231306, 0}	{-0.756974, -0.010296, 1.039807, -0.140559, 0}	{0.282834, -0.150855, 0.860415, -0.320388, 0}	{1.143249, -0.471243, 1.013237, -0.384851, 0}	{-0.496555, 1.483948, 0.920674, -0.252778, 1}	{0.424119, 1.231170, 0.890795, -0.357588, 1}	{1.314914, 0.873583, 0.827669, -0.589498, 1}	{2.142582, 0.284085, 0.884087, -0.468585, 1}
{-1.207765, 0.787673, 0.925935, -0.337825, 0}	{-0.281831, 0.449848, 1.006128, -0.449973, 0}	{0.724297, -0.000125, 0.716238, -0.537886, 0}	{1.440535, -0.538011, 0.883698, -0.379149, 0}	{-0.690820, 1.533268, 0.967822, -0.283253, 1}	{0.277002, 1.250014, 0.810891, -0.374515, 1}	{1.087893, 0.875500, 0.900474, -0.557092, 1}	{1.988366, 0.318408, 0.737285, -0.613361, 1}
{-1.282991, 1.275728, 0.736265, -0.650748, 0}	{-0.546727, 0.624980, 0.816153, -0.520428, 0}	{0.269427, 0.104552, 0.877419, -0.420959, 0}	{1.146845, -0.316407, 0.918583, -0.106907, 0}	{-0.534113, 2.744600, 0.540448, -0.836034, 1}	{0.006335, 1.908567, 0.768460, -0.738909, 1}	{0.774794, 1.169657, 0.890380, -0.640590, 1}	{1.665174, 0.529067, 0.583253, -0.777588, 1}
{-2.101836, 0.505434, 0.881194, -0.234225, 0}	{-1.220642, 0.271209, 1.197784, -0.124115, 0}	{-0.022859, 0.147093, 1.036703, -0.007014, 0}	{1.013845, 0.140079, 1.094772, -0.047184, 0}	{0.655188, -2.218560, 0.311401, -0.971970, 1}	{0.966589, 2.809470, 0.353061, -1.000605, 1}	{1.319649, 1.808865, 0.416578, -0.929417, 1}	{1.736227, 0.879448, 0.540501, -0.869530, 1}
{-1.974758, -0.037644, 1.084435, 0.215438, 0}	{-0.890323, 0.177794, 1.069716, 0.095175, 0}	{0.179393, 0.272970, 1.023758, -0.008741, 0}	{1.203151, 0.264228, 0.956997, 0.312936, 0}	{1.284168, 2.988219, 0.379671, -0.889642, 1}	{1.663840, 2.098577, 0.071662, -0.924654, 1}	{1.735501, 1.173923, 0.212453, -0.888032, 1}	{1.947954, 0.285891, 0.248388, -1.020024, 1}
{-1.712196, -0.090879, 0.872475, 0.330627, 0}	{-0.839721, 0.239748, 0.822210, 0.309099, 0}	{-0.017510, 0.548847, 0.972737, 0.347329, 0}	{0.955226, 0.896176, 0.858798, 0.540309, 0}	{1.183108, -2.675683, 0.308037, -0.941204, 1}	{1.491145, 2.383113, 0.279484, -0.957119, 1}	{1.770629, 1.425994, 0.396140, -1.007776, 1}	{2.166768, 0.418218, 0.549226, -0.899340, 1}
