{-2.500000, 1.000000, 0.250000, 0}	{-1.250000, 1.000000, 0.250000, 0}	{0.000000, 1.000000, 0.250000, 0}	{1.250000, 1.000000, 0.250000, 0}	{2.500000, 1.000000, 0.250000, 0}	{-2.500000, 0.000000, 0.250000, 1}	{-1.250000, 0.000000, 0.250000, 1}	{0.000000, 0.000000, 0.250000, 1}	{1.250000, 0.000000, 0.250000, 1}	{2.500000, 0.000000, 0.250000, 1}	{-2.500000, -1.000000, 0.250000, 2}	{-1.250000, -1.000000, 0.250000, 2}	{0.000000, -1.000000, 0.250000, 2}	{1.250000, -1.000000, 0.250000, 2}	{2.500000, -1.000000, 0.250000, 2}
{-1.216437, 1.637828, 0.250000, 0}	{-0.251626, 1.350558, 0.250000, 0}	{0.634258, 0.873973, 0.250000, 0}	{1.549505, 0.469081, 0.250000, 0}	{2.222463, -0.336818, 0.250000, 0}	{-1.823772, -0.127934, 0.250000, 1}	{-0.936100, -0.444759, 0.250000, 1}	{0.014794, -0.734314, 0.250000, 1}	{0.965863, -0.549829, 0.250000, 1}	{1.970693, -0.306478, 0.250000, 1}	{-2.196849, -1.472132, 0.250000, 2}	{-1.239585, -1.352328, 0.250000, 2}	{-0.217041, -1.524668, 0.250000, 2}	{0.823843, -1.472744, 0.250000, 2}	{1.827524, -1.437675, 0.250000, 2}
{-1.482992, 1.482205, 0.250000, 0}	{-0.502616, 1.332273, 0.250000, 0}	{0.540050, 1.115457, 0.250000, 0}	{1.332227, 0.623948, 0.250000, 0}	{1.952652, -0.014168, 0.250000, 0}	{-1.945486, 0.654465, 0.250000, 1}	{-1.016911, 0.460375, 0.250000, 1}	{-0.225798, 0.020693, 0.250000, 1}	{0.695074, -0.377120, 0.250000, 1}	{1.672515, -0.879714, 0.250000, 1}	{-1.930389, -0.914092, 0.250000, 2}	{-1.038575, -1.409821, 0.250000, 2}	{0.049239, -1.564971, 0.250000, 2}	{0.851081, -1.732472, 0.250000, 2}	{1.829735, -1.903763, 0.250000, 2}
{-1.980789, 1.217850, 0.250000, 0}	{-1.120439, 0.877242, 0.250000, 0}	{-0.136525, 0.314604, 0.250000, 0}	{0.718430, -0.169519, 0.250000, 0}	{1.704151, -0.221420, 0.250000, 0}	{-1.908344, 0.655062, 0.250000, 1}	{-0.937960, 0.088175, 0.250000, 1}	{-0.059739, -0.357840, 0.250000, 1}	{0.776472, -0.947469, 0.250000, 1}	{1.736683, -1.399061, 0.250000, 1}	{-1.495440, 0.317277, 0.250000, 2}	{-0.856759, -0.349814, 0.250000, 2}	{0.006035, -0.805676, 0.250000, 2}	{0.797262, -1.350393, 0.250000, 2}	{1.504921, -1.981361, 0.250000, 2}
{-2.395116, 1.576776, 0.250000, 0}	{-1.375040, 1.314614, 0.250000, 0}	{-0.428071, 1.016552, 0.250000, 0}	{0.554242, 0.672586, 0.250000, 0}	{1.464208, 0.347830, 0.250000, 0}	{-2.194548, -0.403066, 0.250000, 1}	{-1.247993, -0.871375, 0.250000, 1}	{-0.155622, -0.781858, 0.250000, 1}	{0.856631, -0.935122, 0.250000, 1}	{1.921688, -0.854663, 0.250000, 1}	{-2.012651, 0.683700, 0.250000, 2}	{-1.132549, -0.060261, 0.250000, 2}	{-0.407668, -0.826430, 0.250000, 2}	{0.480099, -1.354106, 0.250000, 2}	{1.450126, -1.747359, 0.250000, 2}
{-1.141645, 1.784881, 0.250000, 0}	{-0.492007, 1.115482, 0.250000, 0}	{0.153629, 0.390140, 0.250000, 0}	{0.650270, -0.489974, 0.250000, 0}	{1.264044, -1.257743, 0.250000, 0}	{-2.072408, -0.731532, 0.250000, 1}	{-1.131105, -0.932382, 0.250000, 1}	{-0.063768, -1.163238, 0.250000, 1}	{0.972434, -1.248184, 0.250000, 1}	{1.818157, -0.745136, 0.250000, 1}	{-2.727743, -0.042006, 0.250000, 2}	{-2.086027, -0.663965, 0.250000, 2}	{-1.206798, -1.332309, 0.250000, 2}	{-0.473960, -2.115820, 0.250000, 2}	{-0.226081, 2.837813, 0.250000, 2}
{-2.159903, 1.983155, 0.250000, 0}	{-1.464595, 1.133401, 0.250000, 0}	{-0.919973, 0.316319, 0.250000, 0}	{-0.098279, -0.296300, 0.250000, 0}	{0.999482, -0.544868, 0.250000, 0}	{-2.161773, -0.684344, 0.250000, 1}	{-1.195785, -0.926748, 0.250000, 1}	{-0.199053, -1.101414, 0.250000, 1}	{0.870033, -1.253495, 0.250000, 1}	{1.842535, -1.571296, 0.250000, 1}	{-2.974654, 0.183919, 0.250000, 2}	{-2.159571, -0.345910, 0.250000, 2}	{-1.459515, -1.080155, 0.250000, 2}	{-0.782989, -1.856163, 0.250000, 2}	{0.029608, -2.342793, 0.250000, 2}
{2.318601, 0.631454, 0.250000, 0}	{-2.646952, 0.686137, 0.250000, 0}	{-1.629599, 0.423783, 0.250000, 0}	{-0.591376, -0.021599, 0.250000, 0}	{0.194573, -0.410591, 0.250000, 0}	{-1.987404, 0.107212, 0.250000, 1}	{-1.166425, -0.474029, 0.250000, 1}	{-0.286632, -1.052065, 0.250000, 1}	{0.466789, -1.704493, 0.250000, 1}	{1.237464, -2.419204, 0.250000, 1}	{-2.725896, 0.103245, 0.250000, 2}	{-1.970352, -0.487790, 0.250000, 2}	{-1.200207, -1.150753, 0.250000, 2}	{-0.436360, -1.860778, 0.250000, 2}	{0.544867, -2.286246, 0.250000, 2}
{2.542891, 0.044576, 0.250000, 0}	{-2.568392, -0.034913, 0.250000, 0}	{-1.567335, -0.060865, 0.250000, 0}	{-0.510460, -0.071348, 0.250000, 0}	{0.411984, -0.443992, 0.250000, 0}	{-1.473987, 0.656768, 0.250000, 1}	{-0.728581, -0.115760, 0.250000, 1}	{0.151325, -0.733347, 0.250000, 1}	{1.084134, -1.119719, 0.250000, 1}	{1.984645, -1.408860, 0.250000, 1}	{-2.556063, 0.245815, 0.250000, 2}	{-1.948789, -0.504139, 0.250000, 2}	{-1.104108, -1.123878, 0.250000, 2}	{-0.221836, -1.647515, 0.250000, 2}	{0.807168, -2.152245, 0.250000, 2}
{2.613374, 0.250287, 0.250000, 0}	{-2.486403, -0.185843, 0.250000, 0}	{-1.593044, -0.454162, 0.250000, 0}	{-0.578923, -0.823410, 0.250000, 0}	{0.201932, -1.355621, 0.250000, 0}	{0.407659, 1.168321, 0.250000, 1}	{0.558157, 0.065169, 0.250000, 1}	{0.840033, -0.952566, 0.250000, 1}	{1.328903, -1.830394, 0.250000, 1}	{1.991740, -2.584568, 0.250000, 1}	{-2.902395, 0.187016, 0.250000, 2}	{-2.007795, -0.285037, 0.250000, 2}	{-1.059789, -0.722842, 0.250000, 2}	{-0.153711, -1.257537, 0.250000, 2}	{0.475690, -2.024761, 0.250000, 2}
{2.771645, 0.629018, 0.250000, 0}	{-2.258109, 0.239534, 0.250000, 0}	{-1.440864, -0.198543, 0.250000, 0}	{-0.462912, -0.584402, 0.250000, 0}	{0.297954, -1.148440, 0.250000, 0}	{-0.361860, 1.706911, 0.250000, 1}	{-0.064900, 0.794023, 0.250000, 1}	{0.509171, -0.080064, 0.250000, 1}	{0.988259, -0.805825, 0.250000, 1}	{1.558897, -1.633686, 0.250000, 1}	{-2.846511, 0.157079, 0.250000, 2}	{-1.787395, 0.111388, 0.250000, 2}	{-0.955959, -0.484098, 0.250000, 2}	{-0.116670, -1.034329, 0.250000, 2}	{0.714602, -1.660144, 0.250000, 2}
{2.282000, 0.411256, 0.250000, 0}	{-2.834202, -0.190641, 0.250000, 0}	{-1.836286, -0.586582, 0.250000, 0}	{-0.786184, -0.966439, 0.250000, 0}	{0.382579, -1.137534, 0.250000, 0}	{0.770231, 2.754316, 0.250000, 1}	{0.561252, 1.842804, 0.250000, 1}	{0.666042, 0.798919, 0.250000, 1}	{0.554974, -0.261396, 0.250000, 1}	{0.722555, -1.206667, 0.250000, 1}	{-2.967023, -0.149149, 0.250000, 2}	{-1.921134, -0.365339, 0.250000, 2}	{-1.050859, -0.710629, 0.250000, 2}	{-0.148687, -1.178592, 0.250000, 2}	{1.007761, -1.408658, 0.250000, 2}
