{-2.500000, 1.000000, 1.250000, 0.000000, 0}	{-1.250000, 1.000000, 1.250000, 0.000000, 0}	{0.000000, 1.000000, 1.250000, 0.000000, 0}	{1.250000, 1.000000, 1.250000, 0.000000, 0}	{-2.500000, 0.000000, 1.250000, 0.000000, 1}	{-1.250000, 0.000000, 1.250000, 0.000000, 1}	{0.000000, 0.000000, 1.250000, 0.000000, 1}	{1.250000, 0.000000, 1.250000, 0.000000, 1}	{-2.500000, -1.000000, 1.250000, 0.000000, 2}	{-1.250000, -1.000000, 1.250000, 0.000000, 2}	{0.000000, -1.000000, 1.250000, 0.000000, 2}	{1.250000, -1.000000, 1.250000, 0.000000, 2}
{-1.216437, 1.637828, 0.964811, -0.287270, 0}	{-0.251626, 1.350558, 0.885884, -0.476585, 0}	{0.634258, 0.873973, 0.915247, -0.404893, 0}	{1.549505, 0.469081, 0.672958, -0.805899, 0}	{-1.823772, -0.127934, 0.887672, -0.316825, 1}	{-0.936100, -0.444759, 0.950894, -0.289555, 1}	{0.014794, -0.734314, 0.951068, 0.184486, 1}	{0.965863, -0.549829, 1.004831, 0.243350, 1}	{-2.196849, -1.472132, 0.957264, 0.119803, 2}	{-1.239585, -1.352328, 1.022544, -0.172340, 2}	{-0.217041, -1.524668, 1.040884, 0.051924, 2}	{0.823843, -1.472744, 1.003681, 0.035068, 2}
{-1.482992, 1.482205, 0.980376, -0.149933, 0}	{-0.502616, 1.332273, 1.042666, -0.216815, 0}	{0.540050, 1.115457, 0.792177, -0.491509, 0}	{1.332227, 0.623948, 0.620426, -0.638116, 0}	{-1.945486, 0.654465, 0.928574, -0.194090, 1}	{-1.016911, 0.460375, 0.791114, -0.439682, 1}	{-0.225798, 0.020693, 0.920871, -0.397814, 1}	{0.695074, -0.377120, 0.977441, -0.502594, 1}	{-1.930389, -0.914092, 0.891814, -0.495730, 2}	{-1.038575, -1.409821, 1.087814, -0.155150, 2}	{0.049239, -1.564971, 0.801842, -0.167501, 2}	{0.851081, -1.732472, 0.978654, -0.171291, 2}
{-1.980789, 1.217850, 0.860350, -0.340608, 0}	{-1.120439, 0.877242, 0.983914, -0.562638, 0}	{-0.136525, 0.314604, 0.854955, -0.484123, 0}	{0.718430, -0.169519, 0.985720, -0.051900, 0}	{-1.908344, 0.655062, 0.970384, -0.566888, 1}	{-0.937960, 0.088175, 0.878221, -0.446015, 1}	{-0.059739, -0.357840, 0.836212, -0.589629, 1}	{0.776472, -0.947469, 0.960211, -0.451592, 1}	{-1.495440, 0.317277, 0.638681, -0.667092, 2}	{-0.856759, -0.349814, 0.862794, -0.455861, 2}	{0.006035, -0.805676, 0.791228, -0.544718, 2}	{0.797262, -1.350393, 0.707658, -0.630967, 2}
{-2.395116, 1.576776, 1.020076, -0.262162, 0}	{-1.375040, 1.314614, 0.946969, -0.298063, 0}	{-0.428071, 1.016552, 0.982313, -0.343966, 0}	{0.554242, 0.672586, 0.909966, -0.324756, 0}	{-2.194548, -0.403066, 0.946555, -0.468309, 1}	{-1.247993, -0.871375, 1.092371, 0.089517, 1}	{-0.155622, -0.781858, 1.012253, -0.153264, 1}	{0.856631, -0.935122, 1.065057, 0.080458, 1}	{-2.012651, 0.683700, 0.880101, -0.743961, 2}	{-1.132549, -0.060261, 0.724881, -0.766169, 2}	{-0.407668, -0.826430, 0.887767, -0.527676, 2}	{0.480099, -1.354106, 0.970028, -0.393253, 2}
{-1.141645, 1.784881, 0.649638, -0.669398, 0}	{-0.492007, 1.115482, 0.645636, -0.725342, 0}	{0.153629, 0.390140, 0.496641, -0.880114, 0}	{0.650270, -0.489974, 0.613774, -0.767770, 0}	{-2.072408, -0.731532, 0.941303, -0.200849, 1}	{-1.131105, -0.932382, 1.067337, -0.230857, 1}	{-0.063768, -1.163238, 1.036202, -0.084945, 1}	{0.972434, -1.248184, 0.845722, 0.503048, 1}	{-2.727743, -0.042006, 0.641716, -0.621959, 2}	{-2.086027, -0.663965, 0.879228, -0.668344, 2}	{-1.206798, -1.332309, 0.732838, -0.783512, 2}	{-0.473960, -2.115820, 0.247880, -1.046367, 2}
{-2.159903, 1.983155, 0.695308, -0.849754, 0}	{-1.464595, 1.133401, 0.544622, -0.817082, 0}	{-0.919973, 0.316319, 0.821693, -0.612619, 0}	{-0.098279, -0.296300, 1.097761, -0.248569, 0}	{-2.161773, -0.684344, 0.965988, -0.242404, 1}	{-1.195785, -0.926748, 0.996733, -0.174666, 1}	{-0.199053, -1.101414, 1.069086, -0.152081, 1}	{0.870033, -1.253495, 0.972502, -0.317801, 1}	{-2.974654, 0.183919, 0.815083, -0.529829, 2}	{-2.159571, -0.345910, 0.700056, -0.734245, 2}	{-1.459515, -1.080155, 0.676526, -0.776008, 2}	{-0.782989, -1.856163, 0.812597, -0.486630, 2}
{2.318601, 0.631454, 1.034447, 0.054683, 0}	{-2.646952, 0.686137, 1.017353, -0.262354, 0}	{-1.629599, 0.423783, 1.038223, -0.445382, 0}	{-0.591376, -0.021599, 0.785949, -0.388993, 0}	{-1.987404, 0.107212, 0.820979, -0.581242, 1}	{-1.166425, -0.474029, 0.879793, -0.578036, 1}	{-0.286632, -1.052065, 0.753421, -0.652427, 1}	{0.466789, -1.704493, 0.770675, -0.714712, 1}	{-2.725896, 0.103245, 0.755544, -0.591035, 2}	{-1.970352, -0.487790, 0.770145, -0.662962, 2}	{-1.200207, -1.150753, 0.763847, -0.710025, 2}	{-0.436360, -1.860778, 0.981227, -0.425468, 2}
{2.542891, 0.044576, 0.888718, -0.079489, 0}	{-2.568392, -0.034913, 1.001056, -0.025952, 0}	{-1.567335, -0.060865, 1.056875, -0.010483, 0}	{-0.510460, -0.071348, 0.922444, -0.372644, 0}	{-1.473987, 0.656768, 0.745406, -0.772528, 1}	{-0.728581, -0.115760, 0.879906, -0.617587, 1}	{0.151325, -0.733347, 0.932808, -0.386372, 1}	{1.084134, -1.119719, 0.900511, -0.289141, 1}	{-2.556063, 0.245815, 0.607274, -0.749954, 2}	{-1.948789, -0.504139, 0.844681, -0.619739, 2}	{-1.104108, -1.123878, 0.882271, -0.523637, 2}	{-0.221836, -1.647515, 1.029004, -0.504730, 2}
{2.613374, 0.250287, 0.900223, -0.436130, 0}	{-2.486403, -0.185843, 0.893359, -0.268320, 0}	{-1.593044, -0.454162, 1.014121, -0.369248, 0}	{-0.578923, -0.823410, 0.780855, -0.532211, 0}	{0.407659, 1.168321, 0.150498, -1.103152, 1}	{0.558157, 0.065169, 0.281876, -1.017735, 1}	{0.840033, -0.952566, 0.488869, -0.877828, 1}	{1.328903, -1.830394, 0.662838, -0.754174, 1}	{-2.902395, 0.187016, 0.894600, -0.472053, 2}	{-2.007795, -0.285037, 0.948006, -0.437805, 2}	{-1.059789, -0.722842, 0.906078, -0.534695, 2}	{-0.153711, -1.257537, 0.629401, -0.767224, 2}
