{-2.500000, -0.500000, 0.050000, 0}	{-1.250000, -0.500000, 0.050000, 0}	{0.000000, -0.500000, 0.050000, 0}	{1.250000, -0.500000, 0.050000, 0}	{2.500000, -0.500000, 0.050000, 0}	{-2.500000, 0.500000, 0.050000, 1}	{-1.250000, 0.500000, 0.050000, 1}	{0.000000, 0.500000, 0.050000, 1}	{1.250000, 0.500000, 0.050000, 1}	{2.500000, 0.500000, 0.050000, 1}
{-2.520129, -1.070952, 0.050000, 0}	{-1.567240, -0.988991, 0.050000, 0}	{-0.518582, -1.168405, 0.050000, 0}	{0.467464, -1.153564, 0.050000, 0}	{1.564723, -1.168341, 0.050000, 0}	{-1.783984, -0.207935, 0.050000, 1}	{-0.813544, -0.453709, 0.050000, 1}	{0.186889, -0.384824, 0.050000, 1}	{1.118580, -0.483746, 0.050000, 1}	{2.267227, -0.557327, 0.050000, 1}
{-2.515940, 1.897902, 0.050000, 0}	{-1.787522, -1.496800, 0.050000, 0}	{-0.836036, -1.115998, 0.050000, 0}	{0.076514, -0.622274, 0.050000, 0}	{0.870912, 0.010490, 0.050000, 0}	{-1.739708, -0.325136, 0.050000, 1}	{-0.714884, -0.462400, 0.050000, 1}	{0.333147, -0.337403, 0.050000, 1}	{1.484087, -0.542047, 0.050000, 1}	{2.368353, -1.139572, 0.050000, 1}
{2.965235, 1.622571, 0.050000, 0}	{-2.017625, 1.959540, 0.050000, 0}	{-1.160429, -1.620445, 0.050000, 0}	{-0.338773, -0.968802, 0.050000, 0}	{0.492582, -0.402948, 0.050000, 0}	{-1.895771, -0.132460, 0.050000, 1}	{-0.890135, -0.336546, 0.050000, 1}	{0.128250, -0.481906, 0.050000, 1}	{1.126216, -0.424208, 0.050000, 1}	{2.184105, -0.534018, 0.050000, 1}
{-2.367983, 1.032517, 0.050000, 0}	{-1.764956, 1.870767, 0.050000, 0}	{-0.972600, -1.545784, 0.050000, 0}	{-0.251641, -0.873558, 0.050000, 0}	{0.375769, -0.135997, 0.050000, 0}	{-1.449006, -0.481911, 0.050000, 1}	{-0.560870, -0.672448, 0.050000, 1}	{0.494551, -0.678588, 0.050000, 1}	{1.498244, -0.575561, 0.050000, 1}	{2.541829, -0.450018, 0.050000, 1}
{-2.728257, 0.714681, 0.050000, 0}	{-2.344627, 1.723395, 0.050000, 0}	{-1.954911, -1.399916, 0.050000, 0}	{-1.084903, -0.950881, 0.050000, 0}	{-0.161560, -0.685325, 0.050000, 0}	{-1.250074, -0.629218, 0.050000, 1}	{-0.274510, -0.659707, 0.050000, 1}	{0.651664, -0.535980, 0.050000, 1}	{1.616099, -0.477129, 0.050000, 1}	{2.624019, -0.506904, 0.050000, 1}
{2.981830, 0.738499, 0.050000, 0}	{-2.311961, 1.496092, 0.050000, 0}	{-1.848500, -1.592736, 0.050000, 0}	{-1.203767, -0.739572, 0.050000, 0}	{-0.420614, -0.091771, 0.050000, 0}	{-0.725241, 0.106173, 0.050000, 1}	{0.201344, -0.203142, 0.050000, 1}	{1.197729, -0.047541, 0.050000, 1}	{2.163468, 0.218462, 0.050000, 1}	{-2.943696, 0.641331, 0.050000, 1}
{2.462338, 0.724835, 0.050000, 0}	{-2.766774, 1.364181, 0.050000, 0}	{-1.961665, 1.986595, 0.050000, 0}	{-1.207376, -1.394429, 0.050000, 0}	{-0.355212, -0.768904, 0.050000, 0}	{-0.140834, 0.273881, 0.050000, 1}	{0.829587, 0.540541, 0.050000, 1}	{1.848247, 0.688263, 0.050000, 1}	{2.847533, 0.595176, 0.050000, 1}	{-2.187871, 0.795839, 0.050000, 1}
{2.554305, 1.400793, 0.050000, 0}	{-2.586563, 1.715048, 0.050000, 0}	{-1.851959, -1.811164, 0.050000, 0}	{-1.203861, -1.151350, 0.050000, 0}	{-0.472985, -0.347833, 0.050000, 0}	{-0.195931, 0.132753, 0.050000, 1}	{0.730317, 0.354968, 0.050000, 1}	{1.748537, 0.397423, 0.050000, 1}	{2.585407, 0.543201, 0.050000, 1}	{-2.742946, 1.133976, 0.050000, 1}
{2.197779, -1.547578, 0.050000, 0}	{-2.769182, -1.368014, 0.050000, 0}	{-1.694545, -1.357463, 0.050000, 0}	{-0.816007, -1.322909, 0.050000, 0}	{0.045236, -1.061854, 0.050000, 0}	{-0.290530, -0.403379, 0.050000, 1}	{0.543467, 0.236366, 0.050000, 1}	{1.433869, 0.680764, 0.050000, 1}	{2.403671, 0.809536, 0.050000, 1}	{-2.742020, 0.683589, 0.050000, 1}
