{-2.500000, -0.500000, 1.250000, 0.000000, 0}	{-1.250000, -0.500000, 1.250000, 0.000000, 0}	{0.000000, -0.500000, 1.250000, 0.000000, 0}	{1.250000, -0.500000, 1.250000, 0.000000, 0}	{-2.500000, 0.500000, 1.250000, 0.000000, 1}	{-1.250000, 0.500000, 1.250000, 0.000000, 1}	{0.000000, 0.500000, 1.250000, 0.000000, 1}	{1.250000, 0.500000, 1.250000, 0.000000, 1}
{-2.520129, -1.070952, 0.952889, 0.081961, 0}	{-1.567240, -0.988991, 1.048658, -0.179414, 0}	{-0.518582, -1.168405, 0.986046, 0.014841, 0}	{0.467464, -1.153564, 1.097259, -0.014776, 0}	{-1.783984, -0.207935, 0.970440, -0.245774, 1}	{-0.813544, -0.453709, 1.000432, 0.068885, 1}	{0.186889, -0.384824, 0.931692, -0.098922, 1}	{1.118580, -0.483746, 1.148646, -0.073581, 1}
{-2.515940, 1.897902, 0.728418, 0.605298, 0}	{-1.787522, -1.496800, 0.951487, 0.380802, 0}	{-0.836036, -1.115998, 0.912549, 0.493724, 0}	{0.076514, -0.622274, 0.794398, 0.632764, 0}	{-1.739708, -0.325136, 1.024823, -0.137263, 1}	{-0.714884, -0.462400, 1.048032, 0.124996, 1}	{0.333147, -0.337403, 1.150939, -0.204643, 1}	{1.484087, -0.542047, 0.884266, -0.597525, 1}
{2.965235, 1.622571, 1.017139, 0.336969, 0}	{-2.017625, 1.959540, 0.857196, 0.420015, 0}	{-1.160429, -1.620445, 0.821656, 0.651643, 0}	{-0.338773, -0.968802, 0.831355, 0.565854, 0}	{-1.895771, -0.132460, 1.005636, -0.204086, 1}	{-0.890135, -0.336546, 1.018385, -0.145360, 1}	{0.128250, -0.481906, 0.997966, 0.057698, 1}	{1.126216, -0.424208, 1.057888, -0.109810, 1}
{-2.367983, 1.032517, 0.603027, 0.838251, 0}	{-1.764956, 1.870767, 0.792356, 0.583449, 0}	{-0.972600, -1.545784, 0.720960, 0.672226, 0}	{-0.251641, -0.873558, 0.627410, 0.737561, 0}	{-1.449006, -0.481911, 0.888136, -0.190537, 1}	{-0.560870, -0.672448, 1.055421, -0.006139, 1}	{0.494551, -0.678588, 1.003692, 0.103026, 1}	{1.498244, -0.575561, 1.043586, 0.125543, 1}
{-2.728257, 0.714681, 0.383630, 1.008714, 0}	{-2.344627, 1.723395, 0.389717, 0.876689, 0}	{-1.954911, -1.399916, 0.870008, 0.449036, 0}	{-1.084903, -0.950881, 0.923343, 0.265556, 0}	{-1.250074, -0.629218, 0.975565, -0.030489, 1}	{-0.274510, -0.659707, 0.926174, 0.123726, 1}	{0.651664, -0.535980, 0.964435, 0.058851, 1}	{1.616099, -0.477129, 1.007919, -0.029775, 1}
{2.981830, 0.738499, 0.706209, 0.757593, 0}	{-2.311961, 1.496092, 0.463461, 0.911172, 0}	{-1.848500, -1.592736, 0.644733, 0.853165, 0}	{-1.203767, -0.739572, 0.783153, 0.647801, 0}	{-0.725241, 0.106173, 0.926585, -0.309315, 1}	{0.201344, -0.203142, 0.996385, 0.155601, 1}	{1.197729, -0.047541, 0.965738, 0.266003, 1}	{2.163468, 0.218462, 0.892836, 0.422869, 1}
{2.462338, 0.724835, 0.770888, 0.639345, 0}	{-2.766774, 1.364181, 0.805110, 0.622415, 0}	{-1.961665, 1.986595, 0.754289, 0.618976, 0}	{-1.207376, -1.394429, 0.852164, 0.625525, 0}	{-0.140834, 0.273881, 0.970421, 0.266660, 1}	{0.829587, 0.540541, 1.018660, 0.147721, 1}	{1.848247, 0.688263, 0.999286, -0.093087, 1}	{2.847533, 0.595176, 0.964596, 0.200663, 1}
{2.554305, 1.400793, 0.859133, 0.314255, 0}	{-2.586563, 1.715048, 0.734603, 0.473788, 0}	{-1.851959, -1.811164, 0.648099, 0.659815, 0}	{-1.203861, -1.151350, 0.730875, 0.803517, 0}	{-0.195931, 0.132753, 0.926248, 0.222215, 1}	{0.730317, 0.354968, 1.018219, 0.042455, 1}	{1.748537, 0.397423, 0.836870, 0.145778, 1}	{2.585407, 0.543201, 0.671647, 0.590775, 1}
{2.197779, -1.547578, 1.033040, 0.179563, 0}	{-2.769182, -1.368014, 1.074637, 0.010551, 0}	{-1.694545, -1.357463, 0.878537, 0.034554, 0}	{-0.816007, -1.322909, 0.861243, 0.261055, 0}	{-0.290530, -0.403379, 0.833997, 0.639746, 1}	{0.543467, 0.236366, 0.890402, 0.444397, 1}	{1.433869, 0.680764, 0.969802, 0.128773, 1}	{2.403671, 0.809536, 0.854309, -0.125947, 1}
