{-2.380000, -0.500000, -2.380000, 0.500000, -1, -1, -1, -1}	{-2.240000, -0.500000, -2.240000, 0.500000, -1, -1, -1, -1}	{-2.100000, -0.500000, -2.100000, 0.500000, -1, -1, -1, -1}	{-1.960000, -0.500000, -1.960000, 0.500000, -1, -1, -1, -1}	{-1.820000, -0.500000, -1.820000, 0.500000, -1, -1, -1, -1}	{-1.680000, -0.500000, -1.680000, 0.500000, -1, -1, -1, -1}	{-1.540000, -0.500000, -1.540000, 0.500000, -1, -1, -1, -1}	{-1.400000, -0.500000, -1.400000, 0.500000, -1, -1, -1, -1}	{-1.260000, -0.500000, -1.260000, 0.500000, -1, -1, -1, -1}	{-1.120000, -0.500000, -1.120000, 0.500000, -1, -1, -1, -1}	{-0.980000, -0.500000, -0.980000, 0.500000, -1, -1, -1, -1}	{-0.840000, -0.500000, -0.840000, 0.500000, -1, -1, -1, -1}	{-0.700000, -0.500000, -0.700000, 0.500000, -1, -1, -1, -1}	{-0.560000, -0.500000, -0.560000, 0.500000, -1, -1, -1, -1}	{-0.420000, -0.500000, -0.420000, 0.500000, -1, -1, -1, -1}	{-0.280000, -0.500000, -0.280000, 0.500000, -1, -1, -1, -1}	{-0.140000, -0.500000, -0.140000, 0.500000, -1, -1, -1, -1}	{0.000000, -0.500000, 0.000000, 0.500000, -1, -1, -1, -1}	{0.140000, -0.500000, 0.140000, 0.500000, -1, -1, -1, -1}	{0.280000, -0.500000, 0.280000, 0.500000, -1, -1, -1, -1}	{0.420000, -0.500000, 0.420000, 0.500000, -1, -1, -1, -1}	{0.560000, -0.500000, 0.560000, 0.500000, -1, -1, -1, -1}	{0.700000, -0.500000, 0.700000, 0.500000, -1, -1, -1, -1}	{0.840000, -0.500000, 0.840000, 0.500000, -1, -1, -1, -1}	{0.980000, -0.500000, 0.980000, 0.500000, -1, -1, -1, -1}	{1.120000, -0.500000, 1.120000, 0.500000, -1, -1, -1, -1}	{1.260000, -0.500000, 1.260000, 0.500000, -1, -1, -1, -1}	{1.400000, -0.500000, 1.400000, 0.500000, -1, -1, -1, -1}	{1.540000, -0.500000, 1.540000, 0.500000, -1, -1, -1, -1}	{1.680000, -0.500000, 1.680000, 0.500000, -1, -1, -1, -1}	{1.820000, -0.500000, 1.820000, 0.500000, -1, -1, -1, -1}	{1.960000, -0.500000, 1.960000, 0.500000, -1, -1, -1, -1}	{2.100000, -0.500000, 2.100000, 0.500000, -1, -1, -1, -1}	{2.240000, -0.500000, 2.240000, 0.500000, -1, -1, -1, -1}	{2.380000, -0.500000, 2.380000, 0.500000, -1, -1, -1, -1}	{2.520000, -0.500000, 2.520000, 0.500000, -1, -1, -1, -1}
{2.626424, -1.174993, -0.085562, 0.099883, -1, -1, -1, -1}	{-2.961860, 0.820771, -0.009490, -0.111373, -1, -1, -1, -1}	{2.216258, -1.392348, -0.061458, -0.019613, -1, -1, -1, -1}	{-2.465093, 1.740358, 0.023353, -0.087589, -1, -1, -1, -1}	{-2.708915, -0.094509, -0.061804, -0.034045, -1, -1, -1, -1}	{2.663776, -1.281451, -0.023236, 0.121631, -1, -1, -1, -1}	{-2.830951, -1.315438, 0.039802, -0.123425, -1, -1, -1, -1}	{-0.127336, -1.210883, -0.022147, -0.041459, -1, -1, -1, -1}	{-1.609613, 0.583792, -0.082375, -0.054680, -1, -1, -1, -1}	{-1.567240, -0.988991, -0.018023, -0.044227, 0, -1, 0, -1}	{-0.682510, 0.409694, 0.044082, 0.116633, -1, -1, -1, -1}	{-2.881408, -1.151925, -0.002061, 0.092519, -1, -1, -1, -1}	{-1.469006, 0.131057, 0.044608, 0.005105, -1, -1, -1, -1}	{-0.859998, -0.088743, -0.072329, -0.002495, -1, -1, -1, -1}	{-0.419980, -1.089799, -0.119254, -0.075073, -1, 0, -1, 1}	{-1.106804, -1.083050, -0.053943, 0.024512, -1, 0, -1, 1}	{-0.488095, -0.470554, -0.151775, 0.028804, -1, 1, -1, 1}	{0.552434, 0.794239, 0.011998, 0.017208, -1, -1, -1, -1}	{-0.365598, -1.196434, -0.036521, 0.029782, -1, 0, -1, 2}	{0.331535, -0.680559, -0.005305, 0.017265, -1, -1, -1, -1}	{0.890809, -1.159265, -0.072414, 0.023247, 0, -1, 3, -1}	{1.283689, 1.232029, -0.011067, -0.058023, -1, -1, -1, -1}	{-0.092301, -1.488067, -0.055713, -0.031437, -1, -1, -1, -1}	{1.295729, -1.131843, -0.000832, -0.032864, -1, 0, -1, 3}	{0.894029, 0.593459, 0.014802, 0.089629, -1, -1, -1, -1}	{2.267227, -0.557327, -0.070178, -0.007439, 1, -1, 3, -1}	{2.277100, -0.300480, -0.051137, -0.102937, -1, -1, -1, -1}	{1.416634, -1.166346, 0.059910, -0.088941, 0, -1, 3, -1}	{-2.153873, -0.441082, -0.094566, -0.003130, -1, -1, -1, -1}	{2.593821, -0.417353, 0.068278, 0.075983, -1, -1, -1, -1}	{0.732250, -0.100617, 0.055956, 0.010447, -1, -1, -1, -1}	{-2.503495, -0.409415, -0.077918, -0.021520, -1, -1, -1, -1}	{-2.667532, 0.853102, -0.165492, 0.083162, -1, -1, -1, -1}	{-1.123754, -0.065090, -0.030528, 0.000414, -1, -1, -1, -1}	{-2.320215, -1.053757, -0.139918, -0.091481, 0, -1, 0, -1}	{2.744227, -0.853226, -0.091691, -0.052653, -1, -1, -1, -1}
{2.654980, -0.723175, -0.056352, -0.039769, -1, -1, -1, -1}	{2.329010, -1.813084, -0.026431, -0.064753, -1, -1, -1, -1}	{1.874512, 0.056354, 0.086619, -0.105197, -1, -1, -1, -1}	{2.955808, -1.741413, -0.019313, -0.009701, -1, -1, -1, -1}	{2.483947, -0.808421, 0.067067, 0.060954, -1, -1, -1, -1}	{2.205349, -1.793513, 0.096729, -0.020660, -1, -1, -1, -1}	{-2.530609, 1.885713, -0.105686, -0.099647, 0, -1, 0, -1}	{-0.858144, -1.127959, 0.085504, 0.084215, 0, -1, 2, -1}	{-1.532540, -0.352884, 0.038741, 0.044384, 1, -1, 0, -1}	{-1.125743, -1.231944, -0.142655, -0.064603, 0, -1, 1, -1}	{-2.203183, 0.247488, 0.038322, -0.000778, -1, -1, -1, -1}	{-1.803184, -0.343584, 0.023004, 0.061999, -1, -1, -1, -1}	{-1.387285, -0.496670, -0.027327, 0.127990, -1, 1, -1, 0}	{0.296341, -0.499621, -0.120136, 0.143499, -1, 1, -1, 1}	{-0.774704, -1.082815, -0.029343, -0.042873, 0, -1, 2, -1}	{-1.859117, -1.493552, 0.065448, -0.008355, -1, 0, -1, 0}	{-0.624230, -0.405770, 0.134492, -0.029777, -1, 1, -1, 1}	{0.745327, -1.651364, 0.042066, 0.035471, -1, -1, -1, -1}	{-0.631133, -1.210523, -0.038466, 0.011842, -1, -1, -1, -1}	{-0.691007, -0.933146, 0.026944, -0.089808, -1, 0, -1, 2}	{0.343736, -0.409423, -0.002487, 0.052918, 0, -1, 3, -1}	{1.014693, 0.826128, 0.057804, -0.102481, -1, -1, -1, -1}	{-0.594430, -0.985280, 0.048220, -0.015117, 0, -1, 2, -1}	{0.869965, -0.544103, -0.045733, -0.001359, -1, -1, -1, -1}	{0.679189, 0.028448, 0.101080, 0.060509, -1, -1, -1, -1}	{2.368353, -1.139572, -0.113126, -0.083636, 1, -1, 3, -1}	{2.103818, -0.157707, -0.091491, -0.034406, -1, -1, -1, -1}	{0.787589, -0.055879, -0.077208, 0.107455, 0, -1, 3, -1}	{2.914133, 1.777415, -0.004588, 0.090169, -1, -1, -1, -1}	{2.775083, 0.355263, 0.031218, -0.081293, -1, -1, -1, -1}	{1.160983, -1.843353, -0.024918, -0.063314, -1, -1, -1, -1}	{-2.110929, -0.372116, -0.002481, 0.079963, -1, -1, -1, -1}	{-1.813624, 1.036444, -0.011895, -0.007026, -1, -1, -1, -1}	{-0.703360, -0.535099, -0.087639, -0.042267, -1, -1, -1, -1}	{-2.368783, -1.979814, 0.093119, -0.012767, 0, -1, 0, -1}	{-2.337194, -1.400401, -0.020463, 0.133598, -1, -1, -1, -1}
{2.111601, -0.478603, -0.044450, 0.013034, -1, -1, -1, -1}	{1.786205, -1.159071, 0.013330, -0.118266, -1, -1, -1, -1}	{2.158367, 0.353143, 0.031354, -0.029759, -1, -1, -1, -1}	{-2.901871, 1.461655, -0.010951, 0.201315, -1, 0, -1, 0}	{-2.757378, 0.033434, -0.068656, -0.018138, -1, -1, -1, -1}	{2.983060, 1.875863, 0.022068, 0.031762, -1, -1, -1, -1}	{-2.934767, 1.655700, 0.042169, -0.050147, 0, -1, 0, -1}	{-1.296260, -1.201824, 0.109933, 0.027114, -1, -1, -1, -1}	{-1.712102, -0.169734, 0.044622, 0.033975, 1, -1, 0, -1}	{-0.917915, -1.792476, 0.076705, -0.008089, -1, -1, -1, -1}	{-1.298892, -0.253592, 0.024003, 0.082587, 1, -1, 0, -1}	{-1.138449, -0.112984, -0.037467, -0.165564, -1, 1, -1, 0}	{-1.495409, -0.291419, -0.086599, 0.095283, -1, 1, -1, 0}	{0.589639, -1.481937, -0.173274, 0.104303, -1, -1, -1, -1}	{0.547787, -1.494434, -0.004330, 0.166822, -1, -1, -1, -1}	{-1.417427, -1.775016, -0.146535, -0.043155, -1, 0, -1, 1}	{-0.782578, -0.351898, -0.038435, -0.011490, 1, -1, 1, -1}	{1.962010, 1.867059, 0.010938, -0.069547, -1, -1, -1, -1}	{-1.160429, -1.620445, -0.022744, 0.188738, 0, -1, 1, -1}	{-0.975112, -0.319300, 0.010346, -0.020417, 1, -1, 0, -1}	{0.492582, -0.402948, -0.102296, 0.048404, 0, -1, 3, -1}	{1.668208, 0.826161, 0.033316, -0.017155, -1, -1, -1, -1}	{-0.936469, -1.442825, 0.017819, -0.072039, 0, -1, 2, -1}	{0.317604, 1.856323, -0.053253, -0.010042, -1, -1, -1, -1}	{0.404205, -0.526276, 0.052401, 0.098840, -1, 0, -1, 3}	{1.880954, -1.414784, 0.125128, -0.033355, -1, -1, -1, -1}	{1.777831, -0.491847, -0.073787, -0.188927, 1, -1, 3, -1}	{0.404520, -0.462887, -0.033768, 0.083865, 0, -1, 3, -1}	{2.909171, -0.690769, 0.141524, -0.043631, -1, -1, -1, -1}	{2.784907, 0.578594, -0.054380, 0.023927, -1, -1, -1, -1}	{-0.713692, -1.494265, -0.088903, -0.040799, -1, -1, -1, -1}	{-1.102160, 0.383686, -0.128851, 0.057343, -1, -1, -1, -1}	{-2.895583, 1.361297, 0.011013, -0.078564, -1, -1, -1, -1}	{-0.170792, -0.669313, -0.049014, 0.125195, -1, -1, -1, -1}	{2.748600, -1.692151, 0.075460, 0.088814, -1, -1, -1, -1}	{-1.907589, -1.867028, 0.100758, -0.070145, -1, 0, -1, 1}
{2.275522, 1.242340, 0.022326, -0.072936, -1, -1, -1, -1}	{1.792643, -0.540145, 0.027514, -0.028722, 1, -1, 3, -1}	{2.031966, -0.255743, -0.060757, -0.059179, -1, -1, -1, -1}	{2.551044, -0.855635, 0.111918, 0.001823, -1, -1, -1, -1}	{-2.513745, 0.549651, 0.113520, 0.041658, -1, -1, -1, -1}	{-2.712907, -1.745717, -0.066022, -0.028731, -1, -1, -1, -1}	{-1.860504, 1.530513, -0.081934, 0.093542, -1, 0, -1, 0}	{-1.493818, -1.724559, 0.205402, -0.053774, -1, 0, -1, 1}	{-1.283377, -0.507397, 0.007205, -0.011593, -1, 1, -1, 0}	{2.887569, -0.553335, 0.039647, 0.139932, -1, -1, -1, -1}	{-1.361326, -0.500722, 0.029824, -0.007023, 1, -1, 0, -1}	{-0.910495, 0.850750, 0.074629, 0.014784, -1, -1, -1, -1}	{-2.102927, 0.673554, 0.009605, 0.148373, -1, -1, -1, -1}	{-0.938452, -1.523227, -0.032464, 0.074546, -1, -1, -1, -1}	{0.199387, -0.676871, -0.021032, -0.022313, 1, -1, 1, -1}	{-1.314338, -1.866295, -0.020117, 0.054060, -1, 0, -1, 1}	{-0.425493, -0.673236, -0.090158, -0.112674, 1, -1, 1, -1}	{2.015530, 1.551411, -0.119538, -0.144066, -1, -1, -1, -1}	{-1.935565, -1.620713, 0.047865, -0.044332, -1, -1, -1, -1}	{-0.648964, -1.012372, 0.071947, -0.075423, -1, -1, -1, -1}	{0.034228, -0.366839, -0.129924, 0.028648, -1, -1, -1, -1}	{1.872286, 1.147472, -0.002982, 0.097565, -1, -1, -1, -1}	{-0.436374, -1.030413, 0.102165, 0.079867, -1, 0, -1, 2}	{0.886930, 1.470043, -0.013517, -0.037093, -1, -1, -1, -1}	{0.133872, 0.417724, 0.004677, 0.122159, -1, -1, -1, -1}	{0.842246, 1.702783, -0.037197, -0.058605, -1, -1, -1, -1}	{1.695587, -0.145826, 0.037446, 0.087200, -1, -1, -1, -1}	{-0.133043, -0.293785, -0.081968, -0.032842, -1, -1, -1, -1}	{1.869559, -0.520604, -0.073744, -0.019160, -1, 1, -1, 3}	{2.888698, -0.060510, -0.047332, 0.022532, -1, -1, -1, -1}	{0.007670, -0.675756, -0.030268, -0.103929, 1, -1, 1, -1}	{-1.714769, 0.854194, -0.021209, -0.006678, -1, -1, -1, -1}	{-2.893423, -1.648554, 0.041388, -0.032065, -1, -1, -1, -1}	{0.337313, -0.181205, -0.038064, -0.056248, 0, -1, 3, -1}	{2.962170, -1.267031, 0.091932, 0.067810, -1, -1, -1, -1}	{-1.378884, 1.950660, -0.083896, 0.142615, -1, 0, -1, 1}
{-2.750754, 1.518889, 0.099876, -0.141976, -1, -1, -1, -1}	{1.869760, -0.484622, -0.143213, -0.119902, 1, -1, 3, -1}	{1.885877, -0.084963, -0.048904, -0.006929, -1, -1, -1, -1}	{2.497868, -0.418324, -0.042893, 0.039201, -1, -1, -1, -1}	{-2.422673, 0.465364, -0.012022, -0.081457, -1, -1, -1, -1}	{-2.502783, 1.255565, 0.035041, 0.144112, -1, 0, -1, 0}	{-2.640145, 1.019108, -0.022370, 0.060481, -1, -1, -1, -1}	{-2.091074, -1.552086, 0.068921, 0.000904, -1, 0, -1, 1}	{-0.993810, -0.179252, -0.087738, -0.099493, -1, -1, -1, -1}	{2.412414, -0.500653, 0.043534, -0.013953, 1, -1, 3, -1}	{-1.075417, -0.663037, 0.078347, 0.080657, -1, -1, -1, -1}	{-0.529310, 1.972532, 0.013632, 0.069484, -1, -1, -1, -1}	{-1.988251, 1.924398, -0.008486, -0.096636, -1, -1, -1, -1}	{-0.995045, -1.477040, -0.059389, -0.054998, -1, -1, -1, -1}	{-0.355005, -1.317730, -0.070025, 0.007445, -1, -1, -1, -1}	{-2.136237, -1.930535, -0.001211, 0.119992, -1, 0, -1, 1}	{-0.377823, -0.581767, 0.070551, -0.063026, -1, -1, -1, -1}	{1.206810, 0.447195, 0.064001, 0.032065, -1, -1, -1, -1}	{-2.157305, 1.851071, -0.059703, 0.159412, -1, 0, -1, 1}	{-1.954911, -1.399916, 0.057787, 0.002415, 0, -1, 1, -1}	{-0.413985, -0.655348, -0.146281, 0.020120, 1, -1, 0, -1}	{2.178704, -1.832003, -0.065611, -0.093124, -1, -1, -1, -1}	{-1.410965, -1.313585, 0.009219, 0.025226, -1, -1, -1, -1}	{1.828436, 1.098834, -0.013754, 0.072181, -1, -1, -1, -1}	{0.556955, -0.548632, 0.069894, 0.115551, 1, -1, 1, -1}	{1.737006, 1.103049, -0.050884, -0.145928, -1, -1, -1, -1}	{0.945115, -0.518073, 0.012460, -0.088578, 1, -1, 2, -1}	{-0.690193, -0.512947, 0.078883, -0.056771, -1, -1, -1, -1}	{1.857076, -0.326033, 0.015877, -0.158683, -1, 1, -1, 3}	{2.963702, -0.453101, -0.017906, -0.028667, -1, -1, -1, -1}	{1.053845, -0.511439, -0.005108, 0.006190, 1, -1, 2, -1}	{-1.503931, 0.622219, 0.033333, 0.043069, -1, -1, -1, -1}	{-2.654448, 1.563368, -0.012800, -0.027267, -1, -1, -1, -1}	{-0.110831, -0.728552, 0.104150, -0.036921, -1, -1, -1, -1}	{-2.671926, -1.145852, 0.041276, -0.012883, -1, -1, -1, -1}	{-2.136181, 1.410982, 0.074472, 0.050719, -1, -1, -1, -1}
{-2.460599, 1.336639, -0.023159, -0.015794, 0, -1, 0, -1}	{2.319260, -0.273262, 0.111145, 0.041217, -1, -1, -1, -1}	{-0.166015, 1.055415, 0.010031, 0.166069, -1, -1, -1, -1}	{-2.649093, -1.533088, -0.096390, 0.030790, -1, -1, -1, -1}	{-1.798747, -0.632234, -0.088140, 0.003019, -1, -1, -1, -1}	{-2.047172, 0.998622, -0.111851, 0.029957, -1, -1, -1, -1}	{-2.384112, 1.438210, 0.153777, -0.111866, -1, -1, -1, -1}	{2.805800, -1.228070, 0.047978, -0.013609, -1, -1, -1, -1}	{-0.831190, -0.431387, -0.020267, -0.006250, 0, -1, 3, -1}	{2.531288, 0.623071, -0.007758, -0.079044, -1, -1, -1, -1}	{-2.030408, -1.592784, 0.181908, 0.000048, -1, 0, -1, 1}	{-2.097236, 1.819263, -0.024009, 0.051779, -1, 0, -1, 1}	{-2.366834, 1.321275, -0.116139, -0.008637, -1, 0, -1, 0}	{-0.475827, 1.826875, -0.128384, 0.070179, -1, -1, -1, -1}	{-1.092193, 1.714509, 0.008884, -0.113047, -1, -1, -1, -1}	{-2.042533, 1.968127, -0.009697, 0.038601, -1, 0, -1, 1}	{-0.551194, -0.080555, 0.034365, -0.090801, -1, 0, -1, 3}	{0.433645, -0.525586, 0.031966, -0.057147, -1, -1, -1, -1}	{2.265489, 1.615179, 0.097275, -0.081645, -1, -1, -1, -1}	{-1.848500, -1.592736, -0.081203, -0.004528, 0, -1, 1, -1}	{-0.724871, -0.410824, 0.063914, 0.120249, -1, 0, -1, 3}	{2.212885, 1.795235, -0.045691, -0.095387, -1, -1, -1, -1}	{-0.872108, -0.584868, -0.176648, -0.066770, -1, -1, -1, -1}	{2.377190, 0.806795, 0.150336, 0.109913, -1, -1, -1, -1}	{1.002993, -0.077952, 0.073785, -0.102417, 1, -1, 1, -1}	{0.193979, 0.982348, 0.053120, 0.097520, -1, -1, -1, -1}	{1.515371, 0.039950, -0.019100, -0.018523, 1, -1, 2, -1}	{0.043318, -0.150390, -0.130618, 0.085684, 1, -1, 0, -1}	{2.088150, 1.154784, 0.086791, 0.078742, -1, -1, -1, -1}	{2.477674, -1.547543, -0.007123, 0.066261, -1, -1, -1, -1}	{1.620392, 0.068877, -0.030862, 0.036835, 1, -1, 2, -1}	{-1.468704, 0.570998, 0.096072, -0.082513, -1, -1, -1, -1}	{-2.315595, 1.100499, 0.004944, 0.117753, -1, -1, -1, -1}	{-0.713182, -0.333775, 0.028214, 0.014039, 0, -1, 3, -1}	{-2.769244, -1.818187, 0.058649, 0.107368, -1, -1, -1, -1}	{-0.811746, -1.985659, 0.036879, 0.065359, -1, -1, -1, -1}
{2.780201, -1.856914, -0.022034, 0.093821, -1, -1, -1, -1}	{2.097409, -0.168614, -0.042622, -0.065647, -1, -1, -1, -1}	{-0.534895, 0.768308, -0.068430, 0.077453, -1, -1, -1, -1}	{-2.480434, 1.494311, -0.004035, 0.088114, -1, 0, -1, 1}	{2.758767, -0.408525, 0.032941, 0.060377, -1, -1, -1, -1}	{-1.197474, -1.841944, 0.049421, -0.010065, -1, -1, -1, -1}	{-2.223885, 1.363311, 0.007671, -0.038639, -1, -1, -1, -1}	{-2.376487, -1.597585, 0.012326, -0.034945, -1, -1, -1, -1}	{-1.180646, -1.348168, 0.042375, 0.004465, -1, 0, -1, 3}	{2.363661, 0.103755, -0.005454, -0.029563, -1, -1, -1, -1}	{-1.964992, 1.831837, 0.003327, 0.154758, -1, 0, -1, 1}	{-2.432108, 1.606166, -0.005513, 0.012476, -1, 0, -1, 1}	{-2.864331, 1.142978, -0.095490, 0.061096, -1, 0, -1, 0}	{0.304134, -1.846572, -0.061885, 0.066100, -1, -1, -1, -1}	{-0.474964, -1.141964, -0.054643, 0.066138, -1, -1, -1, -1}	{-2.402656, -1.908711, -0.012858, -0.016605, -1, -1, -1, -1}	{-1.019658, -1.054557, 0.095706, -0.121854, -1, -1, -1, -1}	{0.137390, -0.536379, 0.110593, -0.053915, -1, -1, -1, -1}	{2.455024, 1.740169, 0.054640, 0.004098, -1, -1, -1, -1}	{-1.466537, -1.278630, -0.073582, 0.138266, -1, -1, -1, -1}	{-0.540702, -0.890032, -0.065950, -0.063440, -1, 0, -1, 3}	{2.239204, 0.612600, 0.012400, 0.038089, -1, 1, -1, 2}	{-2.020839, -1.476256, 0.076199, -0.064489, -1, -1, -1, -1}	{1.668484, 1.336735, 0.063544, 0.130980, -1, -1, -1, -1}	{1.058988, -0.720357, -0.002288, -0.008372, -1, -1, -1, -1}	{0.540617, -0.250708, -0.002214, 0.048662, -1, -1, -1, -1}	{2.422354, 0.634783, -0.062678, 0.024620, 1, -1, 2, -1}	{1.415472, -0.217910, -0.149508, -0.037979, -1, -1, -1, -1}	{1.682181, 1.008146, 0.118944, -0.132430, -1, -1, -1, -1}	{1.884044, 0.090752, 0.008624, -0.084065, -1, -1, -1, -1}	{1.724400, 0.735941, -0.072868, -0.076205, -1, 1, -1, 1}	{-1.812346, 0.619280, 0.001873, 0.103198, -1, -1, -1, -1}	{-2.020058, -1.922637, -0.006761, -0.108764, -1, -1, -1, -1}	{-0.648616, 1.178370, 0.058834, -0.056190, -1, -1, -1, -1}	{-2.668077, -1.292654, -0.000718, 0.045935, -1, -1, -1, -1}	{-0.434650, -1.792914, 0.050407, -0.042344, -1, -1, -1, -1}
{2.661846, 1.639638, 0.060938, 0.014829, -1, -1, -1, -1}	{-1.186406, 0.413319, -0.070050, 0.024561, -1, -1, -1, -1}	{-1.254725, 0.613623, 0.030736, -0.077183, -1, -1, -1, -1}	{-2.320713, 0.445004, 0.066339, -0.080555, -1, -1, -1, -1}	{-0.831229, -0.520607, -0.008228, 0.005129, -1, -1, -1, -1}	{-1.634294, -1.493834, -0.003925, -0.023485, -1, -1, -1, -1}	{-2.103857, -1.973627, -0.051255, -0.050367, 0, -1, 1, -1}	{-1.465745, -1.409780, 0.069202, 0.062264, -1, 0, -1, 2}	{-1.184852, -1.050474, 0.064773, -0.008768, -1, 0, -1, 3}	{-2.723224, 0.865047, 0.111285, 0.000488, -1, -1, -1, -1}	{-2.015629, 1.849159, -0.026657, 0.103519, -1, -1, -1, -1}	{-2.526102, 1.630989, -0.076514, 0.073705, -1, 0, -1, 1}	{-2.784879, 1.717610, -0.037222, -0.088718, -1, 0, -1, 0}	{0.598880, 1.400944, 0.001323, -0.079676, -1, -1, -1, -1}	{-1.007647, -1.096777, 0.168024, -0.038114, -1, -1, -1, -1}	{-2.593723, 1.851940, 0.078036, 0.052294, -1, -1, -1, -1}	{-0.900450, -0.627022, 0.062003, -0.122595, -1, 0, -1, 3}	{0.488719, 0.317519, 0.133726, 0.011569, -1, 1, -1, 0}	{2.644377, 1.484119, -0.039794, -0.035237, -1, -1, -1, -1}	{-1.022926, -0.473070, 0.072347, -0.153150, -1, -1, -1, -1}	{0.048024, -0.637881, 0.049157, -0.029514, -1, -1, -1, -1}	{1.777546, 0.402476, 0.081068, -0.018091, 1, -1, 2, -1}	{-0.875932, -0.790829, -0.064419, 0.062238, 0, -1, 3, -1}	{2.332331, 1.049116, -0.087648, 0.041303, -1, -1, -1, -1}	{1.138203, -0.197955, 0.010811, 0.096277, -1, -1, -1, -1}	{0.054336, 0.279355, 0.156626, -0.048984, -1, 1, -1, 0}	{2.164723, 0.469920, 0.007179, -0.088702, 1, -1, 2, -1}	{0.722923, -0.573199, -0.075747, -0.013333, -1, -1, -1, -1}	{1.212292, 0.818774, -0.017496, 0.061683, -1, -1, -1, -1}	{2.672272, -0.713592, 0.054222, -0.063599, -1, -1, -1, -1}	{1.338883, -0.632813, -0.001265, 0.065104, -1, -1, -1, -1}	{-2.370014, -1.159709, -0.001814, 0.149295, -1, -1, -1, -1}	{-2.689330, 1.692996, -0.022215, -0.028975, -1, -1, -1, -1}	{0.172169, 1.518276, -0.028095, -0.020675, -1, -1, -1, -1}	{2.585842, -0.122104, -0.061905, 0.111481, -1, -1, -1, -1}	{0.085616, -1.927050, 0.093540, 0.002686, -1, -1, -1, -1}
{-2.890870, -1.481984, -0.091117, 0.076979, -1, 0, -1, 0}	{-0.887786, 0.990830, 0.170048, -0.052923, -1, -1, -1, -1}	{-1.051137, -0.356932, 0.027185, 0.129776, -1, -1, -1, -1}	{-2.714348, 0.618805, -0.027672, 0.064785, -1, 1, -1, 3}	{-1.086816, 1.676546, -0.190758, 0.005469, -1, -1, -1, -1}	{-1.639577, 0.486687, 0.000497, 0.047077, -1, -1, -1, -1}	{-2.289154, -1.666992, 0.125631, 0.078197, -1, -1, -1, -1}	{-1.288142, -1.457823, -0.031457, 0.115107, -1, 0, -1, 2}	{-1.800246, -1.146166, 0.028810, -0.079070, -1, -1, -1, -1}	{-2.714543, 1.301659, -0.057285, 0.058188, -1, -1, -1, -1}	{-2.048116, -1.360935, -0.092189, -0.059376, 0, -1, 1, -1}	{-2.299925, -1.358871, 0.122391, -0.003335, -1, 0, -1, 1}	{-1.963120, 1.234956, 0.044303, 0.036043, -1, -1, -1, -1}	{1.200646, 0.784781, -0.026460, -0.064418, -1, -1, -1, -1}	{-0.543092, -1.184336, -0.001347, -0.056257, -1, 0, -1, 3}	{-2.257581, 0.473575, 0.033851, -0.096892, -1, -1, -1, -1}	{-0.200004, -1.110883, 0.004128, -0.024056, -1, 0, -1, 3}	{0.635499, 0.282299, 0.022625, 0.011010, 1, -1, 1, -1}	{-2.587829, 1.208485, 0.059162, 0.016222, -1, -1, -1, -1}	{-2.194941, -1.012712, -0.142055, -0.082284, -1, -1, -1, -1}	{-0.957600, -0.637319, -0.054268, -0.058698, -1, -1, -1, -1}	{2.019695, 0.698684, -0.036825, 0.054978, -1, 1, -1, 2}	{-0.396414, -1.201283, -0.056761, -0.011647, -1, 0, -1, 3}	{1.965964, 0.393067, 0.015838, -0.057643, -1, -1, -1, -1}	{2.694623, -0.097747, 0.066465, 0.084154, -1, -1, -1, -1}	{0.394476, -0.820437, 0.037871, -0.090420, -1, -1, -1, -1}	{2.091282, 0.768057, 0.127550, -0.076886, 1, -1, 2, -1}	{2.030036, -0.371911, -0.008483, 0.118776, -1, -1, -1, -1}	{-0.447523, 0.936618, -0.006154, -0.167207, -1, -1, -1, -1}	{2.919912, -1.422056, 0.081430, -0.038254, 0, -1, 0, -1}	{1.178005, -1.240510, -0.096275, 0.008679, -1, -1, -1, -1}	{-1.942283, -1.879204, 0.188674, 0.000728, -1, -1, -1, -1}	{-2.860091, -1.486137, 0.109227, -0.125846, -1, -1, -1, -1}	{-0.662787, -1.037248, 0.054384, -0.222733, -1, 0, -1, 3}	{1.502317, 0.435609, 0.005292, -0.111509, -1, -1, -1, -1}	{0.893395, 1.677243, 0.002783, -0.033263, -1, -1, -1, -1}
