Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 14.29      0.01     0.01   484734     0.02     0.02  std::array<double, 2ul>::operator[](unsigned long)
 14.29      0.02     0.01   167583     0.06     0.06  std::vector<int, std::allocator<int> >::at(unsigned long)
 14.29      0.03     0.01   116963     0.09     0.09  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
 14.29      0.04     0.01    90683     0.11     0.11  std::vector<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*, std::allocator<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*> >::_M_range_check(unsigned long) const
 14.29      0.05     0.01    17548     0.57     0.57  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
 14.29      0.06     0.01     1774     5.64     5.64  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
 14.29      0.07     0.01       96   104.17   104.17  bool std::__lexicographical_compare_impl<int const*, int const*, __gnu_cxx::__ops::_Iter_less_iter>(int const*, int const*, int const*, int const*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.07     0.00   556296     0.00     0.00  std::__array_traits<double, 2ul>::_S_ref(double const (&) [2], unsigned long)
  0.00      0.07     0.00   379606     0.00     0.00  std::__array_traits<int, 2ul>::_S_ref(int const (&) [2], unsigned long)
  0.00      0.07     0.00   308024     0.00     0.00  std::array<int, 2ul>::operator[](unsigned long)
  0.00      0.07     0.00   258388     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.07     0.00   179986     0.00     0.00  boost::hash_detail::basic_numbers<int>::type boost::hash_value<int>(int)
  0.00      0.07     0.00   179986     0.00     0.00  void boost::hash_combine<int>(unsigned long&, int const&)
  0.00      0.07     0.00   179986     0.00     0.00  boost::hash<int>::operator()(int) const
  0.00      0.07     0.00   167603     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> >*> >::operator[](unsigned long)
  0.00      0.07     0.00   167583     0.00     0.00  std::vector<int, std::allocator<int> >::_M_range_check(unsigned long) const
  0.00      0.07     0.00   167583     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.07     0.00   151699     0.00     0.00  std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::operator[](unsigned long)
  0.00      0.07     0.00   126762     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.07     0.00   116963     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      0.07     0.00   116963     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      0.07     0.00   116963     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      0.07     0.00   115954     0.00     0.00  std::array<int, 4ul>::data() const
  0.00      0.07     0.00   115954     0.00     0.00  std::__array_traits<int, 4ul>::_S_ptr(int const (&) [4])
  0.00      0.07     0.00    96673     0.00     0.00  std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::size() const
  0.00      0.07     0.00    93114     0.00     0.00  std::remove_reference<int*&>::type&& std::move<int*&>(int*&)
  0.00      0.07     0.00    92870     0.00     0.00  std::array<int, 2ul>&& std::forward<std::array<int, 2ul> >(std::remove_reference<std::array<int, 2ul> >::type&)
  0.00      0.07     0.00    92073     0.00     0.00  std::__detail::_Node_iterator_base<std::array<int, 4ul>, true>::_Node_iterator_base(std::__detail::_Hash_node<std::array<int, 4ul>, true>*)
