Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.29      0.01     0.01   121760     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 14.29      0.02     0.01    39018     0.00     0.00  std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::at(unsigned long)
 14.29      0.03     0.01    38380     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...)
 14.29      0.04     0.01    27319     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
 14.29      0.05     0.01    17247     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
 14.29      0.06     0.01      303     0.03     0.09  filament::get_quadrants()
 14.29      0.07     0.01        1    10.00    10.00  _GLOBAL__sub_I__ZN8filamentC2Ev
  0.00      0.07     0.00   434434     0.00     0.00  std::__array_traits<double, 2ul>::_S_ref(double const (&) [2], unsigned long)
  0.00      0.07     0.00   394366     0.00     0.00  std::array<double, 2ul>::operator[](unsigned long)
  0.00      0.07     0.00   248345     0.00     0.00  std::__array_traits<int, 2ul>::_S_ref(int const (&) [2], unsigned long)
  0.00      0.07     0.00   210217     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.07     0.00   188879     0.00     0.00  std::array<int, 2ul>::operator[](unsigned long)
  0.00      0.07     0.00   121780     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> >*> >::operator[](unsigned long)
  0.00      0.07     0.00   121760     0.00     0.00  std::vector<int, std::allocator<int> >::_M_range_check(unsigned long) const
  0.00      0.07     0.00   121760     0.00     0.00  std::vector<int, std::allocator<int> >::at(unsigned long)
  0.00      0.07     0.00   117772     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.07     0.00    99366     0.00     0.00  std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::operator[](unsigned long)
  0.00      0.07     0.00    98172     0.00     0.00  std::remove_reference<int*&>::type&& std::move<int*&>(int*&)
  0.00      0.07     0.00    91029     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      0.07     0.00    91029     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      0.07     0.00    91029     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      0.07     0.00    91029     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      0.07     0.00    90669     0.00     0.00  std::array<int, 2ul>&& std::forward<std::array<int, 2ul> >(std::remove_reference<std::array<int, 2ul> >::type&)
  0.00      0.07     0.00    70682     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.07     0.00    68175     0.00     0.00  std::remove_reference<std::array<int, 2ul>*&>::type&& std::move<std::array<int, 2ul>*&>(std::array<int, 2ul>*&)
  0.00      0.07     0.00    67983     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.07     0.00    67765     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.07     0.00    63378     0.00     0.00  std::vector<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >, std::allocator<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > > > >::operator[](unsigned long)
  0.00      0.07     0.00    63336     0.00     0.00  std::vector<actin*, std::allocator<actin*> >::operator[](unsigned long)
  0.00      0.07     0.00    59653     0.00     0.00  std::vector<Link*, std::allocator<Link*> >::operator[](unsigned long)
  0.00      0.07     0.00    58912     0.00     0.00  std::array<int, 2ul>::operator[](unsigned long) const
  0.00      0.07     0.00    58629     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.07     0.00    56463     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.07     0.00    52973     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.07     0.00    52220     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.07     0.00    45813     0.00     0.00  std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::size() const
  0.00      0.07     0.00    41050     0.00     0.00  std::array<int, 2ul>::data() const
  0.00      0.07     0.00    41050     0.00     0.00  std::__array_traits<int, 2ul>::_S_ptr(int const (&) [2])
  0.00      0.07     0.00    40756     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.07     0.00    40068     0.00     0.00  std::array<double, 2ul>::operator[](unsigned long) const
  0.00      0.07     0.00    39838     0.00     0.00  std::vector<std::vector<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*, std::allocator<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*> >*, std::allocator<std::vector<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*, std::allocator<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*> >*> >::operator[](unsigned long)
  0.00      0.07     0.00    39818     0.00     0.00  std::vector<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*, std::allocator<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*> >::_M_range_check(unsigned long) const
  0.00      0.07     0.00    39818     0.00     0.00  std::vector<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*, std::allocator<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*> >::size() const
  0.00      0.07     0.00    39818     0.00     0.00  std::vector<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*, std::allocator<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*> >::at(unsigned long)
  0.00      0.07     0.00    39818     0.00     0.00  std::vector<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*, std::allocator<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*> >::operator[](unsigned long)
  0.00      0.07     0.00    39076     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.07     0.00    39076     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.07     0.00    39018     0.00     0.00  std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::_M_range_check(unsigned long) const
  0.00      0.07     0.00    38380     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*)
  0.00      0.07     0.00    38380     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.07     0.00    38380     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char*>(char*, char*, std::__false_type)
  0.00      0.07     0.00    38380     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char*, void>(char*, char*, std::allocator<char> const&)
  0.00      0.07     0.00    38130     0.00     0.00  std::move_iterator<int*>::base() const
  0.00      0.07     0.00    38130     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00      0.07     0.00    38130     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<int*>(std::move_iterator<int*>)
  0.00      0.07     0.00    38130     0.00     0.00  int* std::__miter_base<int*>(int*)
  0.00      0.07     0.00    37347     0.00     0.00  std::vector<Link*, std::allocator<Link*> >::size() const
  0.00      0.07     0.00    36358     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.07     0.00    36358     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.07     0.00    36358     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.07     0.00    36257     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.07     0.00    35706     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int, std::move_iterator<int*> >(int*)
  0.00      0.07     0.00    35100     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.07     0.00    35100     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.07     0.00    34772     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.07     0.00    32724     0.00     0.00  std::enable_if<std::__and_<std::is_move_constructible<int*>, std::is_move_assignable<int*> >::value, void>::type std::swap<int*>(int*&, int*&)
  0.00      0.07     0.00    30174     0.00     0.00  void __gnu_cxx::new_allocator<std::array<int, 2ul> >::construct<std::array<int, 2ul>, std::array<int, 2ul> >(std::array<int, 2ul>*, std::array<int, 2ul>&&)
  0.00      0.07     0.00    30174     0.00     0.00  void std::allocator_traits<std::allocator<std::array<int, 2ul> > >::construct<std::array<int, 2ul>, std::array<int, 2ul> >(std::allocator<std::array<int, 2ul> >&, std::array<int, 2ul>*, std::array<int, 2ul>&&)
