{2.924863, -0.752278, 0.500000, 0}	{3.581425, 0.001993, 0.500000, 0}	{4.212477, 0.777734, 0.500000, 0}	{4.803030, 1.584733, 0.500000, 0}	{-4.533456, 2.332896, 0.500000, 0}	{2.956070, -0.235155, 0.500000, 1}	{2.400467, -1.066602, 0.500000, 1}	{1.794371, -1.861994, 0.500000, 1}	{1.178971, -2.650209, 0.500000, 1}	{0.579500, -3.450606, 0.500000, 1}	{-0.956439, 3.965920, 0.500000, 2}	{-1.115431, 4.953199, 0.500000, 2}	{-1.300444, -4.064065, 0.500000, 2}	{-1.481027, -3.080505, 0.500000, 2}	{-1.633601, -2.092213, 0.500000, 2}	{-4.425185, 2.517550, 0.500000, 3}	{4.630882, 2.847686, 0.500000, 3}	{3.695652, 3.201726, 0.500000, 3}	{2.755879, 3.543526, 0.500000, 3}	{1.831109, 3.924052, 0.500000, 3}	{-1.749273, -1.928236, 0.500000, 4}	{-1.628182, -2.920877, 0.500000, 4}	{-1.413418, -3.897543, 0.500000, 4}	{-1.151498, -4.862633, 0.500000, 4}	{-0.887138, 4.172943, 0.500000, 4}
{3.337758, -0.991307, 0.500000, 0}	{3.570075, -0.024332, 0.500000, 0}	{4.096442, 0.757705, 0.500000, 0}	{4.981833, 1.429083, 0.500000, 0}	{-4.511955, 2.235029, 0.500000, 0}	{2.791933, -0.452656, 0.500000, 1}	{2.121692, -1.155355, 0.500000, 1}	{1.527116, -1.993988, 0.500000, 1}	{0.943492, -2.671092, 0.500000, 1}	{0.172355, -3.265748, 0.500000, 1}	{-0.392404, 4.344050, 0.500000, 2}	{-0.716311, -4.807645, 0.500000, 2}	{-1.057206, -3.767978, 0.500000, 2}	{-1.477939, -2.885639, 0.500000, 2}	{-1.558104, -2.029049, 0.500000, 2}	{-4.578696, 2.538791, 0.500000, 3}	{4.449955, 2.793256, 0.500000, 3}	{3.709381, 3.195437, 0.500000, 3}	{2.994116, 3.683802, 0.500000, 3}	{2.148336, 4.124774, 0.500000, 3}	{-1.288380, -2.139674, 0.500000, 4}	{-1.565263, -3.018837, 0.500000, 4}	{-1.564317, -3.951506, 0.500000, 4}	{-1.424010, -4.863717, 0.500000, 4}	{-1.327619, 4.111818, 0.500000, 4}
{3.133398, -1.244440, 0.500000, 0}	{3.410199, -0.253529, 0.500000, 0}	{4.054506, 0.641928, 0.500000, 0}	{4.579974, 1.427342, 0.500000, 0}	{-4.790415, 2.205438, 0.500000, 0}	{2.921056, -0.801075, 0.500000, 1}	{2.084740, -1.361918, 0.500000, 1}	{1.240000, -1.922225, 0.500000, 1}	{1.044575, -2.866981, 0.500000, 1}	{0.353809, -3.745801, 0.500000, 1}	{0.189444, 4.701296, 0.500000, 2}	{-0.580852, -4.662917, 0.500000, 2}	{-1.040893, -3.638186, 0.500000, 2}	{-1.182537, -2.814819, 0.500000, 2}	{-1.197017, -1.893006, 0.500000, 2}	{-4.101350, 2.856846, 0.500000, 3}	{-4.984058, 2.534920, 0.500000, 3}	{3.884588, 2.551474, 0.500000, 3}	{3.031652, 3.092646, 0.500000, 3}	{2.147470, 3.777326, 0.500000, 3}	{-1.360065, -2.534775, 0.500000, 4}	{-1.394388, -3.512159, 0.500000, 4}	{-1.510752, -4.508698, 0.500000, 4}	{-1.569731, 4.603105, 0.500000, 4}	{-1.588873, 3.708543, 0.500000, 4}
{2.990564, -1.177134, 0.500000, 0}	{3.364879, -0.306019, 0.500000, 0}	{3.965267, 0.488090, 0.500000, 0}	{4.667084, 1.300295, 0.500000, 0}	{-4.678756, 2.002301, 0.500000, 0}	{2.727936, -0.366998, 0.500000, 1}	{2.057184, -1.089945, 0.500000, 1}	{1.461820, -1.954139, 0.500000, 1}	{1.026379, -2.923562, 0.500000, 1}	{0.614466, -3.763491, 0.500000, 1}	{0.430588, 4.929580, 0.500000, 2}	{-0.088262, -4.261065, 0.500000, 2}	{-0.636401, -3.372809, 0.500000, 2}	{-1.097757, -2.515327, 0.500000, 2}	{-1.502548, -1.516473, 0.500000, 2}	{-4.136738, 2.345034, 0.500000, 3}	{4.805002, 2.528195, 0.500000, 3}	{3.808156, 2.688532, 0.500000, 3}	{2.848473, 2.980330, 0.500000, 3}	{1.824418, 3.171109, 0.500000, 3}	{-1.012568, -2.264125, 0.500000, 4}	{-1.268229, -3.293595, 0.500000, 4}	{-1.119853, -4.216366, 0.500000, 4}	{-1.253848, 4.736780, 0.500000, 4}	{-1.714751, 3.775736, 0.500000, 4}
{3.055718, -1.141119, 0.500000, 0}	{3.447300, -0.233560, 0.500000, 0}	{4.026670, 0.614351, 0.500000, 0}	{4.589853, 1.366031, 0.500000, 0}	{-4.706410, 2.050479, 0.500000, 0}	{2.472981, -0.424992, 0.500000, 1}	{1.638409, -1.047010, 0.500000, 1}	{1.202966, -1.793164, 0.500000, 1}	{0.855712, -2.738295, 0.500000, 1}	{0.394212, -3.613416, 0.500000, 1}	{0.226619, -4.969349, 0.500000, 2}	{-0.316812, -4.122535, 0.500000, 2}	{-0.238613, -3.154606, 0.500000, 2}	{-0.741617, -2.234027, 0.500000, 2}	{-1.566772, -1.545198, 0.500000, 2}	{-4.237063, 2.269038, 0.500000, 3}	{4.753782, 2.583510, 0.500000, 3}	{3.745524, 2.569331, 0.500000, 3}	{2.818464, 2.669770, 0.500000, 3}	{1.888149, 3.137428, 0.500000, 3}	{-1.050590, -2.171967, 0.500000, 4}	{-1.271608, -3.086613, 0.500000, 4}	{-1.501133, -4.098992, 0.500000, 4}	{-1.695500, 4.926719, 0.500000, 4}	{-1.779815, 3.972549, 0.500000, 4}
{2.378432, -0.839489, 0.500000, 0}	{3.127073, -0.046873, 0.500000, 0}	{3.938265, 0.561640, 0.500000, 0}	{4.435548, 1.512155, 0.500000, 0}	{4.928389, 2.449360, 0.500000, 0}	{2.059912, -0.112848, 0.500000, 1}	{1.671870, -1.021652, 0.500000, 1}	{1.224888, -1.921245, 0.500000, 1}	{0.815523, -2.863918, 0.500000, 1}	{0.396988, -3.838338, 0.500000, 1}	{-0.047452, 4.975680, 0.500000, 2}	{-0.279881, -4.050360, 0.500000, 2}	{-0.649354, -3.029719, 0.500000, 2}	{-1.065672, -2.094781, 0.500000, 2}	{-1.183821, -1.077193, 0.500000, 2}	{-4.389906, 2.125999, 0.500000, 3}	{4.762967, 2.673116, 0.500000, 3}	{3.766052, 2.771525, 0.500000, 3}	{2.806187, 3.105740, 0.500000, 3}	{1.834426, 3.289790, 0.500000, 3}	{-0.890267, -2.072425, 0.500000, 4}	{-0.953349, -3.128112, 0.500000, 4}	{-1.067942, -4.098782, 0.500000, 4}	{-1.238908, 4.879928, 0.500000, 4}	{-1.054571, 3.905656, 0.500000, 4}
{3.064381, -1.280492, 0.500000, 0}	{3.375658, -0.456279, 0.500000, 0}	{3.762245, 0.497760, 0.500000, 0}	{4.136677, 1.435868, 0.500000, 0}	{4.746636, 2.236739, 0.500000, 0}	{1.972476, 0.178395, 0.500000, 1}	{1.732502, -0.702766, 0.500000, 1}	{1.556795, -1.720234, 0.500000, 1}	{0.795507, -2.467153, 0.500000, 1}	{0.065845, -3.170949, 0.500000, 1}	{-0.112110, -4.601853, 0.500000, 2}	{0.072520, -3.684055, 0.500000, 2}	{-0.361335, -2.723591, 0.500000, 2}	{-0.899729, -1.847857, 0.500000, 2}	{-1.387434, -0.989222, 0.500000, 2}	{-4.302779, 2.208134, 0.500000, 3}	{4.755754, 2.536890, 0.500000, 3}	{3.892594, 2.896382, 0.500000, 3}	{2.834056, 3.197535, 0.500000, 3}	{2.059514, 3.623872, 0.500000, 3}	{-1.449282, -2.425443, 0.500000, 4}	{-1.190121, -3.228112, 0.500000, 4}	{-1.108923, -4.169278, 0.500000, 4}	{-0.899624, 4.906414, 0.500000, 4}	{-0.656482, 3.899744, 0.500000, 4}
{2.734520, -1.203427, 0.500000, 0}	{3.293566, -0.429737, 0.500000, 0}	{3.878064, 0.330921, 0.500000, 0}	{4.268580, 1.290948, 0.500000, 0}	{4.500817, 2.227988, 0.500000, 0}	{1.925644, -0.081794, 0.500000, 1}	{2.160599, -0.983951, 0.500000, 1}	{1.919751, -1.914468, 0.500000, 1}	{1.371558, -2.811434, 0.500000, 1}	{0.817193, -3.812632, 0.500000, 1}	{-0.034374, -4.929446, 0.500000, 2}	{-0.311448, -3.934011, 0.500000, 2}	{-0.458285, -2.921248, 0.500000, 2}	{-0.718194, -1.945322, 0.500000, 2}	{-0.980475, -0.915287, 0.500000, 2}	{-4.519102, 2.479576, 0.500000, 3}	{4.610328, 2.762438, 0.500000, 3}	{3.712329, 2.981442, 0.500000, 3}	{2.731257, 3.252754, 0.500000, 3}	{1.724757, 3.281110, 0.500000, 3}	{-1.839732, -2.103490, 0.500000, 4}	{-1.532523, -3.058462, 0.500000, 4}	{-1.034320, -3.908792, 0.500000, 4}	{-0.802312, -4.820705, 0.500000, 4}	{-0.384925, 4.194917, 0.500000, 4}
{2.937349, -1.463664, 0.500000, 0}	{3.135083, -0.506717, 0.500000, 0}	{3.507357, 0.436683, 0.500000, 0}	{4.130638, 1.337105, 0.500000, 0}	{4.716591, 2.226174, 0.500000, 0}	{2.127614, 0.080408, 0.500000, 1}	{2.092802, -0.997939, 0.500000, 1}	{1.792604, -1.945068, 0.500000, 1}	{1.284354, -2.889567, 0.500000, 1}	{0.903071, -3.803246, 0.500000, 1}	{0.212535, -4.863535, 0.500000, 2}	{-0.418906, -4.117080, 0.500000, 2}	{-0.620433, -3.126268, 0.500000, 2}	{-0.907170, -2.071731, 0.500000, 2}	{-1.191189, -1.028784, 0.500000, 2}	{-4.420097, 1.705907, 0.500000, 3}	{4.702037, 2.165830, 0.500000, 3}	{3.750792, 2.798653, 0.500000, 3}	{2.941869, 3.321255, 0.500000, 3}	{2.160214, 3.939132, 0.500000, 3}	{-2.262880, -2.208540, 0.500000, 4}	{-1.725399, -3.017409, 0.500000, 4}	{-1.202805, -3.848886, 0.500000, 4}	{-0.832325, -4.873380, 0.500000, 4}	{-0.401869, 4.134196, 0.500000, 4}
{3.131583, -1.845656, 0.500000, 0}	{3.263604, -0.906046, 0.500000, 0}	{3.571040, 0.093093, 0.500000, 0}	{3.898995, 1.150219, 0.500000, 0}	{4.057435, 2.146420, 0.500000, 0}	{2.086406, 0.389903, 0.500000, 1}	{2.180771, -0.713730, 0.500000, 1}	{2.020979, -1.697418, 0.500000, 1}	{1.721077, -2.632390, 0.500000, 1}	{1.293338, -3.569646, 0.500000, 1}	{0.547459, -4.955280, 0.500000, 2}	{0.214737, -4.045822, 0.500000, 2}	{-0.165100, -3.169202, 0.500000, 2}	{-0.657939, -2.330249, 0.500000, 2}	{-1.423391, -1.495009, 0.500000, 2}	{-4.235290, 2.253137, 0.500000, 3}	{4.820767, 2.317430, 0.500000, 3}	{3.772040, 2.630228, 0.500000, 3}	{2.808504, 2.897015, 0.500000, 3}	{1.784632, 3.272037, 0.500000, 3}	{-1.573769, -1.900218, 0.500000, 4}	{-1.357348, -2.862984, 0.500000, 4}	{-1.003734, -3.825080, 0.500000, 4}	{-0.638423, -4.711808, 0.500000, 4}	{-0.207222, 4.378902, 0.500000, 4}
