{-2.858079, 0.886696, -0.064891, 0.135238, -1, -1, -1, -1}	{-0.352450, 2.958105, -0.090984, -0.119256, -1, -1, -1, -1}	{2.566246, 0.669204, 0.123000, -0.085855, -1, -1, -1, -1}	{4.777203, -3.436243, -0.002499, 0.149979, -1, -1, -1, -1}	{3.881257, -3.202362, 0.149869, 0.006262, -1, -1, -1, -1}
{-2.541137, 1.569375, 0.007851, -0.183612, -1, -1, -1, -1}	{-1.460780, 2.388638, 0.096850, -0.111615, -1, -1, -1, -1}	{2.385167, 0.227766, 0.065875, -0.087117, -1, -1, -1, -1}	{4.612657, -2.673990, -0.108769, 0.116408, -1, -1, -1, -1}	{2.190772, -3.743038, -0.068257, 0.238643, -1, -1, -1, -1}
{-2.347452, 1.451729, -0.074130, -0.143987, -1, -1, -1, -1}	{-1.097000, 1.453432, -0.111326, 0.198467, -1, -1, -1, -1}	{2.774499, 0.276684, -0.057862, -0.106030, -1, -1, -1, -1}	{-4.656963, -2.504787, -0.133383, -0.092762, -1, -1, -1, -1}	{2.777813, -3.894620, 0.089007, 0.233766, -1, -1, -1, -1}
{-2.463556, 1.268590, 0.127882, -0.024353, -1, -1, -1, -1}	{-1.133701, 1.657467, 0.070542, 0.040801, -1, -1, -1, -1}	{2.862944, -0.794115, 0.142183, 0.254086, -1, -1, -1, -1}	{-4.782544, -2.510800, 0.211631, -0.018020, -1, -1, -1, -1}	{2.637965, -3.218145, 0.085103, 0.054206, -1, -1, -1, -1}
{-2.812314, 1.167562, -0.099045, 0.169745, -1, -1, -1, -1}	{-1.300695, 1.325888, -0.206417, -0.069612, -1, -1, -1, -1}	{3.410347, -0.859598, -0.031445, 0.091952, -1, -1, -1, -1}	{-4.079439, -2.615796, 0.105677, -0.142609, -1, -1, -1, -1}	{2.839679, -3.382725, -0.002222, -0.082913, -1, -1, -1, -1}
{-3.033441, 0.941876, 0.091177, 0.032851, -1, -1, -1, -1}	{-0.709132, 1.362396, -0.102065, -0.218284, -1, -1, -1, -1}	{3.379218, 0.329658, -0.106524, -0.057411, -1, -1, -1, -1}	{-4.717844, -1.709811, 0.074348, -0.176126, -1, -1, -1, -1}	{3.201248, -3.448246, -0.000133, -0.087999, -1, -1, -1, -1}
{-2.498950, 1.177392, 0.164229, -0.125748, -1, -1, -1, -1}	{-0.539707, 1.712875, -0.267660, 0.180046, -1, -1, -1, -1}	{3.658591, -0.068507, 0.148487, -0.079879, -1, -1, -1, -1}	{-4.974756, -1.045922, 0.231562, -0.029162, -1, -1, -1, -1}	{3.673174, -3.185782, -0.064113, -0.096684, -1, -1, -1, -1}
{-1.428514, 1.625464, 0.075389, -0.228040, -1, -1, -1, -1}	{-0.941811, 1.418354, -0.216146, -0.117454, -1, -1, -1, -1}	{4.318786, 0.201569, 0.165740, -0.093796, -1, -1, -1, -1}	{4.599128, -1.113518, -0.149772, -0.052449, -1, -1, -1, -1}	{2.389285, -3.818476, -0.016350, 0.302665, -1, -1, -1, -1}
{-1.190149, 2.031794, -0.165923, -0.005660, -1, -1, -1, -1}	{-0.874218, 0.866123, -0.054235, -0.210322, -1, -1, -1, -1}	{4.118287, 0.752417, 0.095439, 0.101636, -1, -1, -1, -1}	{4.519646, -1.677008, -0.012591, 0.019158, -1, -1, -1, -1}	{3.071250, -2.795047, 0.071450, -0.176857, -1, -1, -1, -1}
{-0.570096, 0.683571, 0.290860, -0.099674, -1, -1, -1, -1}	{-1.163038, 0.619423, -0.130937, -0.126344, -1, -1, -1, -1}	{4.501262, 1.388016, 0.022419, 0.095016, -1, -1, -1, -1}	{4.271728, -1.448304, -0.110823, -0.213192, -1, -1, -1, -1}	{2.712982, -3.487550, -0.057351, -0.180348, -1, -1, -1, -1}
{-0.650097, 0.602995, -0.269482, 0.066387, -1, -1, -1, -1}	{-1.425989, 0.782531, -0.155780, -0.089923, -1, -1, -1, -1}	{4.677354, 1.843931, -0.023257, -0.079411, -1, -1, -1, -1}	{4.352936, -2.556100, 0.163324, 0.203884, -1, -1, -1, -1}	{4.035019, -3.335729, -0.139971, 0.088941, -1, -1, -1, -1}
{-0.896659, 0.702353, 0.006553, -0.142956, -1, -1, -1, -1}	{-1.669005, 0.468362, -0.234315, -0.077684, -1, -1, -1, -1}	{4.919355, 1.567915, -0.147518, -0.112723, -1, -1, -1, -1}	{4.294667, -1.569569, 0.099802, -0.193417, -1, -1, -1, -1}	{3.583287, -3.841994, 0.178740, -0.044656, -1, -1, -1, -1}
{-1.245096, 0.801463, -0.101148, -0.101516, -1, -1, -1, -1}	{-2.363869, 0.306914, -0.026111, 0.209900, -1, -1, -1, -1}	{4.621919, 3.278938, -0.100803, -0.170629, -1, -1, -1, -1}	{4.019760, -2.186492, 0.116161, 0.072824, -1, -1, -1, -1}	{3.566723, -4.518764, 0.216427, -0.073891, -1, -1, -1, -1}
