{-2.491331, 1.102749, 0.500000, 0}	{-1.994950, 1.042704, 0.500000, 0}	{0.444876, -1.136958, 0.500000, 1}	{0.085583, -1.484677, 0.500000, 1}	{-0.568072, -1.880826, 0.500000, 2}	{-0.838284, -1.460129, 0.500000, 2}	{2.394723, 0.692656, 0.500000, 3}	{2.114990, 0.278229, 0.500000, 3}	{0.594215, -2.173382, 0.500000, 4}	{0.928497, -1.801555, 0.500000, 4}	{-2.132209, -1.077176, 0.500000, 5}	{2.382413, -1.197207, 0.500000, 5}	{-1.766256, -1.446192, 0.500000, 6}	{-1.909816, -1.925139, 0.500000, 6}	{-1.103968, 1.082823, 0.500000, 7}	{-1.458271, 0.730021, 0.500000, 7}	{1.506906, -1.060065, 0.500000, 8}	{1.600567, -0.568916, 0.500000, 8}	{0.180821, -1.894032, 0.500000, 9}	{0.594237, -2.175255, 0.500000, 9}	{-0.281112, 1.552553, 0.500000, 10}	{-0.270091, 2.052431, 0.500000, 10}	{1.118067, 0.753953, 0.500000, 11}	{1.570718, 0.966337, 0.500000, 11}	{-2.235383, -0.455270, 0.500000, 12}	{-1.783749, -0.240732, 0.500000, 12}	{-0.386829, -2.321096, 0.500000, 13}	{-0.396568, -1.821191, 0.500000, 13}	{-0.753626, 1.743388, 0.500000, 14}	{-0.676554, 2.237412, 0.500000, 14}	{-0.041162, -1.972757, 0.500000, 15}	{0.339815, -1.648940, 0.500000, 15}	{-1.033557, 1.702376, 0.500000, 16}	{-0.643591, 2.015308, 0.500000, 16}	{1.964421, -1.183032, 0.500000, 17}	{2.418823, -0.974421, 0.500000, 17}	{2.141584, -2.421851, 0.500000, 18}	{-2.400118, 2.378240, 0.500000, 18}	{-0.144639, -0.392344, 0.500000, 19}	{0.033523, -0.859525, 0.500000, 19}
{-2.484466, 1.016687, 0.500000, 0}	{-1.951907, 1.134560, 0.500000, 0}	{0.185764, -1.577261, 0.500000, 1}	{0.047513, -2.241000, 0.500000, 1}	{-0.766957, -1.959753, 0.500000, 2}	{-0.807692, -1.352362, 0.500000, 2}	{2.433002, 0.505239, 0.500000, 3}	{1.885688, 0.302829, 0.500000, 3}	{0.450556, -2.243365, 0.500000, 4}	{0.853531, -2.289873, 0.500000, 4}	{-2.162429, -1.282118, 0.500000, 5}	{2.474136, -1.659377, 0.500000, 5}	{-1.672640, -1.469542, 0.500000, 6}	{-1.817628, -1.885840, 0.500000, 6}	{-1.188523, 1.010501, 0.500000, 7}	{-1.507890, 0.460369, 0.500000, 7}	{1.617908, -1.181608, 0.500000, 8}	{1.693931, -0.567102, 0.500000, 8}	{0.473220, -1.748354, 0.500000, 9}	{0.893044, -2.087606, 0.500000, 9}	{-0.193827, 1.601610, 0.500000, 10}	{-0.189818, 2.036249, 0.500000, 10}	{1.047311, 0.836055, 0.500000, 11}	{1.645302, 0.867209, 0.500000, 11}	{-2.284291, -0.286667, 0.500000, 12}	{-1.722035, -0.233993, 0.500000, 12}	{-0.269837, -2.163682, 0.500000, 13}	{-0.254860, -1.644049, 0.500000, 13}	{-0.741151, 1.545938, 0.500000, 14}	{-0.917819, 2.435931, 0.500000, 14}	{-0.075183, -1.436172, 0.500000, 15}	{0.306696, -1.078965, 0.500000, 15}	{-1.154308, 1.806358, 0.500000, 16}	{-0.532865, 1.880284, 0.500000, 16}	{1.971992, -0.947161, 0.500000, 17}	{2.385924, -0.731201, 0.500000, 17}	{2.114732, 2.482621, 0.500000, 18}	{-2.490940, 2.340110, 0.500000, 18}	{-0.214217, -0.381693, 0.500000, 19}	{0.134806, -0.753637, 0.500000, 19}
{-2.451636, 0.851206, 0.500000, 0}	{-2.054248, 1.147578, 0.500000, 0}	{0.149829, -1.725611, 0.500000, 1}	{0.108481, -2.252414, 0.500000, 1}	{-0.588153, -1.978048, 0.500000, 2}	{-0.858166, -1.404835, 0.500000, 2}	{2.470323, 0.419383, 0.500000, 3}	{1.933768, 0.290424, 0.500000, 3}	{0.466017, -2.080195, 0.500000, 4}	{0.916775, -2.227066, 0.500000, 4}	{-2.246021, -1.280602, 0.500000, 5}	{2.438641, -1.633909, 0.500000, 5}	{-1.668792, -1.341472, 0.500000, 6}	{-1.861167, -1.771374, 0.500000, 6}	{-1.176618, 0.844291, 0.500000, 7}	{-1.616323, 0.430182, 0.500000, 7}	{1.674560, -1.093165, 0.500000, 8}	{1.829697, -0.671514, 0.500000, 8}	{0.466892, -1.746265, 0.500000, 9}	{0.939907, -1.925383, 0.500000, 9}	{-0.081225, 1.635094, 0.500000, 10}	{-0.132814, 2.068284, 0.500000, 10}	{1.079700, 0.958994, 0.500000, 11}	{1.567185, 0.976203, 0.500000, 11}	{-2.285410, -0.310495, 0.500000, 12}	{-1.757883, -0.177801, 0.500000, 12}	{-0.271803, -2.112657, 0.500000, 13}	{-0.371534, -1.587396, 0.500000, 13}	{-0.677227, 1.639151, 0.500000, 14}	{-0.894714, 2.241404, 0.500000, 14}	{-0.139290, -1.310114, 0.500000, 15}	{0.336310, -1.226859, 0.500000, 15}	{-1.067846, 1.805121, 0.500000, 16}	{-0.514936, 1.936938, 0.500000, 16}	{1.985745, -1.023502, 0.500000, 17}	{2.335315, -0.667241, 0.500000, 17}	{2.169933, -2.485940, 0.500000, 18}	{-2.387577, 2.261515, 0.500000, 18}	{-0.227638, -0.289678, 0.500000, 19}	{0.114705, -0.798138, 0.500000, 19}
{-2.427057, 0.870632, 0.500000, 0}	{-1.977990, 1.099679, 0.500000, 0}	{0.109031, -1.629670, 0.500000, 1}	{0.005335, -2.202231, 0.500000, 1}	{-0.626497, -1.853283, 0.500000, 2}	{-0.908218, -1.534419, 0.500000, 2}	{2.440084, 0.490069, 0.500000, 3}	{1.983987, 0.297737, 0.500000, 3}	{0.363640, -2.040357, 0.500000, 4}	{0.921477, -2.169942, 0.500000, 4}	{-2.199915, -1.318761, 0.500000, 5}	{2.361615, -1.589483, 0.500000, 5}	{-1.645030, -1.483020, 0.500000, 6}	{-2.011200, -1.816384, 0.500000, 6}	{-1.236072, 0.832992, 0.500000, 7}	{-1.606909, 0.434527, 0.500000, 7}	{1.646613, -0.974772, 0.500000, 8}	{2.019528, -1.104010, 0.500000, 8}	{0.610431, -1.677774, 0.500000, 9}	{1.000862, -1.859368, 0.500000, 9}	{-0.028765, 1.621265, 0.500000, 10}	{-0.132942, 2.098398, 0.500000, 10}	{1.119848, 1.107350, 0.500000, 11}	{1.663250, 1.098924, 0.500000, 11}	{-2.476360, -0.268023, 0.500000, 12}	{-1.932659, -0.212762, 0.500000, 12}	{-0.255119, -2.104406, 0.500000, 13}	{-0.406830, -1.568822, 0.500000, 13}	{-0.812264, 1.486757, 0.500000, 14}	{-0.947119, -2.495002, 0.500000, 14}	{-0.174372, -1.375169, 0.500000, 15}	{0.284914, -1.306413, 0.500000, 15}	{-1.246078, 1.647087, 0.500000, 16}	{-0.570713, 1.811200, 0.500000, 16}	{2.052661, -0.829210, 0.500000, 17}	{2.343251, -0.557654, 0.500000, 17}	{2.318145, -2.417883, 0.500000, 18}	{-2.356396, 2.182917, 0.500000, 18}	{-0.219053, -0.416353, 0.500000, 19}	{0.006031, -0.885752, 0.500000, 19}
{-2.488902, 1.009461, 0.500000, 0}	{-1.847500, 1.089179, 0.500000, 0}	{0.055375, -1.607620, 0.500000, 1}	{0.126935, -2.169564, 0.500000, 1}	{-0.708140, -1.743029, 0.500000, 2}	{-0.811414, -1.269973, 0.500000, 2}	{2.371758, 0.488665, 0.500000, 3}	{1.931493, 0.223807, 0.500000, 3}	{0.405639, -2.066528, 0.500000, 4}	{0.942611, -2.265879, 0.500000, 4}	{-2.247191, -1.284391, 0.500000, 5}	{2.353310, -1.671852, 0.500000, 5}	{-1.480103, -1.512859, 0.500000, 6}	{-2.068364, -1.670607, 0.500000, 6}	{-1.207726, 0.866710, 0.500000, 7}	{-1.622598, 0.444261, 0.500000, 7}	{1.799622, -0.973771, 0.500000, 8}	{2.170915, -1.211771, 0.500000, 8}	{0.607888, -1.616433, 0.500000, 9}	{1.013261, -1.920867, 0.500000, 9}	{-0.160146, 1.537762, 0.500000, 10}	{-0.085689, 2.177945, 0.500000, 10}	{1.104920, 1.200721, 0.500000, 11}	{1.536448, 1.122931, 0.500000, 11}	{-2.379826, -0.208568, 0.500000, 12}	{-1.833162, -0.158880, 0.500000, 12}	{-0.146501, -2.125684, 0.500000, 13}	{-0.432198, -1.695795, 0.500000, 13}	{-0.722192, 1.611487, 0.500000, 14}	{-0.969853, 2.235875, 0.500000, 14}	{-0.117465, -1.211432, 0.500000, 15}	{0.301541, -1.363207, 0.500000, 15}	{-1.083331, 1.745725, 0.500000, 16}	{-0.606366, 2.017657, 0.500000, 16}	{2.184119, -0.902260, 0.500000, 17}	{2.448109, -0.469562, 0.500000, 17}	{2.160996, -2.345246, 0.500000, 18}	{2.444450, 2.081568, 0.500000, 18}	{-0.102522, -0.467724, 0.500000, 19}	{0.003970, -0.925802, 0.500000, 19}
{-2.294904, 0.994502, 0.500000, 0}	{-1.808204, 0.957537, 0.500000, 0}	{0.007578, -1.621818, 0.500000, 1}	{0.138173, -2.115558, 0.500000, 1}	{-0.721319, -1.733932, 0.500000, 2}	{-0.794989, -1.213201, 0.500000, 2}	{2.425814, 0.604814, 0.500000, 3}	{1.994347, 0.387176, 0.500000, 3}	{0.469608, -2.232484, 0.500000, 4}	{0.826839, -2.288988, 0.500000, 4}	{-2.269301, -1.414877, 0.500000, 5}	{2.438615, -1.719726, 0.500000, 5}	{-1.475004, -1.627160, 0.500000, 6}	{-1.915992, -1.771820, 0.500000, 6}	{-1.183788, 0.963326, 0.500000, 7}	{-1.516607, 0.619503, 0.500000, 7}	{1.784616, -0.977926, 0.500000, 8}	{2.151085, -1.219029, 0.500000, 8}	{0.724249, -1.427039, 0.500000, 9}	{0.859009, -2.028946, 0.500000, 9}	{-0.173195, 1.696739, 0.500000, 10}	{0.015089, 2.205530, 0.500000, 10}	{1.037844, 1.267604, 0.500000, 11}	{1.476365, 1.156348, 0.500000, 11}	{-2.301400, -0.322099, 0.500000, 12}	{-1.861480, -0.113599, 0.500000, 12}	{-0.163980, -2.084231, 0.500000, 13}	{-0.263785, -1.659337, 0.500000, 13}	{-0.770933, 1.622386, 0.500000, 14}	{-0.878578, 2.490430, 0.500000, 14}	{-0.112869, -1.353128, 0.500000, 15}	{0.432008, -1.395432, 0.500000, 15}	{-1.091429, 1.816042, 0.500000, 16}	{-0.544222, 1.948790, 0.500000, 16}	{2.158950, -0.829553, 0.500000, 17}	{-2.425658, -0.590285, 0.500000, 17}	{2.246169, -2.256073, 0.500000, 18}	{2.333509, 2.268421, 0.500000, 18}	{-0.117489, -0.461231, 0.500000, 19}	{-0.022039, -0.997145, 0.500000, 19}
{-2.240023, 0.993668, 0.500000, 0}	{-1.773736, 0.934175, 0.500000, 0}	{-0.005540, -1.610159, 0.500000, 1}	{0.149640, -2.155594, 0.500000, 1}	{-0.705715, -1.543650, 0.500000, 2}	{-0.764666, -1.120482, 0.500000, 2}	{2.455146, 0.424079, 0.500000, 3}	{1.995131, 0.329483, 0.500000, 3}	{0.479892, -2.152517, 0.500000, 4}	{0.954203, -2.425859, 0.500000, 4}	{-2.251982, -1.370935, 0.500000, 5}	{2.420142, -1.675733, 0.500000, 5}	{-1.534641, -1.562998, 0.500000, 6}	{-1.921206, -1.843144, 0.500000, 6}	{-1.164232, 1.003833, 0.500000, 7}	{-1.535683, 0.614454, 0.500000, 7}	{1.761900, -0.880689, 0.500000, 8}	{2.130765, -1.156765, 0.500000, 8}	{0.867079, -1.451149, 0.500000, 9}	{1.016076, -1.997821, 0.500000, 9}	{-0.078212, 1.615163, 0.500000, 10}	{-0.078223, 2.115006, 0.500000, 10}	{1.060567, 1.317968, 0.500000, 11}	{1.398170, 1.196989, 0.500000, 11}	{-2.110804, -0.402191, 0.500000, 12}	{-1.888669, 0.000375, 0.500000, 12}	{-0.248495, -2.113838, 0.500000, 13}	{-0.262954, -1.694708, 0.500000, 13}	{-0.758066, 1.731696, 0.500000, 14}	{-0.956316, 2.323909, 0.500000, 14}	{-0.114453, -1.314301, 0.500000, 15}	{0.405117, -1.327736, 0.500000, 15}	{-1.141230, 1.929151, 0.500000, 16}	{-0.596115, 2.057304, 0.500000, 16}	{2.209172, -0.830046, 0.500000, 17}	{-2.388613, -0.520723, 0.500000, 17}	{2.203964, -2.193014, 0.500000, 18}	{2.403030, 2.259950, 0.500000, 18}	{-0.150760, -0.415463, 0.500000, 19}	{0.082201, -0.921087, 0.500000, 19}
{-2.260926, 0.927988, 0.500000, 0}	{-1.756993, 1.096616, 0.500000, 0}	{0.140116, -1.616201, 0.500000, 1}	{0.149174, -2.063006, 0.500000, 1}	{-0.608958, -1.603522, 0.500000, 2}	{-0.747620, -1.249885, 0.500000, 2}	{2.492371, 0.474593, 0.500000, 3}	{2.035714, 0.323128, 0.500000, 3}	{0.566341, -2.119310, 0.500000, 4}	{1.123282, -2.320287, 0.500000, 4}	{-2.133443, -1.371664, 0.500000, 5}	{2.348345, -1.765725, 0.500000, 5}	{-1.521772, -1.585843, 0.500000, 6}	{-1.920780, -1.910848, 0.500000, 6}	{-1.319361, 1.024815, 0.500000, 7}	{-1.550022, 0.529647, 0.500000, 7}	{1.892091, -0.875352, 0.500000, 8}	{2.150915, -1.251124, 0.500000, 8}	{0.866196, -1.520036, 0.500000, 9}	{1.163073, -1.977510, 0.500000, 9}	{-0.063338, 1.675580, 0.500000, 10}	{-0.020883, 2.099606, 0.500000, 10}	{1.077783, 1.402580, 0.500000, 11}	{1.417230, 1.047255, 0.500000, 11}	{-2.039955, -0.492849, 0.500000, 12}	{-1.835184, -0.007540, 0.500000, 12}	{-0.190933, -2.152773, 0.500000, 13}	{-0.245628, -1.674499, 0.500000, 13}	{-0.825520, 1.663360, 0.500000, 14}	{-1.046395, 2.217277, 0.500000, 14}	{-0.250950, -1.270254, 0.500000, 15}	{0.267087, -1.311948, 0.500000, 15}	{-1.237667, 1.890162, 0.500000, 16}	{-0.617116, 1.940620, 0.500000, 16}	{2.267163, -0.927760, 0.500000, 17}	{-2.284598, -0.649092, 0.500000, 17}	{2.289281, -2.242317, 0.500000, 18}	{2.328401, 2.250226, 0.500000, 18}	{-0.190992, -0.399885, 0.500000, 19}	{0.108714, -0.889173, 0.500000, 19}
{-2.261930, 0.850648, 0.500000, 0}	{-1.728638, 1.094362, 0.500000, 0}	{0.056241, -1.654418, 0.500000, 1}	{0.045984, -2.315490, 0.500000, 1}	{-0.583659, -1.678829, 0.500000, 2}	{-0.771507, -1.200509, 0.500000, 2}	{-2.392779, 0.413048, 0.500000, 3}	{2.106461, 0.263301, 0.500000, 3}	{0.660963, -2.153357, 0.500000, 4}	{1.194340, -2.330364, 0.500000, 4}	{-2.225375, -1.293553, 0.500000, 5}	{2.449539, -1.714513, 0.500000, 5}	{-1.570753, -1.521013, 0.500000, 6}	{-1.917358, -1.870597, 0.500000, 6}	{-1.331572, 0.959049, 0.500000, 7}	{-1.434567, 0.464212, 0.500000, 7}	{1.800570, -0.981314, 0.500000, 8}	{2.138355, -1.253179, 0.500000, 8}	{0.838232, -1.570347, 0.500000, 9}	{1.233427, -1.851738, 0.500000, 9}	{0.011003, 1.531840, 0.500000, 10}	{0.032307, 2.080029, 0.500000, 10}	{1.144371, 1.617105, 0.500000, 11}	{1.173035, 1.105314, 0.500000, 11}	{-1.946425, -0.520862, 0.500000, 12}	{-1.699840, -0.017720, 0.500000, 12}	{-0.216507, -2.088711, 0.500000, 13}	{-0.218869, -1.658802, 0.500000, 13}	{-0.818959, 1.650099, 0.500000, 14}	{-1.027030, 2.197323, 0.500000, 14}	{-0.217958, -1.210514, 0.500000, 15}	{0.185423, -1.337746, 0.500000, 15}	{-1.215110, 1.838607, 0.500000, 16}	{-0.624181, 1.952000, 0.500000, 16}	{2.373802, -0.869311, 0.500000, 17}	{-2.191895, -0.781265, 0.500000, 17}	{2.217405, -2.041968, 0.500000, 18}	{2.265885, 2.366584, 0.500000, 18}	{-0.238685, -0.540345, 0.500000, 19}	{0.198714, -0.938669, 0.500000, 19}
{-2.184110, 0.753183, 0.500000, 0}	{-1.759153, 1.139080, 0.500000, 0}	{-0.000418, -1.818561, 0.500000, 1}	{0.056943, -2.282478, 0.500000, 1}	{-0.631768, -1.726778, 0.500000, 2}	{-0.965488, -1.313476, 0.500000, 2}	{-2.497906, 0.508370, 0.500000, 3}	{2.033867, 0.235915, 0.500000, 3}	{0.686212, -2.036053, 0.500000, 4}	{1.178855, 2.454508, 0.500000, 4}	{-2.284775, -1.317270, 0.500000, 5}	{2.376725, -1.650331, 0.500000, 5}	{-1.538735, -1.621787, 0.500000, 6}	{-1.953981, -1.770225, 0.500000, 6}	{-1.384991, 0.926272, 0.500000, 7}	{-1.585018, 0.469857, 0.500000, 7}	{1.807127, -0.921785, 0.500000, 8}	{2.143469, -1.301898, 0.500000, 8}	{0.861812, -1.517811, 0.500000, 9}	{1.274971, -1.660812, 0.500000, 9}	{0.096770, 1.475054, 0.500000, 10}	{0.083544, 2.113705, 0.500000, 10}	{1.255022, 1.583026, 0.500000, 11}	{1.107886, 1.051113, 0.500000, 11}	{-1.877719, -0.589771, 0.500000, 12}	{-1.581304, -0.113956, 0.500000, 12}	{-0.263018, -2.230930, 0.500000, 13}	{-0.332729, -1.630964, 0.500000, 13}	{-0.890563, 1.631555, 0.500000, 14}	{-0.922221, 2.244842, 0.500000, 14}	{-0.199464, -1.264418, 0.500000, 15}	{0.227774, -1.156745, 0.500000, 15}	{-1.285173, 1.912819, 0.500000, 16}	{-0.622238, 1.923742, 0.500000, 16}	{2.410135, -1.005270, 0.500000, 17}	{-2.133312, -0.714353, 0.500000, 17}	{2.240248, -2.022401, 0.500000, 18}	{2.218694, 2.371977, 0.500000, 18}	{-0.263271, -0.522450, 0.500000, 19}	{0.180481, -0.816467, 0.500000, 19}
