{-2.491331, 1.102749, 0.496381, -0.060046, 0}	{0.444876, -1.136958, -0.359293, -0.347720, 1}	{-0.568072, -1.880826, -0.270211, 0.420697, 2}	{2.394723, 0.692656, -0.279732, -0.414427, 3}	{0.594215, -2.173382, 0.334282, 0.371827, 4}	{-2.132209, -1.077176, -0.485379, -0.120031, 5}	{-1.766256, -1.446192, -0.143560, -0.478947, 6}	{-1.103968, 1.082823, -0.354303, -0.352802, 7}	{1.506906, -1.060065, 0.093661, 0.491149, 8}	{0.180821, -1.894032, 0.413416, -0.281224, 9}	{-0.281112, 1.552553, 0.011021, 0.499879, 10}	{1.118067, 0.753953, 0.452651, 0.212384, 11}	{-2.235383, -0.455270, 0.451634, 0.214538, 12}	{-0.386829, -2.321096, -0.009739, 0.499905, 13}	{-0.753626, 1.743388, 0.077072, 0.494024, 14}	{-0.041162, -1.972757, 0.380976, 0.323816, 15}	{-1.033557, 1.702376, 0.389966, 0.312932, 16}	{1.964421, -1.183032, 0.454402, 0.208611, 17}	{2.141584, -2.421851, 0.458297, -0.199909, 18}	{-0.144639, -0.392344, 0.178162, -0.467181, 19}
{-2.484466, 1.016687, 0.532559, 0.117873, 0}	{0.185764, -1.577261, -0.138250, -0.663739, 1}	{-0.766957, -1.959753, -0.040735, 0.607391, 2}	{2.433002, 0.505239, -0.547314, -0.202409, 3}	{0.450556, -2.243365, 0.402975, -0.046508, 4}	{-2.162429, -1.282118, -0.363435, -0.377259, 5}	{-1.672640, -1.469542, -0.144988, -0.416298, 6}	{-1.188523, 1.010501, -0.319367, -0.550131, 7}	{1.617908, -1.181608, 0.076023, 0.614506, 8}	{0.473220, -1.748354, 0.419824, -0.339252, 9}	{-0.193827, 1.601610, 0.004009, 0.434639, 10}	{1.047311, 0.836055, 0.597991, 0.031154, 11}	{-2.284291, -0.286667, 0.562256, 0.052675, 12}	{-0.269837, -2.163682, 0.014977, 0.519633, 13}	{-0.741151, 1.545938, -0.176668, 0.889993, 14}	{-0.075183, -1.436172, 0.381879, 0.357207, 15}	{-1.154308, 1.806358, 0.621443, 0.073926, 16}	{1.971992, -0.947161, 0.413933, 0.215960, 17}	{2.114732, 2.482621, 0.394328, -0.142511, 18}	{-0.214217, -0.381693, 0.349023, -0.371943, 19}
{-2.451636, 0.851206, 0.397389, 0.296372, 0}	{0.149829, -1.725611, -0.041347, -0.526803, 1}	{-0.588153, -1.978048, -0.270014, 0.573213, 2}	{2.470323, 0.419383, -0.536555, -0.128959, 3}	{0.466017, -2.080195, 0.450759, -0.146870, 4}	{-2.246021, -1.280602, -0.315338, -0.353308, 5}	{-1.668792, -1.341472, -0.192375, -0.429902, 6}	{-1.176618, 0.844291, -0.439706, -0.414109, 7}	{1.674560, -1.093165, 0.155137, 0.421650, 8}	{0.466892, -1.746265, 0.473015, -0.179118, 9}	{-0.081225, 1.635094, -0.051589, 0.433191, 10}	{1.079700, 0.958994, 0.487485, 0.017209, 11}	{-2.285410, -0.310495, 0.527527, 0.132693, 12}	{-0.271803, -2.112657, -0.099730, 0.525261, 13}	{-0.677227, 1.639151, -0.217487, 0.602252, 14}	{-0.139290, -1.310114, 0.475600, 0.083255, 15}	{-1.067846, 1.805121, 0.552910, 0.131818, 16}	{1.985745, -1.023502, 0.349570, 0.356261, 17}	{2.169933, -2.485940, 0.442490, -0.252545, 18}	{-0.227638, -0.289678, 0.342343, -0.508460, 19}
{-2.427057, 0.870632, 0.449067, 0.229047, 0}	{0.109031, -1.629670, -0.103696, -0.572560, 1}	{-0.626497, -1.853283, -0.281720, 0.318864, 2}	{2.440084, 0.490069, -0.456097, -0.192332, 3}	{0.363640, -2.040357, 0.557837, -0.129584, 4}	{-2.199915, -1.318761, -0.438470, -0.270722, 5}	{-1.645030, -1.483020, -0.366170, -0.333364, 6}	{-1.236072, 0.832992, -0.370837, -0.398465, 7}	{1.646613, -0.974772, 0.372915, -0.129238, 8}	{0.610431, -1.677774, 0.390431, -0.181594, 9}	{-0.028765, 1.621265, -0.104177, 0.477134, 10}	{1.119848, 1.107350, 0.543401, -0.008427, 11}	{-2.476360, -0.268023, 0.543702, 0.055261, 12}	{-0.255119, -2.104406, -0.151712, 0.535584, 13}	{-0.812264, 1.486757, -0.134856, 1.018241, 14}	{-0.174372, -1.375169, 0.459287, 0.068756, 15}	{-1.246078, 1.647087, 0.675365, 0.164112, 16}	{2.052661, -0.829210, 0.290590, 0.271555, 17}	{2.318145, -2.417883, 0.325459, -0.399200, 18}	{-0.219053, -0.416353, 0.225084, -0.469399, 19}
{-2.488902, 1.009461, 0.641402, 0.079718, 0}	{0.055375, -1.607620, 0.071560, -0.561944, 1}	{-0.708140, -1.743029, -0.103274, 0.473055, 2}	{2.371758, 0.488665, -0.440265, -0.264857, 3}	{0.405639, -2.066528, 0.536972, -0.199351, 4}	{-2.247191, -1.284391, -0.399500, -0.387460, 5}	{-1.480103, -1.512859, -0.588260, -0.157748, 6}	{-1.207726, 0.866710, -0.414872, -0.422449, 7}	{1.799622, -0.973771, 0.371293, -0.238001, 8}	{0.607888, -1.616433, 0.405374, -0.304434, 9}	{-0.160146, 1.537762, 0.074457, 0.640183, 10}	{1.104920, 1.200721, 0.431528, -0.077790, 11}	{-2.379826, -0.208568, 0.546664, 0.049688, 12}	{-0.146501, -2.125684, -0.285698, 0.429889, 13}	{-0.722192, 1.611487, -0.247662, 0.624388, 14}	{-0.117465, -1.211432, 0.419006, -0.151776, 15}	{-1.083331, 1.745725, 0.476965, 0.271932, 16}	{2.184119, -0.902260, 0.263990, 0.432698, 17}	{2.160996, -2.345246, 0.283454, -0.573186, 18}	{-0.102522, -0.467724, 0.106492, -0.458078, 19}
{-2.294904, 0.994502, 0.486700, -0.036965, 0}	{0.007578, -1.621818, 0.130595, -0.493740, 1}	{-0.721319, -1.733932, -0.073670, 0.520731, 2}	{2.425814, 0.604814, -0.431466, -0.217638, 3}	{0.469608, -2.232484, 0.357231, -0.056503, 4}	{-2.269301, -1.414877, -0.292084, -0.304849, 5}	{-1.475004, -1.627160, -0.440988, -0.144660, 6}	{-1.183788, 0.963326, -0.332820, -0.343822, 7}	{1.784616, -0.977926, 0.366470, -0.241103, 8}	{0.724249, -1.427039, 0.134760, -0.601907, 9}	{-0.173195, 1.696739, 0.188284, 0.508791, 10}	{1.037844, 1.267604, 0.438521, -0.111256, 11}	{-2.301400, -0.322099, 0.439919, 0.208501, 12}	{-0.163980, -2.084231, -0.099805, 0.424895, 13}	{-0.770933, 1.622386, -0.107644, 0.868044, 14}	{-0.112869, -1.353128, 0.544877, -0.042304, 15}	{-1.091429, 1.816042, 0.547207, 0.132748, 16}	{2.158950, -0.829553, 0.415392, 0.239268, 17}	{2.246169, -2.256073, 0.087340, -0.475506, 18}	{-0.117489, -0.461231, 0.095450, -0.535914, 19}
{-2.240023, 0.993668, 0.466287, -0.059492, 0}	{-0.005540, -1.610159, 0.155180, -0.545435, 1}	{-0.705715, -1.543650, -0.058950, 0.423167, 2}	{2.455146, 0.424079, -0.460015, -0.094596, 3}	{0.479892, -2.152517, 0.474311, -0.273343, 4}	{-2.251982, -1.370935, -0.327877, -0.304798, 5}	{-1.534641, -1.562998, -0.386565, -0.280146, 6}	{-1.164232, 1.003833, -0.371451, -0.389378, 7}	{1.761900, -0.880689, 0.368865, -0.276076, 8}	{0.867079, -1.451149, 0.148997, -0.546672, 9}	{-0.078212, 1.615163, -0.000011, 0.499843, 10}	{1.060567, 1.317968, 0.337603, -0.120979, 11}	{-2.110804, -0.402191, 0.222136, 0.402566, 12}	{-0.248495, -2.113838, -0.014459, 0.419130, 13}	{-0.758066, 1.731696, -0.198251, 0.592213, 14}	{-0.114453, -1.314301, 0.519571, -0.013435, 15}	{-1.141230, 1.929151, 0.545114, 0.128152, 16}	{2.209172, -0.830046, 0.402215, 0.309324, 17}	{2.203964, -2.193014, 0.199066, -0.547036, 18}	{-0.150760, -0.415463, 0.232962, -0.505625, 19}
{-2.260926, 0.927988, 0.503933, 0.168628, 0}	{0.140116, -1.616201, 0.009057, -0.446804, 1}	{-0.608958, -1.603522, -0.138662, 0.353637, 2}	{2.492371, 0.474593, -0.456657, -0.151465, 3}	{0.566341, -2.119310, 0.556941, -0.200976, 4}	{-2.133443, -1.371664, -0.518212, -0.394061, 5}	{-1.521772, -1.585843, -0.399008, -0.325005, 6}	{-1.319361, 1.024815, -0.230661, -0.495168, 7}	{1.892091, -0.875352, 0.258824, -0.375772, 8}	{0.866196, -1.520036, 0.296877, -0.457473, 9}	{-0.063338, 1.675580, 0.042455, 0.424026, 10}	{1.077783, 1.402580, 0.339447, -0.355325, 11}	{-2.039955, -0.492849, 0.204770, 0.485309, 12}	{-0.190933, -2.152773, -0.054696, 0.478274, 13}	{-0.825520, 1.663360, -0.220875, 0.553917, 14}	{-0.250950, -1.270254, 0.518037, -0.041694, 15}	{-1.237667, 1.890162, 0.620551, 0.050458, 16}	{2.267163, -0.927760, 0.448239, 0.278668, 17}	{2.289281, -2.242317, 0.039120, -0.507457, 18}	{-0.190992, -0.399885, 0.299706, -0.489288, 19}
{-2.261930, 0.850648, 0.533292, 0.243714, 0}	{0.056241, -1.654418, -0.010257, -0.661072, 1}	{-0.583659, -1.678829, -0.187848, 0.478320, 2}	{-2.392779, 0.413048, -0.500760, -0.149747, 3}	{0.660963, -2.153357, 0.533377, -0.177007, 4}	{-2.225375, -1.293553, -0.325087, -0.420960, 5}	{-1.570753, -1.521013, -0.346605, -0.349584, 6}	{-1.331572, 0.959049, -0.102996, -0.494837, 7}	{1.800570, -0.981314, 0.337785, -0.271865, 8}	{0.838232, -1.570347, 0.395195, -0.281391, 9}	{0.011003, 1.531840, 0.021304, 0.548189, 10}	{1.144371, 1.617105, 0.028665, -0.511791, 11}	{-1.946425, -0.520862, 0.246584, 0.503142, 12}	{-0.216507, -2.088711, -0.002362, 0.429909, 13}	{-0.818959, 1.650099, -0.208071, 0.547224, 14}	{-0.217958, -1.210514, 0.403381, -0.127232, 15}	{-1.215110, 1.838607, 0.590929, 0.113393, 16}	{2.373802, -0.869311, 0.434303, 0.088046, 17}	{2.217405, -2.041968, 0.048480, -0.591448, 18}	{-0.238685, -0.540345, 0.437399, -0.398324, 19}
{-2.184110, 0.753183, 0.424957, 0.385897, 0}	{-0.000418, -1.818561, 0.057361, -0.463917, 1}	{-0.631768, -1.726778, -0.333720, 0.413301, 2}	{-2.497906, 0.508370, -0.468227, -0.272455, 3}	{0.686212, -2.036053, 0.492643, -0.509439, 4}	{-2.284775, -1.317270, -0.338499, -0.333062, 5}	{-1.538735, -1.621787, -0.415246, -0.148439, 6}	{-1.384991, 0.926272, -0.200027, -0.456415, 7}	{1.807127, -0.921785, 0.336342, -0.380113, 8}	{0.861812, -1.517811, 0.413159, -0.143001, 9}	{0.096770, 1.475054, -0.013227, 0.638652, 10}	{1.255022, 1.583026, -0.147136, -0.531913, 11}	{-1.877719, -0.589771, 0.296414, 0.475815, 12}	{-0.263018, -2.230930, -0.069711, 0.599966, 13}	{-0.890563, 1.631555, -0.031658, 0.613287, 14}	{-0.199464, -1.264418, 0.427238, 0.107673, 15}	{-1.285173, 1.912819, 0.662935, 0.010923, 16}	{2.410135, -1.005270, 0.456554, 0.290917, 17}	{2.240248, -2.022401, -0.021554, -0.605622, 18}	{-0.263271, -0.522450, 0.443753, -0.294017, 19}
