{1.220896, -2.137135, -0.061732, 0.136708, -1, -1, -1, -1}	{2.309990, 0.622247, -0.053842, 0.140004, -1, -1, -1, -1}
{0.933535, -1.958567, -0.010265, -0.207249, -1, -1, -1, -1}	{2.345704, 0.759721, -0.157816, -0.151968, -1, -1, -1, -1}
{0.896413, -2.169131, -0.355969, 0.000938, -1, -1, -1, -1}	{2.120733, 0.697360, 0.110185, -0.171656, -1, -1, -1, -1}
{0.811211, -2.001571, -0.044505, -0.087407, -1, -1, -1, -1}	{2.185658, 0.767657, 0.016235, -0.107860, -1, -1, -1, -1}
{0.859048, -2.007982, 0.048202, -0.137085, -1, -1, -1, -1}	{1.997354, 0.977712, 0.043573, -0.161110, -1, -1, -1, -1}
{1.173214, -2.086593, 0.085111, -0.169752, -1, -1, -1, -1}	{1.846956, 0.949768, 0.109276, -0.184834, -1, -1, -1, -1}
{1.321805, -2.107331, -0.152688, -0.060124, -1, -1, -1, -1}	{2.016163, 0.780585, 0.186677, 0.068602, -1, -1, -1, -1}
{1.054883, -1.987965, 0.166983, -0.176694, -1, -1, -1, -1}	{2.085338, 0.771893, 0.111076, 0.012002, -1, -1, -1, -1}
{1.003079, -1.939177, 0.116013, -0.031945, -1, -1, -1, -1}	{2.086720, 1.047925, 0.108205, -0.131937, -1, -1, -1, -1}
{1.329439, -1.969372, 0.150132, -0.095089, -1, -1, -1, -1}	{2.179287, 1.022080, -0.047500, -0.128309, -1, -1, -1, -1}
{1.681300, -2.058184, 0.143876, -0.148952, -1, -1, -1, -1}	{2.081472, 1.055589, -0.054261, -0.199029, -1, -1, -1, -1}
{1.828585, -2.321833, 0.066908, 0.041157, -1, -1, -1, -1}	{1.877448, 1.168484, 0.064849, -0.176230, -1, -1, -1, -1}
{1.770150, -2.214685, 0.095084, -0.106051, -1, -1, -1, -1}	{1.741043, 1.112953, 0.166099, -0.163228, -1, -1, -1, -1}
{1.577006, -2.287309, 0.151444, -0.061284, -1, -1, -1, -1}	{2.148158, 1.105407, -0.198103, -0.079156, -1, -1, -1, -1}
{1.907414, -2.341554, -0.200272, -0.080976, -1, -1, -1, -1}	{2.134044, 1.141067, -0.107819, -0.043759, -1, -1, -1, -1}
{1.577971, -2.306897, 0.067529, -0.194433, -1, -1, -1, -1}	{2.272714, 1.410731, -0.072715, -0.151347, -1, -1, -1, -1}
{1.825751, -2.117687, -0.207606, -0.058939, -1, -1, -1, -1}	{2.300516, 1.412666, 0.160575, -0.129765, -1, -1, -1, -1}
{1.756770, -2.048945, -0.153114, -0.098959, -1, -1, -1, -1}	{2.379384, 1.239087, 0.127684, 0.138942, -1, -1, -1, -1}
{1.529188, -2.215306, 0.102904, -0.105635, -1, -1, -1, -1}	{-2.331976, 1.140985, -0.111208, 0.135400, -1, -1, -1, -1}
{1.677998, -2.080348, 0.014489, -0.185277, -1, -1, -1, -1}	{2.472528, 1.257692, 0.210007, 0.091449, -1, -1, -1, -1}
{1.624717, -2.290327, 0.040303, 0.095941, -1, -1, -1, -1}	{2.416610, 1.143919, 0.186036, -0.011887, -1, -1, -1, -1}
{1.807956, -2.162355, 0.163642, 0.187387, -1, -1, -1, -1}	{2.481620, 1.038325, 0.025048, 0.162742, -1, -1, -1, -1}
{1.765643, -1.841685, 0.047935, -0.148743, -1, -1, -1, -1}	{2.473614, 1.251924, -0.028844, 0.102349, -1, -1, -1, -1}
{1.612905, -1.984266, 0.081369, 0.008777, -1, -1, -1, -1}	{-2.485820, 1.145122, -0.061250, 0.093786, -1, -1, -1, -1}
{1.644942, -2.024836, -0.019167, 0.223899, -1, -1, -1, -1}	{2.417722, 1.055265, 0.149104, 0.084602, -1, -1, -1, -1}
{1.641244, -2.009748, -0.126982, 0.033600, -1, -1, -1, -1}	{2.371833, 0.978949, 0.196310, -0.044865, -1, -1, -1, -1}
{1.477132, -1.768915, -0.001542, -0.201466, -1, -1, -1, -1}	{-2.473238, 0.999758, -0.028540, -0.238293, -1, -1, -1, -1}
{1.378065, -1.831278, 0.011407, -0.103617, -1, -1, -1, -1}	{2.467702, 1.054663, 0.066584, -0.262506, -1, -1, -1, -1}
{1.259978, -2.031279, 0.167838, 0.034769, -1, -1, -1, -1}	{2.357529, 1.085434, 0.132505, -0.202058, -1, -1, -1, -1}
{1.220602, -1.841485, 0.248464, 0.072303, -1, -1, -1, -1}	{2.170580, 1.023605, 0.127321, 0.047713, -1, -1, -1, -1}
{1.511208, -1.680808, -0.066555, -0.142819, -1, -1, -1, -1}	{2.074926, 0.940765, 0.126739, -0.010293, -1, -1, -1, -1}
{1.601792, -1.685034, -0.209438, 0.082154, -1, -1, -1, -1}	{2.213771, 0.965566, -0.122119, -0.047139, -1, -1, -1, -1}
{1.801546, -1.933697, -0.340474, 0.119593, -1, -1, -1, -1}	{2.119050, 0.820419, 0.001744, 0.147272, -1, -1, -1, -1}
{1.721648, -1.850291, -0.137226, -0.050048, -1, -1, -1, -1}	{2.195619, 1.198555, -0.168055, 0.106217, -1, -1, -1, -1}
{1.586858, -1.971987, 0.184370, -0.032030, -1, -1, -1, -1}	{2.404841, 1.179845, -0.223470, 0.051459, -1, -1, -1, -1}
{1.438670, -2.010621, 0.050405, -0.172209, -1, -1, -1, -1}	{2.416489, 1.159524, -0.137488, 0.116258, -1, -1, -1, -1}
{1.387070, -2.055232, 0.029045, -0.209026, -1, -1, -1, -1}	{2.343017, 1.253914, -0.005317, 0.196035, -1, -1, -1, -1}
{1.533630, -2.121470, -0.162176, -0.131282, -1, -1, -1, -1}	{2.279021, 1.270139, -0.171122, 0.004229, -1, -1, -1, -1}
{1.501667, -2.157663, 0.086999, 0.055888, -1, -1, -1, -1}	{2.208127, 1.111784, 0.051629, 0.173846, -1, -1, -1, -1}
{1.577147, -1.850691, 0.075935, 0.089177, -1, -1, -1, -1}	{2.381605, 1.131062, -0.084458, -0.095795, -1, -1, -1, -1}
{1.575542, -1.831947, 0.046815, -0.266921, -1, -1, -1, -1}	{2.390998, 0.970256, -0.206528, -0.086711, -1, -1, -1, -1}
{1.381751, -2.005567, 0.194108, -0.122612, -1, -1, -1, -1}	{2.264668, 1.066773, 0.006287, -0.095473, -1, -1, -1, -1}
{1.344603, -1.861439, 0.234920, -0.089486, -1, -1, -1, -1}	{2.338214, 0.946142, -0.191105, -0.012410, -1, -1, -1, -1}
{1.241658, -1.945112, 0.145599, -0.072927, -1, -1, -1, -1}	{2.349349, 1.127482, -0.095067, -0.031402, -1, -1, -1, -1}
{1.249503, -1.792454, 0.057915, -0.249502, -1, -1, -1, -1}	{2.312484, 1.243537, 0.021198, -0.223626, -1, -1, -1, -1}
{0.991298, -1.880485, 0.171545, -0.055855, -1, -1, -1, -1}	{2.148745, 1.042314, 0.082788, -0.156036, -1, -1, -1, -1}
{0.918964, -1.811502, 0.138866, -0.041608, -1, -1, -1, -1}	{2.188154, 0.987406, -0.160144, -0.152607, -1, -1, -1, -1}
{0.904037, -1.874682, 0.097754, 0.078922, -1, -1, -1, -1}	{2.187440, 0.863638, -0.066382, -0.014300, -1, -1, -1, -1}
{1.026033, -1.685901, -0.137133, -0.139971, -1, -1, -1, -1}	{2.067659, 1.160797, -0.180140, -0.166113, -1, -1, -1, -1}
{0.957582, -1.624423, 0.050829, -0.129141, -1, -1, -1, -1}	{2.018774, 0.824279, -0.062853, 0.208044, -1, -1, -1, -1}
{0.816905, -1.501948, 0.128181, -0.164190, -1, -1, -1, -1}	{1.928425, 0.996849, 0.290266, -0.151274, -1, -1, -1, -1}
{0.825247, -1.342624, 0.056764, -0.242613, -1, -1, -1, -1}	{2.355850, 1.249226, 0.066102, -0.334011, -1, -1, -1, -1}
{0.927969, -1.432383, -0.107588, -0.147298, -1, -1, -1, -1}	{2.427537, 1.014737, 0.105071, -0.003830, -1, -1, -1, -1}
{0.955604, -1.475440, 0.039047, -0.051179, -1, -1, -1, -1}	{2.482928, 0.854419, 0.044693, -0.096876, -1, -1, -1, -1}
{0.888365, -1.426663, -0.112734, -0.044194, -1, -1, -1, -1}	{2.456636, 0.842857, -0.132658, -0.042881, -1, -1, -1, -1}
{0.473613, -1.493812, 0.064688, -0.208437, -1, -1, -1, -1}	{2.386083, 0.832065, 0.030750, -0.061108, -1, -1, -1, -1}
{0.562493, -1.523891, -0.095172, 0.074016, -1, -1, -1, -1}	{2.374620, 0.587933, -0.226770, 0.102416, -1, -1, -1, -1}
{0.489978, -1.479024, 0.173109, 0.116983, -1, -1, -1, -1}	{2.301214, 0.507602, -0.016775, 0.074069, -1, -1, -1, -1}
{0.712234, -1.235823, -0.156598, -0.143104, -1, -1, -1, -1}	{2.478425, 0.478950, -0.130509, -0.092930, -1, -1, -1, -1}
{0.671163, -1.333439, -0.118210, 0.006789, -1, -1, -1, -1}	{-2.480996, 0.615566, -0.067055, -0.189861, -1, -1, -1, -1}
{0.666453, -1.234922, 0.094825, -0.117978, -1, -1, -1, -1}	{2.421742, 0.707099, -0.154492, -0.212093, -1, -1, -1, -1}
{0.590414, -1.312409, 0.156870, -0.092383, -1, -1, -1, -1}	{-2.478224, 0.552717, -0.176010, 0.070590, -1, -1, -1, -1}
{0.617119, -1.225955, -0.072195, -0.227029, -1, -1, -1, -1}	{-2.487489, 0.627181, -0.133606, 0.185786, -1, -1, -1, -1}
{0.361159, -1.406392, -0.250222, -0.156959, -1, -1, -1, -1}	{-2.455907, 0.662580, 0.159180, 0.121640, -1, -1, -1, -1}
{0.281924, -1.199735, -0.103311, -0.160229, -1, -1, -1, -1}	{-2.384480, 0.575565, -0.141888, -0.005896, -1, -1, -1, -1}
{0.216631, -1.220882, -0.049212, -0.161613, -1, -1, -1, -1}	{-2.446253, 0.555106, -0.120053, 0.093065, -1, -1, -1, -1}
{0.453521, -1.294034, -0.287646, -0.014137, -1, -1, -1, -1}	{2.427282, 0.686081, -0.127217, -0.014600, -1, -1, -1, -1}
{0.281010, -1.257299, -0.053285, -0.132273, -1, -1, -1, -1}	{2.311148, 0.649220, -0.125730, 0.024135, -1, -1, -1, -1}
{0.259670, -1.186555, -0.168871, -0.129300, -1, -1, -1, -1}	{2.068307, 0.555679, 0.133589, 0.160646, -1, -1, -1, -1}
{0.329798, -1.117774, 0.114529, -0.134183, -1, -1, -1, -1}	{1.959606, 0.491678, 0.087675, -0.010356, -1, -1, -1, -1}
